country,iso3,n,y_start,y_end,mu_const,mu_H0,mu_H1,M0_level_rmse,M1_level_rmse,M2_level_rmse,M0_change_rmse,M1_change_rmse,M2_change_rmse
Australia,AUS,24,2000,2023,19.0,0.0,0.30000000000000004,0.28517128098131733,0.30333220493376095,0.29762636444946217,0.15806105317246888,0.15662077801077295,0.1543279362329831
Austria,AUT,24,2000,2023,4.0,4.0,-0.1,0.4163846780574302,0.3821550332724192,0.36072507813727056,0.3113118436513771,0.34128534278986894,0.34496723179846644
Belgium,BEL,24,2000,2023,0.0,0.0,0.30000000000000004,0.35346417361161253,0.4051251804970036,0.3967168834182034,0.4792134104976697,0.4450053324640418,0.4505511554295172
Canada,CAN,24,2000,2023,0.0,0.0,0.30000000000000004,0.4537048518573832,0.44909594166483435,0.433969509594183,0.3291287778513216,0.25515664240449776,0.25403310893196973
Chile,CHL,24,2000,2023,7.0,6.0,-0.1,0.5098862637698311,0.5063439963983141,0.5058865800682079,0.5008393247463194,0.5078723090713552,0.5080483705262884
China,CHN,24,2000,2023,0.0,0.0,0.05000000000000002,0.22198325202634536,0.21762615913589847,0.217073169203881,0.1683778041014446,0.16855716198058196,0.16807511880992398
Colombia,COL,24,2000,2023,6.0,6.0,-0.1,0.9457197079033078,0.8595092907406452,0.8470909791525492,0.7711543252086577,0.9130705287005527,0.9144768634429242
Costa Rica,CRI,24,2000,2023,6.0,6.0,-0.1,0.6072380359418317,0.5020124879620574,0.4924452216013299,0.6071533450271447,0.5901129321232397,0.5876054175792296
Czech Republic,CZE,24,2000,2023,0.0,0.0,0.30000000000000004,0.6205460246657617,0.6313475552552615,0.6213909886094835,0.4697964206261382,0.5188553080773857,0.5247531064104717
Denmark,DNK,24,2000,2023,0.0,0.0,0.1,0.38803081824953534,0.2804425642793879,0.2719023526278112,0.2975229444954125,0.2144952691335244,0.20652807897346992
Estonia,EST,24,2000,2023,0.0,0.0,0.1,0.8224089452470528,0.8122881503997177,0.8037249046909147,0.6217687494870702,0.601682494728759,0.5969468432853008
Finland,FIN,24,2000,2023,0.0,0.0,0.1,0.4440042008917911,0.3643018512132014,0.35066942515775645,0.26698386004306285,0.26372027049282987,0.25463254892469633
France,FRA,24,2000,2023,19.0,0.0,0.30000000000000004,0.50045721721053,0.5741459089812961,0.5621452726458673,0.4497497201568301,0.3572539413401179,0.37081276573710914
Germany,DEU,24,2000,2023,4.0,4.0,-0.1,0.36744938985834724,0.2589570205635722,0.2397852345494414,0.28257945579675753,0.32319237895900466,0.3103083301163476
Greece,GRC,24,2000,2023,1.0,0.0,0.15,0.8553171199433784,0.37040886591321737,0.35601633541533223,0.4963064607682484,0.4307543749259651,0.4317405164255339
Hungary,HUN,24,2000,2023,19.0,0.0,0.30000000000000004,0.6976926842721385,0.5686107845864705,0.5448468665321926,0.5059272404263011,0.673138980187884,0.6744325548488111
Iceland,ISL,24,2000,2023,19.0,18.0,0.30000000000000004,0.5507851781202424,0.32743591782331544,0.3225086056882907,0.5786129913760325,0.44994844957723407,0.4487310767218733
Ireland,IRL,24,2000,2023,0.0,0.0,0.30000000000000004,0.34184850891490315,0.37988129438243606,0.37404561852453494,0.27869611147798773,0.25663596437975555,0.2535150792974934
Israel,ISR,24,2000,2023,19.0,18.0,0.30000000000000004,0.5506481910978999,0.3723242239073913,0.3587270816438089,0.30416029235598274,0.23625312473724014,0.23597172117403556
Italy,ITA,24,2000,2023,19.0,0.0,0.30000000000000004,0.5432947142439055,0.41444694672601873,0.40119227905610877,0.5207895043452503,0.5121676119276375,0.5070594875631201
Japan,JPN,24,2000,2023,0.0,0.0,0.05000000000000002,0.2990676990401555,0.27048704436831905,0.2691656308772639,0.2780074465778918,0.21925593369730967,0.2186238427879845
Korea,KOR,24,2000,2023,0.0,0.0,0.30000000000000004,0.44644088137290566,0.44132374966221305,0.4337807597551203,0.3883896000233498,0.37681904757416324,0.36515248041240533
Latvia,LVA,24,2000,2023,19.0,0.0,0.30000000000000004,0.6959005806657577,0.7071694093734884,0.678920141956996,0.7101266326410679,0.6915033693538597,0.6837870141038038
Lithuania,LTU,24,2000,2023,0.0,0.0,0.15,0.8766613473504593,0.6018382688737067,0.5774053270013567,0.7582177513662557,0.6642710242158443,0.6619971788262077
Luxembourg,LUX,24,2000,2023,1.0,0.0,0.15,0.37343179236332064,0.33409507220529033,0.3111505984670969,0.45519521342922303,0.4149507565761359,0.4196118112309945
Mexico,MEX,24,2000,2023,11.0,12.0,-0.1,1.1271794769745267,0.7110550304357767,0.7101622968899948,1.1439284809981345,0.8762719207797895,0.8768678624860455
Netherlands,NLD,24,2000,2023,0.0,0.0,0.1,0.4678648826525245,0.4704733085568236,0.4618928686619771,0.39710321318523367,0.29769586606223963,0.2934904818480706
New Zealand,NZL,24,2000,2023,0.0,0.0,0.30000000000000004,0.37878708879905315,0.3669346250407356,0.3512686832776125,0.22675448567026124,0.19432738015091178,0.1754099060484351
Norway,NOR,24,2000,2023,0.0,0.0,0.30000000000000004,0.2507372320254169,0.29270816247964176,0.2675056125954187,0.2178689092817637,0.18293605896522058,0.17126823519102394
Poland,POL,24,2000,2023,7.0,6.0,-0.1,0.6624306078173448,0.713764563620884,0.7080062971219505,0.5872629801488757,0.6137910550059642,0.6149488751603135
Portugal,PRT,24,2000,2023,19.0,0.0,0.30000000000000004,0.7156951336884497,0.3330181572817796,0.30438711133732194,0.4685625537073885,0.3743511417701387,0.36547161851808185
