Asset-lag scale,Median OOS MAPE (%),Mean OOS MAPE (%),Countries
0.5,4.39,5.52,35
0.75,4.33,5.51,35
1.0,4.17,5.49,35
1.25,4.1,5.47,35
1.5,4.04,5.45,35
2.0,3.86,5.42,35
