scenario,n_countries,median_mu_M1,mean_mu_M1,median_mu0_M2,median_mu1_M2,median_TestB_M2
baseline,39,0.26,1.565,0.05,0.04,3.065
cyclical,39,0.26,1.552,0.05,0.04,3.058
post2000_high,39,0.26,1.591,0.05,0.04,3.056
post2000_low,39,0.26,1.539,0.05,0.04,3.076
trend_down,39,0.26,1.552,0.05,0.04,3.069
trend_up,39,0.26,1.578,0.05,0.04,3.062
