excluded,n_remaining,mean_joint_artifact_pp,full_mean_joint_artifact_pp,delta_pp
"Republic of Korea, Asian crisis",5,0.05,0.29,-0.25
"United States, global financial crisis",5,0.31,0.29,0.01
"United States, dot-com boom",5,0.37,0.29,0.07
"Germany, global financial crisis",5,0.34,0.29,0.04
Japan's 'lost decade',5,0.35,0.29,0.06
"Japan, global financial crisis",5,0.35,0.29,0.06
