Concept,"Population (Bongaarts-Feeney, 1998)",Capital (this paper)
Flow,Births B(t),Investment I(t)
Stock,Population N(t),Reproducible capital W(t)
Quantum,Total Fertility Rate TFR,Investment rate I/Y
Tempo,Mean age at childbearing MAC(t),Time-to-build μ(t)
Bongaarts-Feeney adjustment,TFR* = TFR/(1−r(t)),K*(t) via μ(t)-weighted PIM
Forgotten parameter,"Parity-specific σ (Goldstein-Lutz-Scherbov, 2003)","Intangible share β (Corrado-Hulten-Sichel, 2009)"
Book-keeping identity,dN/dt = B − dN,dW/dt = I − δW
Joint identification,TFR* vs. life-table consistency,PIM vs. CWON consistency
