Model,Dir. acc. median (%),Dir. acc. mean (%),CWON RMSE median,CWON RMSE mean,N
M0,100.0,95.4,0.0085,0.0119,39
M1,100.0,95.9,0.0077,0.0114,39
M2,100.0,95.9,0.0072,0.0112,39
M3,100.0,95.4,0.0085,0.0119,39
M4,100.0,95.4,0.0085,0.0111,39
