system,species,P_occ_given_prior,P_occ_given_no_prior,n_matched
foss,walleye_pollock,0.9825538233110617,0.7368421052631579,2751
foss,pacific_cod,0.9825990373935579,0.9,2751
foss,yellowfin_sole,0.9514840182648402,0.07007007007007007,2751
foss,northern_rock_sole,0.6678445229681979,0.027147487844408427,2751
foss,arrowtooth_flounder,0.9576719576719577,0.16596638655462184,2751
foss,pacific_halibut,0.7938352703385548,0.47668393782383417,2751
