species,horizon,oos
PELE,1,
PELE,2,
PELE,3,
PELE,6,
PELE,12,-0.03177814784091004
PEMA,1,0.300765028545952
PEMA,2,
PEMA,3,
PEMA,6,
PEMA,12,-0.13868352821553787
BLBR,1,
BLBR,2,
BLBR,3,
BLBR,6,
BLBR,12,
TAST,1,
TAST,2,
TAST,3,
TAST,6,
TAST,12,
SOSP,1,
SOSP,2,
SOSP,3,
SOSP,6,
SOSP,12,
MYGA,1,
MYGA,2,
MYGA,3,
MYGA,6,
MYGA,12,
