species,horizon,oos
3160,1,0.6982069649225467
3160,2,0.6430316466478118
3160,3,0.6182242241485993
3160,5,0.5067291162373669
7610,1,0.7679812578224228
7610,2,0.7245581255986049
7610,3,0.6872430224012738
7610,5,0.646702435551238
4980,1,0.7795132759314639
4980,2,0.7505044716004075
4980,3,0.6703743652496269
4980,5,0.6465475589287453
4950,1,0.6152676488025018
4950,2,0.5957511948764681
4950,3,0.5470890848952453
4950,5,0.49468409924186674
4880,1,0.6452154210322728
4880,2,0.6225240709986077
4880,3,0.583948108903021
4880,5,0.5210828780884136
6130,1,0.5149194238412393
6130,2,0.44228627879797466
6130,3,0.3907937319089416
6130,5,0.36890653867748546
4930,1,0.320595404629332
4930,2,0.399951750979904
4930,3,0.383148485641002
4930,5,0.3723247507613515
5600,1,0.6149886760805926
5600,2,0.5678878180816287
5600,3,0.5368370126776161
5600,5,0.47346931974285267
6810,1,0.7580779254706813
6810,2,0.7244664685376501
6810,3,0.7107463134772344
6810,5,0.6513173105318881
5110,1,0.677359050552807
5110,2,0.6619606209004381
5110,3,0.6242980645390959
5110,5,0.6002553717422388
