ind,cell,ym,u_t,u_tm12
J047,2,24095,0.0,0.0
J047,106,24095,0.0,0.0
J047,315,24095,0.0,0.0
J047,316,24095,0.0,0.0
J047,318,24095,0.0,0.0
J047,319,24095,0.0,0.0
J047,420,24095,0.0,0.0
J047,421,24095,0.0,0.0
J047,422,24095,0.0,0.0
J047,425,24095,0.0,0.0
J047,525,24095,0.0,0.0
J047,526,24095,0.0,0.0
J047,527,24095,0.0,0.0
J047,528,24095,0.0,0.0
J047,530,24095,0.0,0.0
J047,630,24095,0.0,0.0
J047,632,24095,0.0,0.0
J047,633,24095,0.0,0.0
J047,634,24095,0.16666666666666666,0.0
J047,635,24095,0.0,0.0
J047,637,24095,0.0,0.0
J047,735,24095,0.16666666666666666,1.0
J047,736,24095,0.0,0.0
J047,737,24095,0.0,0.0
J047,738,24095,0.6666666666666666,0.0
J047,739,24095,0.0,0.0
J047,740,24095,0.0,0.0
J047,741,24095,0.0,0.0
J047,742,24095,0.0,0.0
J047,743,24095,0.0,0.0
J047,744,24095,0.0,0.0
J047,840,24095,0.0,0.0
J047,841,24095,0.0,0.0
J047,842,24095,0.0,0.0
J047,844,24095,0.0,0.0
J047,847,24095,0.0,0.0
J047,946,24095,0.0,0.0
J047,950,24095,0.0,0.0
J047,952,24095,0.0,0.0
J047,953,24095,0.0,0.0
J047,1052,24095,0.0,0.0
J047,1058,24095,0.0,0.0
J047,1158,24095,0.0,0.0
J047,1161,24095,0.0,0.0
J047,1162,24095,0.0,0.0
J047,1163,24095,0.0,0.0
J047,1266,24095,0.0,0.0
J047,1267,24095,0.0,0.0
J047,1268,24095,0.0,0.0
J047,1371,24095,0.0,0.0
J047,1474,24095,0.0,0.0
J047,1477,24095,0.0,0.0
J047,1580,24095,0.0,0.0
J047,1581,24095,0.0,0.0
J047,1686,24095,0.0,0.0
