system,rho_obs,nrep,P_HG_pos_envonly,P_HG_gt_005_envonly,median_HG_sim,p95_HG_sim
foss,0.0,20,1.0,0.8,0.23490863332621204,0.3622981674042585
foss,0.3,20,0.95,0.85,0.2448112154454778,0.37167435224745643
bbs,0.0,20,1.0,0.85,0.09047863886564811,0.28067464111167084
bbs,0.3,20,0.95,0.7,0.11741539631362252,0.27229775214653196
elk_mask,0.0,20,0.35,0.0,-0.0005778925245906175,0.0021157360489422587
elk_mask,0.3,20,0.95,0.1,0.007859847562907474,0.05559885173541657
