species,site,ym,n_t,n_tm1
PELE,BART,2014-06,54.0,9.0
PELE,BART,2017-06,4.0,3.0
PELE,BART,2018-06,12.0,
PELE,BART,2018-09,42.0,114.0
PELE,BART,2021-09,25.0,16.0
PELE,BART,2022-06,18.0,
PELE,BART,2023-06,1.0,
PELE,BLAN,2018-06,144.0,
PELE,BLAN,2018-09,129.0,
PELE,BLAN,2019-06,90.0,
PELE,BLAN,2021-09,33.0,
PELE,BLAN,2022-09,16.0,42.0
PELE,BLAN,2024-09,89.0,4.0
PELE,CLBJ,2017-05,173.0,111.0
PELE,CLBJ,2024-05,19.0,
PELE,CLBJ,2024-10,7.0,10.0
PEMA,ABBY,2017-07,103.0,124.0
PEMA,ABBY,2019-07,18.0,52.0
PEMA,ABBY,2020-08,16.0,
PEMA,ABBY,2020-09,63.0,16.0
PEMA,ABBY,2022-09,19.0,22.0
PEMA,BART,2014-06,87.0,13.0
PEMA,BART,2017-06,20.0,14.0
PEMA,BART,2017-09,7.0,
PEMA,BART,2018-06,16.0,
PEMA,BART,2018-09,46.0,59.0
PEMA,BART,2019-06,4.0,
PEMA,BART,2021-09,38.0,43.0
PEMA,BART,2023-09,13.0,1.0
PEMA,BART,2024-09,5.0,4.0
PEMA,BLAN,2016-09,1.0,2.0
PEMA,CLBJ,2017-05,120.0,98.0
PEMA,CLBJ,2019-05,3.0,6.0
BLBR,BART,2014-06,31.0,3.0
BLBR,BART,2017-06,7.0,1.0
BLBR,BART,2018-09,47.0,40.0
BLBR,BART,2023-09,10.0,4.0
BLBR,BART,2024-09,53.0,20.0
BLBR,BLAN,2018-09,4.0,
BLBR,BLAN,2023-09,1.0,
TAST,BART,2014-06,32.0,1.0
TAST,BART,2017-06,10.0,2.0
TAST,BART,2018-09,2.0,3.0
TAST,BART,2021-09,7.0,9.0
TAST,BART,2024-09,5.0,8.0
TAST,BLAN,2016-06,3.0,
SOSP,ABBY,2017-07,48.0,8.0
SOSP,ABBY,2019-07,12.0,6.0
SOSP,ABBY,2020-08,22.0,
SOSP,ABBY,2020-09,21.0,22.0
SOSP,ABBY,2022-09,31.0,29.0
SOSP,BART,2019-08,1.0,
SOSP,BONA,2023-08,15.0,7.0
SOSP,BONA,2024-07,1.0,
MYGA,BART,2014-06,3.0,1.0
MYGA,BART,2017-06,17.0,10.0
MYGA,BART,2018-09,48.0,37.0
MYGA,BART,2021-09,19.0,10.0
MYGA,BART,2023-09,14.0,7.0
MYGA,BART,2024-09,19.0,10.0
