species,system,M0,M1,M2,M3,M4,M5,M6,HG,EG
PELE,neon,-0.05685066919588522,-0.03304045819944679,,,,-0.08060424227390217,,,
PEMA,neon,-0.04908052398227514,-0.052927901280548584,0.32209335615661194,0.300765028545952,,-0.16562993305556062,,0.3536929298265006,-0.021328327610659947
BLBR,neon,-0.07385102988322956,-0.09321034345103762,,,,,,,
TAST,neon,-0.08300904225363848,-0.15309810251774358,,,,,,,
SOSP,neon,,,,,,,,,
MYGA,neon,,,,,,,,,
