ind,n_rows,M0,M1,M2,M3,M4,M5,M6,HG,EG
BL234,2050,0.0,0.0,0.0022360708122663997,0.0022360708122662887,-0.04123145257712957,0.0,-0.04123145257712979,0.0022360708122662887,-1.1102230246251565e-16
GR169,1888,0.0,0.0,0.017082065338580588,0.017082065338580588,0.08265330972630802,0.0,0.08265330972630813,0.017082065338580588,0.0
OR100,6006,0.0,0.0,0.012238456277384624,0.012238456277384624,0.022247882164015187,0.0,0.022247882164015187,0.012238456277384624,0.0
OR51_OR19,2492,0.0,0.0,0.02825105733079325,0.02825105733079325,0.02933166241536478,0.0,0.029331662415365,0.02825105733079325,0.0
OR54_BL260,4526,0.0,0.0,0.025272372121547537,0.025272372121547426,0.021807460827617087,0.0,0.021807460827616976,0.025272372121547426,-1.1102230246251565e-16
OR55_OR15,5000,0.0,0.0,0.06825496407173792,0.06825496407173792,0.14757350443891482,0.0,0.14757350443891504,0.06825496407173792,0.0
OR56_BL251,4446,0.0,0.0,0.0434701470894161,0.0434701470894161,0.1756658920245462,0.0,0.1756658920245464,0.0434701470894161,0.0
OR60_BL288,5950,0.0,0.0,0.01789601055625767,0.01789601055625767,0.03294571059354945,0.0,0.03294571059354934,0.01789601055625767,0.0
OR65_BL265,2898,0.0,0.0,0.024769532464698596,0.024769532464698596,0.001970308977140345,0.0,0.0019703089771401228,0.024769532464698596,0.0
OR66_BL293,1300,0.0,0.0,0.027301334219694162,0.027301334219694162,-0.1020690571251992,0.0,-0.10206905712519965,0.027301334219694162,0.0
OR78,10780,0.0,0.0,0.052278087820111896,0.052278087820111896,0.10860597041847686,0.0,0.10860597041847708,0.052278087820111896,0.0
OR81,5146,0.0,0.0,0.04539700759184462,0.04539700759184473,0.11177015428045511,0.0,0.11177015428045523,0.04539700759184473,1.1102230246251565e-16
OR89,6592,0.0,0.0,0.048890172237133434,0.048890172237133656,0.16816253698847605,0.0,0.16816253698847583,0.048890172237133656,2.220446049250313e-16
OR90,1860,0.0,0.0,0.020714360640226137,0.020714360640226137,0.06708655684453158,0.0,0.06708655684453135,0.020714360640226137,0.0
OR97,3078,0.0,0.0,0.010939705602609151,0.01093970560260904,0.0688141554366587,0.0,0.0688141554366587,0.01093970560260904,-1.1102230246251565e-16
OR99,5016,0.0,0.0,0.015795549035566903,0.015795549035566903,0.042502867819748325,0.0,0.042502867819748325,0.015795549035566903,0.0
YL100,5550,0.0,0.0,0.003719838197899228,0.00371983819789945,0.03174446790237606,0.0,0.03174446790237606,0.00371983819789945,2.220446049250313e-16
YL107,4224,0.0,0.0,0.013672652276381037,0.013672652276381148,0.045940434187038526,0.0,0.045940434187038415,0.013672652276381148,1.1102230246251565e-16
YL112_OR38,5056,0.0,0.0,0.013275502240208903,0.013275502240208903,0.011712739778875214,0.0,0.011712739778875214,0.013275502240208903,0.0
YL114_BL274,3654,0.0,-2.220446049250313e-16,0.12327701012958847,0.12327701012958847,0.14519206035750876,-2.220446049250313e-16,0.14519206035750887,0.1232770101295887,0.0
YL116_OR83,1416,0.0,0.0,-0.007107701757488982,-0.00710770175748876,-0.04056794650655582,-2.220446049250313e-16,-0.040567946506556485,-0.00710770175748876,2.220446049250313e-16
YL118_OR8,1736,0.0,0.0,0.04698955653644332,0.04698955653644321,0.1485813584721264,0.0,0.1485813584721265,0.04698955653644321,-1.1102230246251565e-16
YL120_BL290,3534,0.0,0.0,0.016586251634086446,0.016586251634086557,0.054829032161690106,0.0,0.054829032161690106,0.016586251634086557,1.1102230246251565e-16
YL124,3332,0.0,0.0,0.010801745159359166,0.010801745159359166,0.08908265837296614,0.0,0.08908265837296614,0.010801745159359166,0.0
YL130_OR9,1775,0.0,0.0,0.0630981270605635,0.0630981270605635,0.03536277431235302,0.0,0.03536277431235302,0.0630981270605635,0.0
YL133_OR87,4209,0.0,0.0,0.019905667274041083,0.019905667274041083,0.03582556435797268,0.0,0.035825564357972794,0.019905667274041083,0.0
YL134_BL262,2432,0.0,0.0,0.0481148532363781,0.048114853236377875,0.17250113723282146,0.0,0.17250113723282146,0.048114853236377875,-2.220446049250313e-16
YL137_BE13,2601,0.0,0.0,0.015891813330544013,0.015891813330544013,0.08145708121827111,0.0,0.08145708121827111,0.015891813330544013,0.0
YL138_BL295,1272,0.0,0.0,-0.002644151858904209,-0.002644151858904209,-0.6310148399970741,-2.220446049250313e-16,-0.6310148399970739,-0.002644151858904209,0.0
