species,system,M0,M1,M2,M3,M4,M5,M6,HG,EG
3160,bbs,0.0,-0.003175021268913447,0.6976499982421704,0.6982069649225467,0.7335985440394528,0.6978185213175169,0.7331910779734712,0.7013819861914602,0.0005569666803763029
7610,bbs,0.0,-0.005101060255618739,0.7681018720562691,0.7679812578224228,0.8065447760037423,0.767891132797238,0.8063578305682022,0.7730823180780415,-0.00012061423384635006
4980,bbs,0.0,-0.002008157752865225,0.7795385852196184,0.7795132759314639,0.7711644133455028,0.7794204565487541,0.7709440466069916,0.7815214336843291,-2.530928815447364e-05
4950,bbs,0.0,-0.003177324964633188,0.615822119235347,0.6152676488025018,0.6896351169650441,0.6151522286520488,0.6891400621589974,0.618444973767135,-0.0005544704328451777
4880,bbs,0.0,-0.004135878650264546,0.6451403192723633,0.6452154210322728,0.7070857341709678,0.6460719656844593,0.7080561821272517,0.6493512996825374,7.510175990954604e-05
6130,bbs,0.0,-0.0018639954180206253,0.5149109202408548,0.5149194238412393,0.5832539309526612,0.5146109834008952,0.5827021770064875,0.51678341925926,8.503600384512922e-06
4930,bbs,0.0,-0.001445172751448176,0.3210174008414687,0.320595404629332,0.5454882021012555,0.3206208660094223,0.5455472336246426,0.3220405773807802,-0.00042199621213667715
5600,bbs,0.0,-0.0025374613578439398,0.6152571433817726,0.6149886760805926,0.6832673542165877,0.6148752536122137,0.6839061810587376,0.6175261374384365,-0.0002684673011800198
6810,bbs,-2.220446049250313e-16,-0.006252135719689411,0.7582910484266516,0.7580779254706813,0.8002650001095697,0.7581303101864044,0.8004378179948725,0.7643300611903707,-0.00021312295597031294
5110,bbs,0.0,-0.001300940932468908,0.6777835220491901,0.677359050552807,0.7382143249878683,0.6773251830855244,0.737958679945267,0.6786599914852759,-0.00042447149638313864
