ind,horizon,oos
BL234,1,0.0022360708122662887
BL234,2,-0.00937001579715413
BL234,3,-0.0074781467670055335
BL234,5,0.01107437196065919
BL234,12,-0.040813763202298015
GR169,1,0.017082065338580588
GR169,2,-0.015213489024446414
GR169,3,0.0026681281119805833
GR169,5,0.016556067481734882
GR169,12,0.060601088033657824
OR100,1,0.012238456277384624
OR100,2,-0.003219815293954431
OR100,3,-0.005851920902784302
OR100,5,-0.000465187548429169
OR100,12,0.02106920324337347
OR51_OR19,1,0.02825105733079325
OR51_OR19,2,-0.014315782252477982
OR51_OR19,3,-0.032019979844214896
OR51_OR19,5,0.024697133070957555
OR51_OR19,12,0.03151564654593553
OR54_BL260,1,0.025272372121547426
OR54_BL260,2,-0.0020059609053151295
OR54_BL260,3,-0.003929517746016575
OR54_BL260,5,-0.0016570796686978806
OR54_BL260,12,0.012813741828790026
OR55_OR15,1,0.06825496407173792
OR55_OR15,2,-0.0026882939316317245
OR55_OR15,3,-0.0018964472955931289
OR55_OR15,5,0.017656446785761504
OR55_OR15,12,0.15277502132072773
OR56_BL251,1,0.0434701470894161
OR56_BL251,2,-0.0013928312674902354
OR56_BL251,3,0.005898866682076287
OR56_BL251,5,0.02556630483511535
OR56_BL251,12,0.17980897546755004
OR60_BL288,1,0.01789601055625767
OR60_BL288,2,-0.003937622624661463
OR60_BL288,3,-0.005971427176209687
OR60_BL288,5,0.012406444405048345
OR60_BL288,12,0.03228198717847863
OR65_BL265,1,0.024769532464698596
OR65_BL265,2,-0.0019831141459258905
OR65_BL265,3,-0.014345220779272028
OR65_BL265,5,0.011799289392080747
OR65_BL265,12,-0.010102313214626957
OR66_BL293,1,0.027301334219694162
OR66_BL293,2,-0.002215843094707237
OR66_BL293,3,-0.0010605892372113068
OR66_BL293,5,-0.0033511929587515255
OR66_BL293,12,-0.0026109806200940167
OR78,1,0.052278087820111896
OR78,2,0.009266336875424552
OR78,3,-0.0011368862779261857
OR78,5,0.040481440975400185
OR78,12,0.09930498249862518
OR81,1,0.04539700759184473
OR81,2,-0.00025620324523045745
OR81,3,-0.0023657431716828103
OR81,5,0.01664313025282682
OR81,12,0.11776310964417047
OR89,1,0.048890172237133656
OR89,2,-0.006300686460711136
OR89,3,-0.01420821969124364
OR89,5,0.009181092181196782
OR89,12,0.17044171080327952
OR90,1,0.020714360640226137
OR90,2,-0.014767622540806213
OR90,3,0.0024532619848699477
OR90,5,0.018115791428885086
OR90,12,0.09551767359188834
OR97,1,0.01093970560260904
OR97,2,-0.0008056947004559945
OR97,3,0.003864769530208423
OR97,5,0.005221749543939724
OR97,12,0.06856254459190703
OR99,1,0.015795549035566903
OR99,2,-0.0014625076619900756
OR99,3,0.005800244945113775
OR99,5,0.0003197060143318442
OR99,12,0.04807153660255037
YL100,1,0.00371983819789945
YL100,2,0.0013866070770279793
YL100,3,-0.0026622974236529817
YL100,5,-0.004064414942467343
YL100,12,0.020005637431493528
YL107,1,0.013672652276381148
YL107,2,-0.0014860354158596767
YL107,3,0.0027411371029100184
YL107,5,0.001888567672794772
YL107,12,0.04716078841432858
YL112_OR38,1,0.013275502240208903
YL112_OR38,2,0.002456809443551089
YL112_OR38,3,0.0016945276405685439
YL112_OR38,5,0.006077981539283184
YL112_OR38,12,0.016065908515551897
YL114_BL274,1,0.12327701012958847
YL114_BL274,2,-0.005742754489085122
YL114_BL274,3,-0.007365266957840788
YL114_BL274,5,0.030248948941717035
YL114_BL274,12,0.1356325429268238
YL116_OR83,1,-0.00710770175748876
YL116_OR83,2,-0.08396022403273307
YL116_OR83,3,-0.07195879586858278
YL116_OR83,5,0.00442615691762549
YL116_OR83,12,-0.032747329332178055
YL118_OR8,1,0.04698955653644321
YL118_OR8,2,0.0055842754622452695
YL118_OR8,3,-0.012513395545342254
YL118_OR8,5,0.056273544819496646
YL118_OR8,12,0.1677040691437931
YL120_BL290,1,0.016586251634086557
YL120_BL290,2,-0.006314693992482745
YL120_BL290,3,-0.002498094573785581
YL120_BL290,5,0.005614408087656453
YL120_BL290,12,0.058710866765359304
YL124,1,0.010801745159359166
YL124,2,0.0014561773970963587
YL124,3,0.0008638043867708056
YL124,5,0.010418948170370479
YL124,12,0.08424374748375096
YL130_OR9,1,0.0630981270605635
YL130_OR9,2,0.0005859101518809195
YL130_OR9,3,-0.0027882806749708333
YL130_OR9,5,0.0370024807465853
YL130_OR9,12,0.030966546853168242
YL133_OR87,1,0.019905667274041083
YL133_OR87,2,-0.005662038490787058
YL133_OR87,3,-0.0006133228067430885
YL133_OR87,5,-0.000867459602394538
YL133_OR87,12,0.043926641689662205
YL134_BL262,1,0.048114853236377875
YL134_BL262,2,-0.019899787828544513
YL134_BL262,3,-0.0009464742990583641
YL134_BL262,5,0.029726873005753274
YL134_BL262,12,0.1261412120443196
YL137_BE13,1,0.015891813330544013
YL137_BE13,2,-0.0077739229621101025
YL137_BE13,3,-0.010683642769493629
YL137_BE13,5,-0.004355635275407277
YL137_BE13,12,0.07309094056787602
YL138_BL295,1,-0.002644151858904209
YL138_BL295,2,-0.04891692809532011
YL138_BL295,3,-0.004931011351989145
YL138_BL295,5,0.007759773648446933
YL138_BL295,12,-0.27464602142863614
YL151_YL87,1,-0.008421955149008342
YL151_YL87,2,-0.022967554369420773
YL151_YL87,3,-0.016904928832487842
YL151_YL87,5,-0.0022973365893927955
YL151_YL87,12,
YL152_YL63,1,0.03832172108969145
YL152_YL63,2,-0.001550239883872484
YL152_YL63,3,0.004908375880877558
YL152_YL63,5,-0.007851323403816002
YL152_YL63,12,0.05230718278681712
YL153,1,0.003708470472043701
YL153,2,-0.014192199331870103
YL153,3,-0.01095662340376058
