ind,cell,ym,u_t,u_tm12
OR100,2887,24226,0.1111111111111111,0.09264305177111716
OR100,2887,24232,0.4444444444444444,0.27906976744186046
OR100,2888,24208,0.061452513966480445,0.06963788300835655
OR100,2888,24226,0.05555555555555555,0.0326975476839237
OR100,2888,24232,0.08333333333333333,0.06976744186046512
OR100,2889,24208,0.0,0.013927576601671309
OR100,2889,24226,0.08333333333333333,0.027247956403269755
OR100,2889,24232,0.0,0.0
OR100,2890,24208,0.0,0.022284122562674095
OR100,2890,24226,0.0,0.01634877384196185
OR100,2890,24232,0.0,0.0
OR100,2891,24208,0.0,0.0
OR100,2891,24226,0.0,0.0
OR100,2891,24232,0.0,0.0
OR100,2984,24208,0.0,0.0
OR100,2984,24226,0.0,0.0
OR100,2984,24232,0.0,0.0
OR100,2985,24208,0.0,0.0
OR100,2985,24226,0.0,0.0
OR100,2985,24232,0.0,0.0
OR100,2986,24208,0.0,0.0
OR100,2986,24226,0.0,0.0
OR100,2986,24232,0.0,0.0
OR100,2987,24208,0.0,0.0
OR100,2987,24226,0.0,0.0
OR100,2987,24232,0.0,0.0
OR100,2988,24208,0.0,0.0
OR100,2988,24226,0.0,0.0
OR100,2988,24232,0.0,0.0
OR100,2989,24208,0.0,0.0
OR100,2989,24226,0.0,0.013623978201634877
OR100,2989,24232,0.0,0.0
OR100,2990,24208,0.01675977653631285,0.008356545961002786
OR100,2990,24226,0.0,0.04087193460490463
OR100,2990,24232,0.0,0.0
OR100,2991,24208,0.0782122905027933,0.04456824512534819
OR100,2991,24226,0.1111111111111111,0.10899182561307902
OR100,2991,24232,0.027777777777777776,0.20930232558139536
OR100,2992,24208,0.26256983240223464,0.15877437325905291
OR100,2992,24226,0.0,0.043596730245231606
OR100,2992,24232,0.1388888888888889,0.23255813953488372
OR100,2993,24208,0.22625698324022347,0.2590529247910863
OR100,2993,24226,0.027777777777777776,0.0
OR100,2993,24232,0.1111111111111111,0.11627906976744186
OR100,2994,24208,0.13128491620111732,0.14763231197771587
OR100,2994,24226,0.08333333333333333,0.0
OR100,2994,24232,0.0,0.0
OR100,2995,24208,0.09217877094972067,0.06406685236768803
OR100,2995,24226,0.05555555555555555,0.0
OR100,2995,24232,0.08333333333333333,0.0
OR100,2996,24208,0.0,0.0
OR100,2996,24226,0.0,0.0
OR100,2996,24232,0.0,0.0
OR100,2997,24208,0.0,0.0
OR100,2997,24226,0.0,0.0
OR100,2997,24232,0.0,0.0
OR100,3089,24208,0.0,0.0
OR100,3089,24226,0.0,0.0
OR100,3089,24232,0.0,0.0
OR100,3090,24208,0.0,0.0
OR100,3090,24226,0.0,0.0
OR100,3090,24232,0.0,0.0
OR100,3091,24208,0.0,0.0
OR100,3091,24226,0.0,0.02997275204359673
OR100,3091,24232,0.0,0.0
OR100,3092,24208,0.0,0.0
OR100,3092,24226,0.0,0.027247956403269755
OR100,3092,24232,0.0,0.0
OR100,3093,24208,0.0,0.0
OR100,3093,24226,0.0,0.021798365122615803
OR100,3093,24232,0.0,0.0
OR100,3094,24208,0.0,0.0
OR100,3094,24226,0.0,0.0326975476839237
OR100,3094,24232,0.0,0.0
OR100,3095,24208,0.0,0.0
OR100,3095,24226,0.0,0.0
OR100,3095,24232,0.0,0.0
OR100,3096,24208,0.0,0.0
OR100,3096,24226,0.0,0.0
OR100,3096,24232,0.0,0.0
OR100,3097,24208,0.0,0.0
OR100,3097,24226,0.0,0.0
OR100,3097,24232,0.0,0.0
OR100,3098,24208,0.0,0.0
OR100,3098,24226,0.0,0.0
OR100,3098,24232,0.0,0.0
OR100,3099,24208,0.0,0.0
OR100,3099,24226,0.0,0.0
OR100,3099,24232,0.0,0.0
OR100,3100,24208,0.0,0.0
OR100,3100,24226,0.0,0.0
OR100,3100,24232,0.0,0.0
OR100,3194,24208,0.0,0.0
OR100,3194,24226,0.0,0.0
OR100,3194,24232,0.0,0.0
OR100,3199,24208,0.0,0.0
OR100,3199,24226,0.0,0.0
OR100,3199,24232,0.0,0.0
OR100,3200,24208,0.0,0.0
OR100,3200,24226,0.0,0.0
OR100,3200,24232,0.0,0.0
OR100,3201,24208,0.0,0.0
OR100,3201,24226,0.0,0.0
OR100,3201,24232,0.0,0.0
OR100,3202,24208,0.0,0.0
OR100,3202,24226,0.0,0.0
OR100,3202,24232,0.0,0.0
OR100,3203,24208,0.0,0.0
OR100,3203,24226,0.0,0.0
OR100,3203,24232,0.0,0.0
OR100,3205,24208,0.0,0.0
OR100,3205,24226,0.0,0.0
OR100,3205,24232,0.0,0.0
OR100,3295,24208,0.0,0.0
OR100,3295,24226,0.0,0.0
OR100,3295,24232,0.0,0.0
OR100,3296,24208,0.0,0.0
OR100,3296,24226,0.0,0.0
OR100,3296,24232,0.0,0.0
OR100,3297,24208,0.0,0.0
OR100,3297,24226,0.0,0.0
OR100,3297,24232,0.0,0.0
OR100,3298,24208,0.0,0.0
OR100,3298,24226,0.0,0.0
OR100,3298,24232,0.0,0.0
OR100,3303,24208,0.0,0.0
OR100,3303,24226,0.0,0.0
OR100,3303,24232,0.0,0.0
OR100,3304,24208,0.0,0.0
OR100,3304,24226,0.0,0.0
OR100,3304,24232,0.0,0.0
OR100,3305,24208,0.0,0.0
OR100,3305,24226,0.0,0.0
OR100,3305,24232,0.0,0.0
OR100,3306,24208,0.0,0.0
OR100,3306,24226,0.0,0.0
OR100,3306,24232,0.0,0.0
OR100,3307,24208,0.0,0.0
OR100,3307,24226,0.0,0.0
OR100,3307,24232,0.0,0.0
OR100,3409,24208,0.0,0.0
OR100,3409,24226,0.0,0.0
OR100,3409,24232,0.0,0.0
OR100,4166,24208,0.0,0.0
OR100,4166,24226,0.0,0.0
OR100,4166,24232,0.0,0.0
OR54_BL260,2463,24202,0.0,0.0
OR54_BL260,2463,24208,0.0,0.0
OR54_BL260,2464,24202,0.0,0.0
OR54_BL260,2464,24208,0.0,0.0
OR54_BL260,2465,24202,0.0,0.0
OR54_BL260,2465,24208,0.0,0.0
OR54_BL260,2466,24202,0.0,0.0
OR54_BL260,2466,24208,0.0,0.0
OR54_BL260,2467,24202,0.0,0.0
OR54_BL260,2467,24208,0.0,0.0
OR54_BL260,2468,24202,0.0,0.0
OR54_BL260,2468,24208,0.0,0.0
OR54_BL260,2567,24202,0.0,0.0
OR54_BL260,2567,24208,0.0,0.0
OR54_BL260,2568,24202,0.0,0.0
OR54_BL260,2568,24208,0.0,0.0
OR54_BL260,2569,24202,0.0,0.0
OR54_BL260,2569,24208,0.0,0.0
OR54_BL260,2570,24202,0.0,0.0
OR54_BL260,2570,24208,0.0,0.0
OR54_BL260,2571,24202,0.0,0.0
OR54_BL260,2571,24208,0.0,0.0
OR54_BL260,2572,24202,0.0,0.0
OR54_BL260,2572,24208,0.0,0.0
OR54_BL260,2671,24202,0.0,0.0
OR54_BL260,2671,24208,0.0,0.0
OR54_BL260,2672,24202,0.0,0.0
OR54_BL260,2672,24208,0.0,0.0
OR54_BL260,2673,24202,0.0,0.0
OR54_BL260,2673,24208,0.0,0.0
OR54_BL260,2674,24202,0.0,0.0
OR54_BL260,2674,24208,0.0,0.0
OR54_BL260,2675,24202,0.0,0.0
OR54_BL260,2675,24208,0.0,0.0
OR54_BL260,2676,24202,0.0,0.0
OR54_BL260,2676,24208,0.0,0.0
OR54_BL260,2677,24202,0.0,0.0
OR54_BL260,2677,24208,0.0,0.0
OR54_BL260,2776,24202,0.0,0.0
OR54_BL260,2776,24208,0.0,0.0
OR54_BL260,2777,24202,0.0,0.0
OR54_BL260,2777,24208,0.0,0.0
OR54_BL260,2778,24202,0.0,0.0
OR54_BL260,2778,24208,0.0,0.0
OR54_BL260,2779,24202,0.0,0.0
OR54_BL260,2779,24208,0.0,0.0
OR54_BL260,2780,24202,0.0,0.008823529411764706
OR54_BL260,2780,24208,0.0,0.0
OR54_BL260,2781,24202,0.0,0.0
OR54_BL260,2781,24208,0.0,0.0
OR54_BL260,2782,24202,0.0,0.0
OR54_BL260,2782,24208,0.0,0.0
OR54_BL260,2783,24202,0.0,0.0
OR54_BL260,2783,24208,0.0,0.0
OR54_BL260,2784,24202,0.0,0.0
OR54_BL260,2784,24208,0.0,0.0
OR54_BL260,2785,24202,0.0,0.0
OR54_BL260,2785,24208,0.0,0.0
OR54_BL260,2879,24202,0.0,0.0
OR54_BL260,2879,24208,0.0,0.0
OR54_BL260,2880,24202,0.0,0.0
OR54_BL260,2880,24208,0.0,0.0
OR54_BL260,2881,24202,0.0,0.0
OR54_BL260,2881,24208,0.0,0.0
OR54_BL260,2882,24202,0.0,0.0
OR54_BL260,2882,24208,0.0,0.0
OR54_BL260,2883,24202,0.0,0.0
OR54_BL260,2883,24208,0.0,0.0
OR54_BL260,2884,24202,0.0,0.047058823529411764
OR54_BL260,2884,24208,0.005555555555555556,0.0
OR54_BL260,2885,24202,0.0,0.19117647058823528
OR54_BL260,2885,24208,0.0,0.0
OR54_BL260,2886,24202,0.1837837837837838,0.37941176470588234
OR54_BL260,2886,24208,0.005555555555555556,0.01675977653631285
OR54_BL260,2887,24202,0.13783783783783785,0.19411764705882353
OR54_BL260,2887,24208,0.16944444444444445,0.13687150837988826
OR54_BL260,2888,24202,0.14054054054054055,0.0029411764705882353
OR54_BL260,2888,24208,0.041666666666666664,0.06983240223463687
OR54_BL260,2889,24202,0.06486486486486487,0.0
OR54_BL260,2889,24208,0.002777777777777778,0.01675977653631285
OR54_BL260,2890,24202,0.05675675675675676,0.0
OR54_BL260,2890,24208,0.0,0.019553072625698324
OR54_BL260,2891,24202,0.0,0.0
OR54_BL260,2891,24208,0.0,0.0
OR54_BL260,2985,24202,0.0,0.0
OR54_BL260,2985,24208,0.0,0.0
OR54_BL260,2986,24202,0.0,0.0
OR54_BL260,2986,24208,0.0,0.0
OR54_BL260,2987,24202,0.0,0.0
OR54_BL260,2987,24208,0.0,0.0
OR54_BL260,2988,24202,0.0,0.0
OR54_BL260,2988,24208,0.0,0.0
OR54_BL260,2989,24202,0.0,0.014705882352941176
OR54_BL260,2989,24208,0.0,0.0
OR54_BL260,2990,24202,0.0,0.10588235294117647
OR54_BL260,2990,24208,0.022222222222222223,0.0111731843575419
OR54_BL260,2991,24202,0.0972972972972973,0.03235294117647059
OR54_BL260,2991,24208,0.05277777777777778,0.05027932960893855
OR54_BL260,2992,24202,0.1837837837837838,0.023529411764705882
OR54_BL260,2992,24208,0.28888888888888886,0.23743016759776536
OR54_BL260,2993,24202,0.05675675675675676,0.0
OR54_BL260,2993,24208,0.2222222222222222,0.26536312849162014
OR54_BL260,2994,24202,0.051351351351351354,0.0
OR54_BL260,2994,24208,0.14166666666666666,0.12569832402234637
OR54_BL260,2995,24202,0.02702702702702703,0.0
OR54_BL260,2995,24208,0.04722222222222222,0.05027932960893855
OR54_BL260,3090,24202,0.0,0.0
OR54_BL260,3090,24208,0.0,0.0
OR54_BL260,3091,24202,0.0,0.0
OR54_BL260,3091,24208,0.0,0.0
OR54_BL260,3092,24202,0.0,0.0
OR54_BL260,3092,24208,0.0,0.0
OR54_BL260,3093,24202,0.0,0.0
OR54_BL260,3093,24208,0.0,0.0
OR54_BL260,3094,24202,0.0,0.0
OR54_BL260,3094,24208,0.0,0.0
OR54_BL260,3095,24202,0.0,0.0
OR54_BL260,3095,24208,0.0,0.0
OR54_BL260,3096,24202,0.0,0.0
OR54_BL260,3096,24208,0.0,0.0
OR54_BL260,3097,24202,0.0,0.0
OR54_BL260,3097,24208,0.0,0.0
OR54_BL260,3098,24202,0.0,0.0
OR54_BL260,3098,24208,0.0,0.0
OR54_BL260,3099,24202,0.0,0.0
OR54_BL260,3099,24208,0.0,0.0
OR54_BL260,3100,24202,0.0,0.0
OR54_BL260,3100,24208,0.0,0.0
OR54_BL260,3205,24202,0.0,0.0
OR54_BL260,3205,24208,0.0,0.0
OR54_BL260,3206,24202,0.0,0.0
OR54_BL260,3206,24208,0.0,0.0
OR54_BL260,3310,24202,0.0,0.0
OR54_BL260,3310,24208,0.0,0.0
OR54_BL260,3311,24202,0.0,0.0
OR54_BL260,3311,24208,0.0,0.0
OR54_BL260,3416,24202,0.0,0.0
OR54_BL260,3416,24208,0.0,0.0
OR54_BL260,3519,24202,0.0,0.0
OR54_BL260,3519,24208,0.0,0.0
OR54_BL260,3520,24202,0.0,0.0
OR54_BL260,3520,24208,0.0,0.0
OR54_BL260,3521,24202,0.0,0.0
OR54_BL260,3521,24208,0.0,0.0
OR54_BL260,3626,24202,0.0,0.0
OR54_BL260,3626,24208,0.0,0.0
OR55_OR15,2781,24226,0.05970149253731343,0.0
OR55_OR15,2781,24232,0.0,0.0
OR55_OR15,2782,24226,0.0,0.0
OR55_OR15,2782,24232,0.0,0.0
OR55_OR15,2783,24226,0.014925373134328358,0.0
OR55_OR15,2783,24232,0.0,0.0
OR55_OR15,2784,24226,0.0,0.0
OR55_OR15,2784,24232,0.0,0.0
OR55_OR15,2884,24226,0.014925373134328358,0.029850746268656716
OR55_OR15,2884,24232,0.0,0.0
OR55_OR15,2885,24226,0.08955223880597014,0.029850746268656716
OR55_OR15,2885,24232,0.0,0.0
OR55_OR15,2886,24226,0.22388059701492538,0.11940298507462686
OR55_OR15,2886,24232,0.03076923076923077,0.10606060606060606
OR55_OR15,2887,24226,0.14925373134328357,0.014925373134328358
OR55_OR15,2887,24232,0.4153846153846154,0.3939393939393939
OR55_OR15,2888,24226,0.05970149253731343,0.0
OR55_OR15,2888,24232,0.13846153846153847,0.030303030303030304
OR55_OR15,2889,24226,0.07462686567164178,0.0
OR55_OR15,2889,24232,0.03076923076923077,0.0
