system,species,shift_year,anomaly_sd,D_shift,D_post3
foss,walleye_pollock,1982,-1.180410025819845,1.5975074235809905,1.843595142293759
foss,walleye_pollock,1984,-1.2376919251246912,1.8915404186495048,1.6263693495070926
foss,walleye_pollock,1985,-1.1615656036452908,1.9051094543220064,1.4934112773559078
foss,walleye_pollock,1986,-1.6549477417534129,1.518604855777188,1.4252260391528153
foss,walleye_pollock,1988,-1.3181678805567545,1.5083098158560497,1.3740687741572266
foss,walleye_pollock,1992,-1.8087558551322245,1.5055289229371414,1.5076483502515188
foss,walleye_pollock,1993,1.280244582347364,1.2521470625122124,1.5085438608704038
foss,walleye_pollock,1995,-1.9128158144332041,1.602552259175403,1.4584546358868626
foss,walleye_pollock,1996,1.1832531487617317,1.277868560394003,1.5328117881449086
foss,walleye_pollock,2003,1.7324168333840932,1.5109533436148908,1.288670966192747
foss,walleye_pollock,2005,1.4687846949225298,1.2569436920642527,1.7149740951474761
foss,walleye_pollock,2008,-1.5807694399386316,1.879338895165073,1.9442699797379117
foss,walleye_pollock,2015,1.6057293777529655,1.5413412890720575,1.4597361162021947
foss,walleye_pollock,2019,1.9791011704609023,1.4374241293765189,1.267337780713756
foss,walleye_pollock,2021,1.0738505652265822,1.2757946061435035,1.434390825249444
foss,pacific_cod,1982,-1.180410025819845,1.275757663323629,1.3606727857358598
foss,pacific_cod,1984,-1.2376919251246912,1.5198433282661143,1.2141706049121057
foss,pacific_cod,1985,-1.1615656036452908,1.1774401713557687,1.2999964222177878
foss,pacific_cod,1986,-1.6549477417534129,1.3574913376851045,1.3700893181541631
foss,pacific_cod,1988,-1.3181678805567545,1.4120004998525717,1.5348056243941588
foss,pacific_cod,1992,-1.8087558551322245,1.2270246198539836,1.2550327551649074
foss,pacific_cod,1993,1.280244582347364,0.9357156589145379,1.2722362471136772
foss,pacific_cod,1995,-1.9128158144332041,1.4641573516488444,1.0081245790708906
foss,pacific_cod,1996,1.1832531487617317,1.012658343588005,1.160356120418701
foss,pacific_cod,2003,1.7324168333840932,1.1162494705942825,1.0521234589487394
foss,pacific_cod,2005,1.4687846949225298,1.0040503496900042,1.165661952117067
foss,pacific_cod,2008,-1.5807694399386316,1.320600703947836,1.2986009955820774
foss,pacific_cod,2015,1.6057293777529655,1.268799304947081,1.007301487115394
foss,pacific_cod,2019,1.9791011704609023,1.0601479267319514,0.9864386985099767
foss,pacific_cod,2021,1.0738505652265822,1.0366802907996637,0.9869438027810181
foss,yellowfin_sole,1982,-1.180410025819845,1.1072800725297767,1.1647732201806078
foss,yellowfin_sole,1984,-1.2376919251246912,1.2829995076809555,0.8389018849096461
foss,yellowfin_sole,1985,-1.1615656036452908,1.0787390142126652,0.6989014922627695
foss,yellowfin_sole,1986,-1.6549477417534129,0.7317390036791191,0.7093326748959295
foss,yellowfin_sole,1988,-1.3181678805567545,0.6690090839394492,0.7610011991197513
foss,yellowfin_sole,1992,-1.8087558551322245,0.7875346563502162,0.7144703336371171
foss,yellowfin_sole,1993,1.280244582347364,0.6979788426050915,0.7510674922019888
foss,yellowfin_sole,1995,-1.9128158144332041,0.7435244365083079,0.9452660835920484
foss,yellowfin_sole,1996,1.1832531487617317,0.8014056925035545,0.9942984398756892
foss,yellowfin_sole,2003,1.7324168333840932,0.8069597902858611,0.629635428868432
foss,yellowfin_sole,2005,1.4687846949225298,0.6292743076555491,0.6300980466089537
foss,yellowfin_sole,2008,-1.5807694399386316,0.6958682843096892,0.866694898932895
foss,yellowfin_sole,2015,1.6057293777529655,0.8615427726993025,0.7860978987193884
foss,yellowfin_sole,2019,1.9791011704609023,1.0820908238837603,0.8656722014008156
foss,yellowfin_sole,2021,1.0738505652265822,0.8133654221210315,1.0063844617831146
foss,northern_rock_sole,1982,-1.180410025819845,0.5576816654349219,0.4984756374383849
foss,northern_rock_sole,1984,-1.2376919251246912,0.5753027863902186,0.5033067243205384
foss,northern_rock_sole,1985,-1.1615656036452908,0.3578406292477848,0.5487567132987868
foss,northern_rock_sole,1986,-1.6549477417534129,0.5003312875789561,0.5164912323794784
foss,northern_rock_sole,1988,-1.3181678805567545,0.5010431621075534,0.3884808808532023
foss,northern_rock_sole,1992,-1.8087558551322245,0.32090779278763004,0.4288552015376003
foss,northern_rock_sole,1993,1.280244582347364,0.37079824510582765,0.4426124927170776
foss,northern_rock_sole,1995,-1.9128158144332041,0.42212844688476514,0.39985208692513013
foss,northern_rock_sole,1996,1.1832531487617317,0.4143919116201527,0.4429648157945222
foss,northern_rock_sole,2003,1.7324168333840932,0.4288659973334682,0.47363540226172324
