system,era,environment_type,data_type,region,time_interval,lower_trophic_definition,higher_trophic_definition,metric,effect_estimate,effect_scale,lower_ci,upper_ci,p_value,sample_size,effect_direction,standardized_effect,sampling_pool_sensitivity,time_aggregation_sensitivity,distance_decay_effect,temporal_lag,observation_bias_score,robustness_class,analysis_script,data_source,notes
dinosaur,Late Jurassic,terrestrial,fossil_occurrence,Morrison Formation (western North America),156.3-146.8 Ma,Sauropoda + Ornithischia,Theropoda,delta_beta_simpson,-0.5433589283362031,Simpson turnover diff (predator - herbivore),-0.6226637419390177,-0.4516982561619587,0.0,206 herbivore / 114 predator collections,lower<higher,-1.4937445271866103,NA,NA,mantel r herbivore=-0.0048; predator=-0.0276,NA,NA,A,dinosaur_migration_foodweb/analysis/05_beta_diversity.py,Maidment et al. 2024 Dryad 10.5061/dryad.6m905qg77,H1 (predator>herbivore) falsified; reverse signal documented Stage 1b
dinosaur,Late Jurassic,terrestrial,fossil_occurrence,Morrison Formation (western North America),156.3-146.8 Ma,Sauropoda + Ornithischia,Theropoda,delta_beta_sorensen,-0.5491407767457093,Sorensen turnover diff (predator - herbivore),-0.622572242964528,-0.4646082097266598,0.0,206 herbivore / 114 predator collections,lower<higher,-1.0772465498718728,NA,NA,mantel r herbivore=0.0125; predator=-0.0647,NA,NA,NA,dinosaur_migration_foodweb/analysis/05_beta_diversity.py,Maidment et al. 2024 Dryad 10.5061/dryad.6m905qg77,H1 (predator>herbivore) falsified; reverse signal documented Stage 1b
dinosaur,Late Jurassic,terrestrial,fossil_occurrence,Morrison Formation (western North America),156.3-146.8 Ma,Sauropoda + Ornithischia,Theropoda,sampling_pool_sensitivity,NA,delta_beta_simpson under correction,-0.5710913276011356,-0.5710913276011356,0.0,NA,lower<higher,NA,-0.027732399264932428,NA,NA,NA,NA,NA,dinosaur_migration_foodweb/analysis/06_sampling_bias.py,Morrison Formation (western North America),correction=no_dominant_quarries
dinosaur,Late Jurassic,terrestrial,fossil_occurrence,Morrison Formation (western North America),156.3-146.8 Ma,Sauropoda + Ornithischia,Theropoda,sampling_pool_sensitivity,NA,delta_beta_simpson under correction,-0.4320274930264736,-0.4320274930264736,0.0,NA,lower<higher,NA,0.11133143530972955,NA,NA,NA,NA,NA,dinosaur_migration_foodweb/analysis/06_sampling_bias.py,Morrison Formation (western North America),correction=no_singletons
dinosaur,Late Jurassic,terrestrial,fossil_occurrence,Morrison Formation (western North America),156.3-146.8 Ma,Sauropoda + Ornithischia,Theropoda,sampling_pool_sensitivity,NA,delta_beta_simpson under correction,-0.5904771084545187,-0.49050900974166,0.0,NA,lower<higher,NA,0.0012356428901934002,NA,NA,NA,NA,NA,dinosaur_migration_foodweb/analysis/06_sampling_bias.py,Morrison Formation (western North America),correction=equalized_collections
dinosaur,Late Jurassic,terrestrial,fossil_occurrence,Morrison Formation (western North America),156.3-146.8 Ma,Sauropoda + Ornithischia,Theropoda,sampling_pool_sensitivity,NA,delta_beta_simpson under correction,-0.7035863858363859,-0.4416549358654622,0.0,NA,lower<higher,NA,-0.0377007412523076,NA,NA,NA,NA,NA,dinosaur_migration_foodweb/analysis/06_sampling_bias.py,Morrison Formation (western North America),correction=spatial_thinning_1deg
dinosaur,Late Jurassic,terrestrial,fossil_occurrence,Nemegt Formation (Mongolia),Maastrichtian,Sauropoda + Ornithischia,Theropoda,null_validation_nemegt,0.0938382225328039,delta_beta_simpson (full),NA,NA,NA,NA,no detectable contrast,NA,NA,NA,NA,NA,NA,D,dinosaur_migration_foodweb/analysis/11_nemegt_validation.py,PBDB 1.2 API,preregistered independent validation; Outcome D
