system,era,environment_type,data_type,region,time_interval,lower_trophic_definition,higher_trophic_definition,metric,effect_estimate,effect_scale,lower_ci,upper_ci,p_value,sample_size,effect_direction,standardized_effect,sampling_pool_sensitivity,time_aggregation_sensitivity,distance_decay_effect,temporal_lag,observation_bias_score,robustness_class,analysis_script,data_source,notes
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_K,-0.0009050002739812,lag-curve coefficient,NA,NA,0.0521168808473852,1702.0,NA,NA,NA,NA,NA,0,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_P,0.000208414561558,lag-curve coefficient,NA,NA,0.7873771512559418,1702.0,NA,NA,NA,NA,NA,0,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_Z,-0.000495579945308,lag-curve coefficient,NA,NA,0.1076858344802223,1702.0,NA,NA,NA,NA,NA,0,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_K,-0.0005600837817067,lag-curve coefficient,NA,NA,0.0932286866661727,1702.0,NA,NA,NA,NA,NA,1,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_P,0.0006793957706984,lag-curve coefficient,NA,NA,0.3351479434832087,1702.0,NA,NA,NA,NA,NA,1,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_Z,-0.0002453552106984,lag-curve coefficient,NA,NA,0.537046451371943,1702.0,NA,NA,NA,NA,NA,1,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_K,-5.040230354046704e-05,lag-curve coefficient,NA,NA,0.8563811103763257,1702.0,NA,NA,NA,NA,NA,2,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_P,0.0008747797520724,lag-curve coefficient,NA,NA,0.1131631471122198,1702.0,NA,NA,NA,NA,NA,2,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_Z,7.915354768917165e-05,lag-curve coefficient,NA,NA,0.7918587388827081,1702.0,NA,NA,NA,NA,NA,2,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_K,-1.857089610750524e-05,lag-curve coefficient,NA,NA,0.9384978531097482,1702.0,NA,NA,NA,NA,NA,3,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_P,0.0007295337862034,lag-curve coefficient,NA,NA,0.0294187948279887,1702.0,NA,NA,NA,NA,NA,3,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_Z,0.0001008466290651,lag-curve coefficient,NA,NA,0.6882493317550886,1702.0,NA,NA,NA,NA,NA,3,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_K,-7.819759304055554e-05,lag-curve coefficient,NA,NA,0.7574250144307056,1702.0,NA,NA,NA,NA,NA,4,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
modern_marine,modern,marine,matched_survey,California Current (ACCESS),event-based,krill/zooplankton,seabirds/whales (predator sightings),trophic_path_E-_P,0.0008584553993708,lag-curve coefficient,NA,NA,0.0032126576352503,1702.0,NA,NA,NA,NA,NA,4,NA,NA,ecomega_trophic_propagation/scripts/05_lag_placebo.py,ACCESS surveys + NOAA ERDDAP,Type A (common env) vs Type B (trophic propagation) discrimination
