name,value
n_occurrences_total,300914.0
n_collections_total,53548.0
n_clades,6.0
n_eligible_datasets_pool_stage,232.0
n_eligible_datasets_pool_10myr,153.0
n_occ_brachiopoda,155031.0
n_genera_brachiopoda,3188.0
n_occ_trilobita,55608.0
n_genera_trilobita,2937.0
n_occ_bivalvia,26148.0
n_genera_bivalvia,767.0
n_occ_gastropoda,27247.0
n_genera_gastropoda,892.0
n_occ_cephalopoda,24779.0
n_genera_cephalopoda,1558.0
n_occ_crinoidea,12101.0
n_genera_crinoidea,910.0
bias_beta_pool50_mean,-0.021
bias_beta_pool50_prop_positive,0.142
bias_decay_pool50_mean,2e-06
bias_decay_pool50_prop_positive,0.701
n_clades_bias_beta_negative_50,6.0
n_clades_bias_decay_positive_50,6.0
bias_time_stage_to_stage2_mean,0.0033
bias_time_5_to_10myr_mean,0.0031
beta_full_grid_min,0.8953
beta_full_grid_max,0.9476
