species,M1_loyo,M3_loyo,HG_loyo
1200,3.808551047024267e-05,0.03964374913600399,0.03960566362553375
1320,-2.382393928179738e-05,0.010602674901367015,0.010626498840648813
1720,-8.147652406043093e-05,0.00045218057280393964,0.0005336570968643706
1940,-9.774826826802752e-05,0.013699517619765955,0.013797265888033983
2010,-0.0003185381944506016,0.025593181957079825,0.025911720151530426
2140,0.0024708881583833664,0.008919292974411075,0.0064484048160277085
2300,0.001234448259909482,0.024547613196162943,0.02331316493625346
2630,-0.00024168247988964886,0.008945299081176139,0.009186981561065788
2730,-0.0005314265663525219,0.019161378096793746,0.01969280466314627
2890,0.003749562950375096,0.09773260112024629,0.09398303816987119
3131,0.00017661739664787124,0.010453322570869727,0.010276705174221856
3160,-6.984177799451707e-05,0.033512245624834014,0.03358208740282853
3250,-3.1016662056086217e+19,0.011552903084695587,3.1016662056086217e+19
3370,-8.887428667869735e-05,0.005396183752007011,0.005485058038685708
3420,-0.0005728112744174396,0.025974214252419858,0.026547025526837298
3430,-0.0005872221500855535,-0.001483219047452966,-0.0008959968973674126
3520,-0.0006713017036485969,-0.0036200474981655795,-0.0029487457945169826
3600,-1.8571580660431408e-05,0.004666345009867179,0.00468491659052761
3640,0.0009432298384676185,0.04318424227492801,0.04224101243646039
3870,-0.000402315844829193,0.012877405320945168,0.01327972116577436
3880,-0.001253549206155169,-0.0008021742829491529,0.000451374923206016
3900,-0.00021226883882330405,-0.0010272751637572242,-0.0008150063249339201
3930,2.2234882397276223e-05,-1.4699775920926571e+20,-1.4699775920926571e+20
3940,-0.0011480541375394893,0.017216185431033315,0.018364239568572804
4020,-0.00025278571062514743,0.015355617770375196,0.015608403481000344
4050,4.070471507688911e-05,0.005442707819247605,0.005402003104170716
4090,0.0010226548027088,0.02931034368577634,0.02828768888306754
4120,-0.0001639786349378891,0.006910669297029437,0.007074647931967326
4130,0.0021462740970651373,0.019515768897735764,0.017369494800670626
4200,-0.0004927782856374296,0.0051037846416098764,0.005596562927247306
4230,-8.491736995774879e-05,-0.1713272589396322,-0.17124234156967444
4280,-0.00010713633697845282,0.0036580083771399208,0.0037651447141183736
4440,-0.00033983967942585735,0.034127858913953424,0.03446769859337928
4520,-0.0003915332383204184,0.028173519865706598,0.028565053104027016
4560,-0.0006959151751433357,0.018995812040625726,0.01969172721576906
4590,-0.00044542809035408304,0.031311873918733024,0.03175730200908711
4610,-0.0007865179746495699,0.027329825023014953,0.028116342997664523
4620,8.499549241525184e-05,0.04105773508700428,0.040972739594589025
4650,-0.0007005776863555635,0.04144444394779645,0.04214502163415201
4660,-4.690410637508968e-05,0.022928481245867993,0.022975385352243083
4661,-0.0005656086764087576,0.021042333009814174,0.02160794168622293
4670,-0.00019859235981445345,0.05005512181588334,0.050253714175697795
4740,-8.743094155660991e-05,0.07063209708071239,0.070719528022269
4750,-0.0008512576752379708,0.09418007054364497,0.09503132821888294
4770,-0.00019081833259138037,0.029554307616204367,0.029745125948795748
4860,0.0002226784250705105,0.0015312057558241055,0.001308527330753595
4880,-0.00029891251505431704,0.053918948460635496,0.05421786097568981
4930,-3.0367362813699117e-05,0.014321985933778425,0.014352353296592124
4940,-0.00047328808361446484,0.09106792527534902,0.09154121335896348
4950,-7.754574933871439e-05,0.028511688019718928,0.028589233769057643
4980,-8.900907252007428e-05,0.054111244626540156,0.05420025369906023
5010,-0.002888930813410795,0.06594553100891276,0.06883446182232356
5011,0.0010120087697202962,0.05140044809629696,0.05038843932657666
5060,0.0002459269902482797,0.06699161774744145,0.06674569075719317
5070,-1.0737622659240387e-05,0.03167400593435865,0.03168474355701789
5100,-0.0003044936831544387,0.0161369510527426,0.016441444735897037
5110,-0.00015910731636115116,0.04521068209236323,0.04536978940872438
5170,-0.00011873666135886474,0.015183029929109582,0.015301766590468446
5190,0.0005260858321689543,0.028395149608636205,0.02786906377646725
5290,0.00034559259552990884,0.03602254528609161,0.0356769526905617
5330,-0.00024195107055424714,-0.006407615196696748,-0.0061656641261425005
540,-0.00033369048653342226,0.011941872021221434,0.012275562507754856
5400,-9.650122404081252e-05,0.05502157287150411,0.05511807409554492
5420,-0.0013460619531415752,0.08713769718356545,0.08848375913670703
5460,-0.00013555080605609504,0.09035122354964775,0.09048677435570385
5580,-0.0028100741051402256,0.043812456730273786,0.04662253083541401
5600,-4.8102973756902756e-05,0.05851033477610823,0.05855843774986513
5630,-0.0005381402930646484,0.049085175195117015,0.04962331548818166
5670,0.00036309085461849744,0.02201961501389449,0.02165652415927599
5810,-0.000539887574593223,0.046382269574207324,0.04692215714880055
5830,-0.00045446573619289943,0.01308823760396971,0.01354270334016261
5840,-0.000333398885413283,0.027530376955786973,0.027863775841200256
5870,-0.0002570180258059107,0.07186667585474249,0.0721236938805484
5930,0.0005263746188111096,0.049122708753638666,0.04859633413482756
5950,-0.00013418788524544034,0.028896321687050364,0.029030509572295804
5970,0.00018497268928419075,0.05209380199913327,0.05190882930984908
5980,-0.0004574912840533685,0.05209055393289208,0.05254804521694545
6080,-0.00015807444992343989,0.017367114242443527,0.017525188692366966
6110,-0.0002889023932559631,0.05219004861727261,0.052478951010528574
6120,-0.00010982140751947256,0.0025585618045512737,0.0026683832120707462
6130,-0.00022365552584346915,0.04135455298811186,0.04157820851395533
6140,-1.9835382587302584e+19,0.035746535051036976,1.9835382587302584e+19
6160,-0.0008987621046616656,0.011525195232829244,0.01242395733749091
6170,-8.721460860616759e-05,-0.0174890854121712,-0.017401870803565034
6190,-0.0003357975897688714,0.015778643481140664,0.016114441070909535
6240,-0.00048564681075768945,0.04009494095944466,0.04058058777020235
6270,-0.0002563143137974677,0.021269604890193694,0.021525919203991162
6280,-0.0004943757175199792,0.023671795028675335,0.024166170746195315
6290,0.0013092682308262216,0.03363671424792547,0.03232744601709925
6310,0.0022790861086523506,0.06965330882411014,0.06737422271545779
6360,8.44647840558821e-06,0.04149990712441953,0.041491460646013945
6450,0.0,0.02486478043331397,0.02486478043331397
6480,0.0005930418219626254,0.09528361220439763,0.094690570382435
6520,-0.00019780667189106538,0.03920229884310844,0.039400105514999506
6550,-0.0007762980657299856,0.03181817682698651,0.032594474892716496
6590,-0.0012880024096573184,0.051752548074573745,0.053040550484231064
6670,-0.0005252813202696327,0.0847632200284788,0.08528850134874844
6710,-0.0006129341744383066,0.06625500081994662,0.06686793499438493
6740,-0.00020514111628311404,0.029274916982232613,0.029480058098515727
6750,0.0003735556002013585,-0.0013485610232522038,-0.0017221166234535623
6810,-0.00039465864214460744,0.036788297368654965,0.03718295601079957
6830,-0.0003960930950133168,0.06433189604227496,0.06472798913728828
6850,-0.0011244619476884488,0.014873806871348316,0.015998268819036765
6870,-0.0005480712107970298,0.036530176346349585,0.037078247557146615
6882,-9.486805912395369e-05,0.06256820296361976,0.06266307102274371
70,-0.0004449658316316718,-0.006528722342663551,-0.006083756511031879
7030,-0.0004735606047487906,0.04895139437523599,0.04942495497998478
7040,-0.00011641883954904841,0.02465693362016974,0.02477335245971879
7050,-9.558812503795977e-05,0.019973333690516015,0.020068921815553975
7180,-0.0005839481649596578,0.0879881542737182,0.08857210243867786
7210,-8.765660445897439e-05,0.04738605783219396,0.047473714436652936
7280,-0.0001220750398025494,0.024803252735957515,0.024925327775760064
7310,-8.202354511666066e-05,0.05183990848243558,0.05192193202755224
7350,-0.00028926410621554766,0.021503508776091307,0.021792772882306854
7360,0.001213654103796813,0.06093519592621688,0.059721541822420066
7480,-0.0006939821477065511,0.030842206163066432,0.03153618831077298
7490,-0.0003399532638292957,0.046336613074211885,0.04667656633804118
7510,-0.00020137619617699443,0.08846566589081162,0.08866704208698861
7550,-0.001376967455038569,0.03898392666477235,0.04036089411981092
7560,-0.00026694898850632143,0.030148439087918644,0.030415388076424965
7580,0.0003079284132955218,0.017996500495046086,0.017688572081750564
7590,-0.0002186695639536662,0.022614234120809096,0.022832903684762762
7610,-0.00036279055807941774,0.04207731892847444,0.042440109486553856
7660,-0.0006046022084753577,0.035930209134330204,0.03653481134280556
