AOU,routes,years,nz,tot,med_n,nz_frac,included,reason
10,216,28,1013,1013,3.0,1.0,False,few_routes
100,59,26,222,222,2.0,1.0,False,few_routes
10210,16,10,44,44,4.0,1.0,False,few_routes
1060,1,1,1,1,2.0,1.0,False,few_routes
11,56,26,201,201,3.0,1.0,False,few_routes
110,66,26,270,270,2.0,1.0,False,few_routes
1150,1,1,1,1,1.0,1.0,False,few_routes
1170,29,26,139,139,15.0,1.0,False,few_routes
1180,245,26,1205,1205,1.0,1.0,False,few_routes
1190,8,13,19,19,2.0,1.0,False,few_routes
12,19,17,36,36,4.5,1.0,False,few_routes
1200,1267,30,5078,5078,3.0,1.0,True,
1205,10,9,12,12,1.0,1.0,False,few_routes
1206,3,3,4,4,1.5,1.0,False,few_routes
1207,7,22,34,34,4.0,1.0,False,few_routes
1210,64,26,302,302,5.0,1.0,False,few_routes
1220,7,22,56,56,3.0,1.0,False,few_routes
1230,21,28,100,100,2.5,1.0,False,few_routes
1250,476,28,2534,2534,7.0,1.0,False,few_routes
1260,61,26,419,419,8.0,1.0,False,few_routes
1280,12,22,51,51,2.0,1.0,False,few_routes
1290,956,28,3242,3242,1.0,1.0,False,few_routes
1300,124,26,371,371,3.0,1.0,False,few_routes
1310,528,28,1144,1144,1.0,1.0,False,few_routes
1320,3346,34,25500,25500,4.0,1.0,True,
1326,7,12,17,17,3.0,1.0,False,few_routes
1330,355,28,1056,1056,2.0,1.0,False,few_routes
1331,29,26,108,108,2.0,1.0,False,few_routes
1340,108,26,727,727,3.0,1.0,False,few_routes
1350,761,30,5158,5158,4.0,1.0,False,few_routes
1360,1,2,2,2,1.0,1.0,False,few_routes
1370,652,29,3204,3204,2.0,1.0,False,few_routes
1390,810,28,2886,2886,2.0,1.0,False,few_routes
140,2,3,3,3,1.0,1.0,False,few_routes
1400,996,31,5473,5473,4.0,1.0,False,few_routes
1410,380,27,1678,1678,2.0,1.0,False,few_routes
1420,705,29,3859,3859,4.0,1.0,False,few_routes
1430,678,30,3249,3249,3.0,1.0,False,few_routes
1440,2079,28,8778,8778,2.0,1.0,False,few_years
1460,423,29,2263,2263,4.0,1.0,False,few_routes
1470,311,28,1297,1297,3.0,1.0,False,few_routes
1480,70,26,302,302,5.0,1.0,False,few_routes
1489,39,25,113,113,5.0,1.0,False,few_routes
1490,518,29,2721,2721,4.0,1.0,False,few_routes
150,6,20,26,26,6.5,1.0,False,few_routes
1500,569,30,1991,1991,2.0,1.0,False,few_routes
1510,406,28,1235,1235,2.0,1.0,False,few_routes
1512,23,23,44,44,1.0,1.0,False,few_routes
1520,126,28,449,449,2.0,1.0,False,few_routes
1530,329,27,1291,1291,2.0,1.0,False,few_routes
1540,27,26,151,151,2.0,1.0,False,few_routes
1550,53,27,169,169,2.0,1.0,False,few_routes
1570,1,3,3,3,7.0,1.0,False,few_routes
1580,1,3,3,3,5.0,1.0,False,few_routes
1590,39,28,179,179,17.0,1.0,False,few_routes
1620,2,8,8,8,3.5,1.0,False,few_routes
1630,19,23,55,55,5.0,1.0,False,few_routes
1650,41,27,96,96,4.0,1.0,False,few_routes
1657,4,4,6,6,16.0,1.0,False,few_routes
1660,39,23,71,71,5.0,1.0,False,few_routes
16600,1,1,1,1,1.0,1.0,False,few_routes
1670,444,28,2361,2361,4.0,1.0,False,few_routes
1690,8,12,17,17,5.0,1.0,False,few_routes
1700,1,1,1,1,6.0,1.0,False,few_routes
1710,25,26,149,149,7.0,1.0,False,few_routes
1720,3263,32,22942,22942,8.0,1.0,True,
1725,9,9,20,20,3.5,1.0,False,few_routes
1740,3,17,17,17,27.0,1.0,False,few_routes
1760,1,1,1,1,1.0,1.0,False,few_routes
1770,229,27,1330,1330,5.0,1.0,False,few_routes
1780,50,27,373,373,9.0,1.0,False,few_routes
1782,97,27,342,342,2.0,1.0,False,few_routes
1800,38,26,188,188,3.0,1.0,False,few_routes
1810,225,26,741,741,2.0,1.0,False,few_routes
1830,91,26,457,457,3.0,1.0,False,few_routes
1840,308,27,2314,2314,9.0,1.0,False,few_routes
1860,93,28,424,424,3.0,1.0,False,few_routes
1861,27,25,153,153,14.0,1.0,False,few_routes
1870,230,26,1029,1029,15.0,1.0,False,few_routes
1880,159,27,672,672,2.0,1.0,False,few_routes
1900,953,28,4485,4485,2.0,1.0,False,few_routes
1910,140,27,349,349,1.0,1.0,False,few_routes
1920,8,17,26,26,1.0,1.0,False,few_routes
1940,3429,35,25553,25553,2.0,1.0,True,
1945,24,14,36,36,2.0,1.0,False,few_routes
