species,horizon,HG_h
1200,1,-0.023551936904904203
1200,2,-0.01186073813280486
1200,3,-0.02476573170362184
1200,5,0.04933195049915906
1320,1,0.003060469980068592
1320,2,0.010213203145907679
1320,3,-0.007672614410845435
1320,5,0.0005095268101746875
1720,1,-0.0020003876463212666
1720,2,0.0019872050111799933
1720,3,-0.004058048977564344
1720,5,-0.0037994628692146204
1940,1,0.013354889119345459
1940,2,0.006364449911715475
1940,3,0.002825274846753434
1940,5,0.000746407168765284
2010,1,-0.010774744015304094
2010,2,-0.007623393714031312
2010,3,0.0017576577260840498
2010,5,0.005859035503141374
2140,1,0.017469875025045933
2140,2,-0.009527605096795622
2140,3,-0.06667585610906213
2140,5,-0.001412381158702125
2300,1,0.007309119942203068
2300,2,0.012676950728162995
2300,3,0.01109467865358027
2300,5,0.002462560123522417
2630,1,-0.008281258180912854
2630,2,-0.005245971758850221
2630,3,-0.007137331652434575
2630,5,-0.005158633217965614
2730,1,0.01585465958524712
2730,2,-0.004521669339594636
2730,3,-0.0028237745519910096
2730,5,0.0025196616919016535
2890,1,0.04406699457934837
2890,2,0.003663939267304017
2890,3,-0.0105074041632236
2890,5,-0.003404524790545649
3131,1,-0.011117804787834862
3131,2,0.005237885909761708
3131,3,0.003130763335129849
3131,5,0.008477251242958506
3160,1,0.01547853119015985
3160,2,-0.009069405640226513
3160,3,-0.003715757522122276
3160,5,0.00813738530071928
3250,1,4.056741849847039e+20
3250,2,-4.5348800341814295e+22
3250,3,4.056741849847039e+20
3250,5,-2.3342516670649017e+22
3370,1,0.0050935072479526555
3370,2,0.0013677647595480291
3370,3,0.00773876690350328
3370,5,0.0008516605199699878
3420,1,0.01212803537280538
3420,2,0.003272192865293233
3420,3,-0.0360111177826723
3420,5,0.0013181489795952572
3430,1,0.01756066048027316
3430,2,0.03700698606796926
3430,3,-0.0053770954592209375
3430,5,-0.14434052421716914
3520,1,-0.009000353705376662
3520,2,-0.02523387460346993
3520,3,-0.006426239334945905
3520,5,-0.03244332594200938
3600,1,0.0012948812125461728
3600,2,0.01563197575985087
3600,3,0.008827430497416744
3600,5,-0.04422575466381096
3640,1,0.04184917938078614
3640,2,0.00696650737424831
3640,3,-0.0008758255950902516
3640,5,-0.011211152622937925
3870,1,0.009582351762600694
3870,2,0.014658699784704243
3870,3,0.0034752868322738273
3870,5,-0.02051088316297145
3880,1,0.017671007150144913
3880,2,0.029551541309101315
3880,3,-0.0647056677145974
3880,5,-0.03487460023364064
3900,1,0.02641053225716017
3900,2,-0.051509475806623906
3900,3,0.008011218282218291
3900,5,-0.06095389223066228
3930,1,-6.625968188274183e+21
3930,2,1.3384768468859696e+22
3930,3,1.3555009278807774e+22
3930,5,1.073614710377857e+22
3940,1,0.013248116725890102
3940,2,-0.0033337522840846123
3940,3,0.003321765443312419
3940,5,0.0032571751381735847
4020,1,-0.0023208543273642857
4020,2,-0.004724024396655535
4020,3,-0.00411324145963321
4020,5,0.012073990524811173
4050,1,-0.023814474416628872
4050,2,-0.006374105628941695
4050,3,0.007867004641707531
4050,5,0.0064338518828361835
4090,1,-0.007126259136245872
4090,2,-0.02408627938973462
4090,3,0.0016770755854947916
4090,5,-0.013270217556201502
4120,1,0.004663689381421254
4120,2,0.002435967294416308
4120,3,-0.00940469199002214
4120,5,-0.005212344668102942
4130,1,0.04439903633421238
4130,2,0.02218806403264062
4130,3,-0.22364615035177682
4130,5,0.051406572948170304
4200,1,-0.0019879643830993388
4200,2,-0.005033298707587397
4200,3,-0.012826449268375173
4200,5,-0.009735344036465365
4230,1,-0.00034516928681327386
4230,2,-0.02075631125120103
4230,3,-0.00738720258730341
4230,5,-0.005812933026599465
4280,1,0.0015418948630505636
4280,2,-0.0008687141984198288
4280,3,0.002702894786677734
4280,5,-0.0023894577668825967
4440,1,0.009801129166907563
4440,2,0.0060719778007203296
4440,3,0.006523338041756199
4440,5,0.015886477444606695
4520,1,0.007158705524223707
4520,2,-0.009742379186860162
4520,3,0.00017488433004919646
4520,5,-0.004341389538344731
4560,1,-0.006207861874853116
4560,2,-0.0023664100989464476
4560,3,0.004430310897246548
4560,5,-0.05815327222742139
4590,1,0.028858118815955347
4590,2,0.02291727988118064
4590,3,0.004735529370805125
4590,5,0.009195729164178212
4610,1,0.017426410057244768
4610,2,0.00033658474518105663
4610,3,0.006455981010649925
4610,5,0.007349614168359886
4620,1,0.006197609885925659
4620,2,0.0026903633259752757
4620,3,-0.0005498554868395011
4620,5,-0.0010117980007140481
4650,1,0.014629066854205286
4650,2,0.009530616109515
4650,3,0.0020985111923392807
4650,5,0.012919389683834437
4660,1,0.002754067017274653
4660,2,0.0020796328543335463
4660,3,-0.03205153298522778
4660,5,-0.013375033210039966
4661,1,-0.013213105545042847
