species,matched_sets,effect_of_prior_state,ci_lo,ci_hi,p_boot,eff_abundance,ci_ab_lo,ci_ab_hi,n_prior0,n_prior1
1200,46,,,,,,,,15,31
1320,320,0.0,0.0,0.0,1.0,0.5251446603489414,0.3714988274373553,0.6613464707501658,91,229
1720,234,0.0,0.0,0.0,1.0,0.5078441092352244,0.25670046088434084,0.7434534328692725,75,159
1940,312,0.0,0.0,0.0,1.0,0.28729720086419275,0.187573989584281,0.39740425425223197,102,210
2010,147,0.0,0.0,0.0,1.0,0.060179075685664385,-0.052804776302890835,0.1611514025572443,56,91
2140,42,,,,,,,,12,30
2300,206,0.0,0.0,0.0,1.0,0.5341647869070736,0.3350076960430595,0.680167323693162,60,146
2630,72,,,,,,,,28,44
2730,624,0.0,0.0,0.0,1.0,0.45445919673462143,0.3444922614229686,0.5789614414689281,113,511
2890,331,0.0,0.0,0.0,1.0,0.4364376152011249,0.2377699259599682,0.6714533111049218,48,283
3131,404,0.0,0.0,0.0,1.0,0.44627620065189255,0.3009428415148875,0.5876861101677121,93,311
3160,1005,0.0,0.0,0.0,1.0,0.19094648166278505,0.02878730778914526,0.34616483737923015,120,885
3250,430,0.0,0.0,0.0,1.0,0.26047325021702616,0.08046016452446926,0.4100929102606173,90,340
3370,440,0.0,0.0,0.0,1.0,0.1301991239787823,0.06058986110089506,0.2102318759161629,130,310
3420,53,,,,,,,,13,40
3430,32,,,,,,,,20,12
3520,21,,,,,,,,3,18
3600,235,0.0,0.0,0.0,1.0,0.20370438483447417,0.12203138556648956,0.2964102212171971,86,149
3640,71,,,,,,,,18,53
3870,352,0.0,0.0,0.0,1.0,0.352918630510205,0.23929768109533972,0.48553127439204374,63,289
3880,48,,,,,,,,15,33
3900,103,0.0,0.0,0.0,1.0,0.10608589269161928,0.007648923704440853,0.2068467863631954,53,50
3930,234,0.0,0.0,0.0,1.0,0.165200094450495,0.08105323283805875,0.2415776766749843,89,145
3940,508,0.0,0.0,0.0,1.0,0.20661079429725926,0.15310795532354365,0.275969790312925,119,389
4020,162,,,,,,,,26,136
4050,322,0.0,0.0,0.0,1.0,0.16297375789881796,0.07037484824697735,0.26006286223210656,89,233
4090,494,0.0,0.0,0.0,1.0,0.33590029560974033,0.17628227767426313,0.5055766832463683,57,437
4120,483,0.0,0.0,0.0,1.0,0.13011960508493337,0.06531651858758113,0.21248863780451732,120,363
4130,174,0.0,0.0,0.0,1.0,-0.11511936773102449,-0.2970349525481471,0.08904362774074112,39,135
4200,158,0.0,0.0,0.0,1.0,0.2588787921271063,0.02506077745669251,0.4340537200299652,33,125
4230,473,0.0,0.0,0.0,1.0,0.2710626907299851,0.12573534460276406,0.4190338154749964,76,397
4280,177,0.0,0.0,0.0,1.0,0.22401488943117964,0.14472943589079415,0.30086032448447597,69,108
4440,576,0.0,0.0,0.0,1.0,0.18391590129135382,0.08383563613000418,0.296909075723047,108,468
4520,531,0.0,0.0,0.0,1.0,0.4711824261174473,0.34804048031987667,0.5733188375161907,91,440
4560,442,0.0,0.0,0.0,1.0,0.4678500486310806,0.35121822629280947,0.5879678291157384,75,367
4590,89,,,,,,,,29,60
4610,512,0.0,0.0,0.0,1.0,0.3559298364500465,0.25807666112147104,0.45499375566174344,86,426
4620,171,0.0,0.0,0.0,1.0,0.26323588892778127,0.0392365487025931,0.46524787668163925,37,134
4650,196,0.0,0.0,0.0,1.0,0.45881548624273893,0.32541250919718534,0.6029570167751935,43,153
4660,196,0.0,0.0,0.0,1.0,0.23413959552772567,0.06368455860036625,0.44069198315712366,55,141
4661,210,0.0,0.0,0.0,1.0,0.6352540847535175,0.47135267923932417,0.8362753388388532,51,159
4670,223,0.0,0.0,0.0,1.0,0.21448196758304094,0.007843578921486806,0.38429985246982407,36,187
4740,379,0.0,0.0,0.0,1.0,0.29187202977180515,-0.004288967616700108,0.5662925849043181,51,328
4750,169,,,,,,,,29,140
4770,714,0.0,0.0,0.0,1.0,-0.0050497211957583055,-0.12462190921790699,0.14463888237388206,75,639
