species,scenario,P_HG_pos,P_HG_gt_005,median_HG,p95_HG,P_hyst_gt_0,median_hyst
1200,A,0.0,0.0,-0.3052377775248808,-0.2660192008684294,0.0,
1200,B,0.0,0.0,-0.2688666943169151,-0.21861668847563281,0.0,
1200,C,0.0,0.0,-0.012051825564130758,-0.006064312908508441,0.0,
1200,D,0.0,0.0,-0.22663059128775087,-0.182924153224171,0.0,
1200,E,0.0,0.0,-0.2029675979866603,-0.16590895373012454,0.0,
1200,F,1.0,0.9,0.08646030788922332,0.12540761670623377,0.0,
1200,G,0.0,0.0,-0.30538044152488797,-0.10086351640840968,0.0,
1200,H,0.0,0.0,-0.23959103148596372,-0.21520021957876087,0.0,
1320,A,0.0,0.0,-0.37767859816275273,-0.37133373792419605,0.6,0.019382529374153135
1320,B,0.0,0.0,-0.4262382147492733,-0.4194648311415516,0.8,0.06373420721246811
1320,C,0.0,0.0,-0.006277656747818994,-0.003815541354789776,1.0,0.5380498367232608
1320,D,0.0,0.0,-0.27067880556866186,-0.26012414978860476,1.0,0.3527298725232683
1320,E,0.0,0.0,-0.3732557852616979,-0.36638737174492286,1.0,0.2630321644262437
1320,F,0.8,0.1,0.016910962075265434,0.05761447196009405,0.9,0.0310023650590584
1320,G,0.1,0.1,-0.28184768667683996,-0.016816722010626187,0.6,0.010062587083427
1320,H,0.0,0.0,-0.281895207445323,-0.27759436899281564,1.0,0.3018880685205224
1720,A,0.0,0.0,-1.092115222655833,-1.0798715610030711,0.6,0.03344064992650814
1720,B,0.0,0.0,-0.9592327613974707,-0.9421259559478126,0.6,0.06267260818891249
1720,C,0.1,0.0,-0.006477165953296504,-0.0012414987253291884,1.0,0.5454475930402602
1720,D,0.0,0.0,-0.962359405744905,-0.9527473463143269,1.0,0.319237601166949
1720,E,0.0,0.0,-1.1621468374485264,-1.1426327554046505,1.0,0.27917308915235917
1720,F,1.0,0.1,0.0305295561359068,0.04651550823380186,0.6,0.009946794182463026
1720,G,0.0,0.0,-1.7099408262534186,-0.21852083407752226,0.4,-0.041370223978919624
1720,H,0.0,0.0,-1.0189667595533614,-1.0040674911670298,1.0,0.2263523715837518
