species,min_hist,HG,target_year,train_years,hg_t
1200,5.0,-0.015885024963912864,,,
1200,10.0,-0.017792630859151615,,,
1200,15.0,-0.02168144466569366,,,
1200,,,2000.0,2.0,0.0
1200,,,2001.0,3.0,-0.036435728455209704
1200,,,2002.0,4.0,-0.06825794209452751
1200,,,2003.0,5.0,-0.0008293653292070768
1200,,,2004.0,6.0,-0.003936333848127083
1200,,,2005.0,7.0,-0.030138391045833712
1200,,,2006.0,8.0,0.011911972092617074
1200,,,2007.0,9.0,-0.05282958561919737
1200,,,2008.0,10.0,-0.008257479219180963
1200,,,2009.0,11.0,-0.0253733502038187
1200,,,2010.0,12.0,0.007491819264906274
1200,,,2011.0,13.0,-0.021215413303474984
1200,,,2012.0,14.0,-0.014831021176922476
1200,,,2013.0,15.0,-0.10765377492457984
1200,,,2014.0,16.0,-0.09503851065264957
1200,,,2015.0,17.0,0.13284158588568828
1200,,,2016.0,18.0,0.017674586174619034
1200,,,2017.0,19.0,-0.0048371509700742
1200,,,2018.0,20.0,-0.07559470593800532
1200,,,2019.0,21.0,-0.012190790178093547
1200,,,2023.0,25.0,0.20325353517118516
1320,5.0,0.012399018895850378,,,
1320,10.0,-0.013299866343327027,,,
1320,15.0,-0.027130165380521376,,,
1320,,,1999.0,1.0,0.0
1320,,,2000.0,2.0,0.1097763684841847
1320,,,2001.0,3.0,0.2488908600944798
1320,,,2002.0,4.0,0.125653766017902
1320,,,2003.0,5.0,0.18726687964914124
1320,,,2004.0,6.0,0.050824408410876654
1320,,,2005.0,7.0,0.08500808633288903
1320,,,2006.0,8.0,0.031291610194399966
1320,,,2007.0,9.0,0.009217741801075485
1320,,,2008.0,10.0,0.03361513513953018
1320,,,2009.0,11.0,0.009686224584867231
1320,,,2010.0,12.0,-0.001524901311998672
1320,,,2011.0,13.0,-0.013609817248126488
1320,,,2012.0,14.0,-0.010195901962562592
1320,,,2013.0,15.0,-0.026177022058173627
1320,,,2014.0,16.0,0.017883380146323846
1320,,,2015.0,17.0,0.00970987396927303
1320,,,2016.0,18.0,-0.00706404292497087
1320,,,2017.0,19.0,-0.07035925029719281
1320,,,2018.0,20.0,-0.001780185802594203
1320,,,2019.0,21.0,-0.030642592963145865
1320,,,2023.0,25.0,-0.17424992765582026
1720,5.0,0.0010244003251647094,,,
1720,10.0,-0.0018862428230863593,,,
1720,15.0,0.003145836431074911,,,
1720,,,2000.0,2.0,0.0013314277342343361
1720,,,2001.0,3.0,0.06301364930790232
1720,,,2002.0,4.0,0.06809325049962434
1720,,,2003.0,5.0,0.018641969863974817
1720,,,2004.0,6.0,0.020041510242394645
1720,,,2005.0,7.0,0.03938389172788703
1720,,,2006.0,8.0,-0.01299161964795914
1720,,,2007.0,9.0,0.006546127331430562
1720,,,2008.0,10.0,0.0009372515514909363
1720,,,2009.0,11.0,-0.02985204913930617
1720,,,2010.0,12.0,0.002083848677779998
1720,,,2011.0,13.0,-0.09521368328030144
1720,,,2012.0,14.0,-3.082976631763046e-06
1720,,,2013.0,15.0,0.0012977079488898369
1720,,,2014.0,16.0,0.0027639489905706416
1720,,,2015.0,17.0,0.007086109113855654
1720,,,2016.0,18.0,-0.002188568591426243
1720,,,2017.0,19.0,-6.459825607540992e-05
1720,,,2018.0,20.0,-0.000623032325939854
1720,,,2019.0,21.0,-0.009227729734809786
1720,,,2023.0,25.0,0.01884148139021169
1940,5.0,0.031814795304466625,,,
1940,10.0,0.028582198676073922,,,
1940,15.0,0.045434537924399554,,,
1940,,,1999.0,1.0,0.0
1940,,,2000.0,2.0,0.0040981693450724554
1940,,,2001.0,3.0,-0.007663149452905915
1940,,,2002.0,4.0,0.0019504749658566523
1940,,,2003.0,5.0,0.09095957739627647
1940,,,2004.0,6.0,0.05892925927235959
1940,,,2005.0,7.0,0.007711602570456666
1940,,,2006.0,8.0,0.024334521597753733
1940,,,2007.0,9.0,-0.02956008410608435
1940,,,2008.0,10.0,0.0006907247435057329
1940,,,2009.0,11.0,-0.004672716801459198
1940,,,2010.0,12.0,-0.0022337256613573775
1940,,,2011.0,13.0,-0.004921240668530724
1940,,,2012.0,14.0,0.0010401792551255618
1940,,,2013.0,15.0,0.019445893327371344
1940,,,2014.0,16.0,0.213750348924844
1940,,,2015.0,17.0,-0.07488906599810052
1940,,,2016.0,18.0,-0.0018961851949498287
1940,,,2017.0,19.0,0.010721908701857408
1940,,,2018.0,20.0,-0.1182923288574842
1940,,,2019.0,21.0,0.08075912208772085
1940,,,2023.0,25.0,0.14327030845858513
2010,5.0,-0.0069161124555656706,,,
2010,10.0,-0.020028626973551455,,,
2010,15.0,-0.05089068049183343,,,
2010,,,2000.0,3.0,4.298842999905794e-05
2010,,,2001.0,4.0,-0.09411566220944678
2010,,,2002.0,5.0,-0.007132752061232539
2010,,,2003.0,6.0,0.06556282652835388
2010,,,2004.0,7.0,0.005243562705060656
2010,,,2005.0,8.0,0.04089787056183036
2010,,,2006.0,9.0,0.01708023262724312
2010,,,2007.0,10.0,0.02241103157244284
2010,,,2008.0,11.0,0.005154566194160437
2010,,,2009.0,12.0,0.00937632020072976
2010,,,2010.0,13.0,-0.008034857392894112
2010,,,2011.0,14.0,-0.007946254176468326
2010,,,2012.0,15.0,-0.21620891281773635
2010,,,2013.0,16.0,0.02055516620684361
2010,,,2014.0,17.0,0.00787931779583051
2010,,,2015.0,18.0,-0.07402106942677111
2010,,,2016.0,19.0,0.027247316131937316
2010,,,2017.0,20.0,0.05931770286904392
2010,,,2018.0,21.0,-0.1491424424749157
2010,,,2019.0,22.0,-0.051737955370489974
2010,,,2023.0,26.0,-0.047216842729037145
2140,5.0,-0.00584130810302419,,,
2140,10.0,0.0060709881032423585,,,
2140,15.0,0.009362192221124,,,
2140,,,2000.0,2.0,0.010452720301855734
2140,,,2001.0,3.0,0.24680993183536237
2140,,,2002.0,4.0,0.06623488168658553
2140,,,2003.0,5.0,0.02589523445197006
2140,,,2004.0,6.0,-0.056237185449044436
2140,,,2005.0,7.0,-0.08059958135523015
2140,,,2006.0,8.0,-0.05087941824973208
2140,,,2007.0,9.0,-0.07173221234020744
2140,,,2008.0,10.0,-0.005950223769771834
2140,,,2009.0,11.0,0.015083143784945685
2140,,,2010.0,12.0,-0.00037890526639183797
2140,,,2011.0,13.0,-0.006374612008432479
2140,,,2012.0,14.0,0.0029240043433399476
2140,,,2013.0,15.0,-0.0025457584582144754
2140,,,2014.0,16.0,-0.0001699503321699325
2140,,,2015.0,17.0,-0.0014406825133090884
2140,,,2016.0,18.0,-0.006720874727519477
2140,,,2017.0,19.0,0.005523505920936755
2140,,,2018.0,20.0,0.031497607998812516
2140,,,2019.0,21.0,-0.0038246044744989494
2140,,,2023.0,25.0,0.04002690503875961
2300,5.0,0.0077099130356166334,,,
2300,10.0,0.009228381916486339,,,
2300,15.0,0.014935330942698832,,,
2300,,,1999.0,1.0,0.0
2300,,,2000.0,2.0,0.00015389861804204763
2300,,,2001.0,3.0,-0.03545487651856272
2300,,,2002.0,4.0,0.02252751302735434
2300,,,2003.0,5.0,0.014835339595432151
2300,,,2004.0,6.0,-0.00371570050251413
2300,,,2005.0,7.0,0.0013879294323861924
2300,,,2006.0,8.0,1.0727466731141888e-05
2300,,,2007.0,9.0,-0.00041195966148888097
2300,,,2008.0,10.0,0.0027857668898410015
2300,,,2009.0,11.0,-0.000990199026007943
2300,,,2010.0,12.0,0.003407221846595032
2300,,,2011.0,13.0,0.0027316411241855576
2300,,,2012.0,14.0,0.006764592872949948
2300,,,2013.0,15.0,-0.0007231801535926285
2300,,,2014.0,16.0,0.021308889639518047
2300,,,2015.0,17.0,0.023856471528225454
2300,,,2016.0,18.0,0.018057297456816168
2300,,,2017.0,19.0,0.005065077456188338
2300,,,2018.0,20.0,-0.00671957133635126
2300,,,2019.0,21.0,0.007782351219413286
2300,,,2023.0,25.0,0.05443895198035953
2630,5.0,-0.007092986477520213,,,
2630,10.0,-0.0007971483573683269,,,
2630,15.0,-0.007122861127813129,,,
2630,,,2000.0,2.0,-0.002305766862383596
2630,,,2001.0,3.0,-0.027816512697230955
2630,,,2002.0,4.0,0.0006955984822700767
2630,,,2003.0,5.0,-0.0387931108673818
2630,,,2004.0,6.0,0.026768236653838207
2630,,,2005.0,7.0,-0.022759928189699075
2630,,,2006.0,8.0,-0.018869326540116083
2630,,,2007.0,9.0,0.006190813450598354
2630,,,2008.0,10.0,0.005644092366911324
2630,,,2009.0,11.0,0.005602099166052921
2630,,,2010.0,12.0,0.005544591268701993
2630,,,2011.0,13.0,0.009749416058443705
2630,,,2012.0,14.0,0.0023264063164950555
2630,,,2013.0,15.0,-0.0020992751375211727
2630,,,2014.0,16.0,-0.0004428138577314833
2630,,,2015.0,17.0,0.00026032506469386707
2630,,,2016.0,18.0,0.0020669022623847066
2630,,,2017.0,19.0,-0.00553641013945394
2630,,,2018.0,20.0,-0.01466869027385087
2630,,,2019.0,21.0,-0.028933593216827203
2630,,,2023.0,25.0,-0.00743586047156497
2730,5.0,0.005200634550412198,,,
2730,10.0,0.007537872883838892,,,
2730,15.0,0.012889130157529793,,,
2730,,,1999.0,2.0,-0.01198661326499284
2730,,,2000.0,3.0,0.00270629546845802
2730,,,2001.0,4.0,-0.0006120578213082428
2730,,,2002.0,5.0,0.0004336206613708704
2730,,,2003.0,6.0,0.014760766565651395
2730,,,2004.0,7.0,-0.006289445269557881
2730,,,2005.0,8.0,-0.010672293732216453
2730,,,2006.0,9.0,0.0005951798776093753
2730,,,2007.0,10.0,-0.0010570509443812437
2730,,,2008.0,11.0,-0.0003007833821231376
2730,,,2009.0,12.0,-0.001151804301464776
2730,,,2010.0,13.0,0.002854478772414737
2730,,,2011.0,14.0,0.003401911656174872
2730,,,2012.0,15.0,0.0035043227166159374
2730,,,2013.0,16.0,0.0031747193441402644
2730,,,2014.0,17.0,0.0030322695913900244
2730,,,2015.0,18.0,0.020578441099570854
2730,,,2016.0,19.0,0.026773839126225107
2730,,,2017.0,20.0,0.010851543924728979
2730,,,2018.0,21.0,0.013446478615580348
2730,,,2019.0,22.0,0.007231874049566045
2730,,,2023.0,26.0,0.032148898318972274
2890,5.0,0.04426021465046681,,,
2890,10.0,0.06105163405403191,,,
2890,15.0,0.09384381127433317,,,
2890,,,1999.0,2.0,0.01737489886681165
2890,,,2000.0,3.0,0.0003343996620731593
2890,,,2001.0,4.0,0.004924512629273403
2890,,,2002.0,5.0,0.002878150478359376
2890,,,2003.0,6.0,-0.004992980836652339
2890,,,2004.0,7.0,-0.006744573681890298
2890,,,2005.0,8.0,0.020431174883283054
2890,,,2006.0,9.0,-0.012212621880926422
2890,,,2007.0,10.0,-0.006519401921732504
2890,,,2008.0,11.0,-0.011234587581533173
2890,,,2009.0,12.0,0.012958466547529746
2890,,,2010.0,13.0,-0.02536720507747503
2890,,,2011.0,14.0,0.012021729567230244
2890,,,2012.0,15.0,-0.0006959654129066184
2890,,,2013.0,16.0,0.0034467358775187584
2890,,,2014.0,17.0,0.06795666585443016
2890,,,2015.0,18.0,0.1476544019083621
2890,,,2016.0,19.0,0.1539121875303534
2890,,,2017.0,20.0,0.22560173152700436
2890,,,2018.0,21.0,0.06859396671384244
2890,,,2019.0,22.0,-0.07870656675628318
2890,,,2023.0,26.0,0.13656219209510145
3131,5.0,0.0012549787476621166,,,
3131,10.0,-0.0002474678328494573,,,
3131,15.0,0.0004240449393022594,,,
3131,,,1999.0,2.0,-0.09123947922613862
3131,,,2000.0,3.0,0.006794944631693056
3131,,,2001.0,4.0,0.014974405888428688
3131,,,2002.0,5.0,0.019708727164826523
3131,,,2003.0,6.0,0.017451973088095762
3131,,,2004.0,7.0,-0.005273126454747312
3131,,,2005.0,8.0,-0.0030590407701337474
3131,,,2006.0,9.0,0.0027258937807923544
3131,,,2007.0,10.0,-0.007415615666819142
3131,,,2008.0,11.0,-0.001550800632969196
3131,,,2009.0,12.0,0.0013425596549380137
3131,,,2010.0,13.0,-0.0017961815639642165
3131,,,2011.0,14.0,0.0004912839275792447
3131,,,2012.0,15.0,0.00045107597170412905
3131,,,2013.0,16.0,-0.011267471239617022
3131,,,2014.0,17.0,-0.00015929604096376337
3131,,,2015.0,18.0,0.0020197497581508905
3131,,,2016.0,19.0,0.008090823815386505
3131,,,2017.0,20.0,-0.0012257091133169862
3131,,,2018.0,21.0,0.0030510934131177114
3131,,,2019.0,22.0,-0.003971682918208819
3131,,,2023.0,26.0,0.005889017464281832
3160,5.0,0.013891912726059386,,,
3160,10.0,0.02002360284276361,,,
3160,15.0,0.029639324500158937,,,
3160,,,1999.0,2.0,-0.08122331491459622
3160,,,2000.0,3.0,-2.5655064390450733e-05
3160,,,2001.0,4.0,0.0016887419809611393
3160,,,2002.0,5.0,0.013808353373518378
3160,,,2003.0,6.0,-0.006989177063720042
3160,,,2004.0,7.0,-0.010324400438272763
3160,,,2005.0,8.0,-0.004961101383711863
3160,,,2006.0,9.0,-0.00029580773554194195
3160,,,2007.0,10.0,0.007258951944286052
3160,,,2008.0,11.0,0.0017545146546500412
3160,,,2009.0,12.0,0.0016800010678037491
3160,,,2010.0,13.0,-0.005280775059421039
3160,,,2011.0,14.0,0.003404565555519712
3160,,,2012.0,15.0,-0.020821578672641783
3160,,,2013.0,16.0,0.01901830477054267
3160,,,2014.0,17.0,0.03232534841583212
3160,,,2015.0,18.0,0.043024168747165525
3160,,,2016.0,19.0,0.0445538263902292
3160,,,2017.0,20.0,0.03166125124482089
3160,,,2018.0,21.0,-0.0020439733561486984
3160,,,2019.0,22.0,0.03652806302218703
3160,,,2023.0,26.0,0.05965757110534853
3250,5.0,0.0036685944458224595,,,
3250,10.0,0.002161350436803211,,,
3250,15.0,0.004803434516512661,,,
3250,,,1999.0,1.0,0.0
3250,,,2000.0,2.0,0.003179498388349744
3250,,,2001.0,3.0,0.0019635122072202416
3250,,,2002.0,4.0,0.033740595973484444
3250,,,2003.0,5.0,0.03165758936690466
3250,,,2004.0,6.0,0.014306852079785104
3250,,,2005.0,7.0,0.00010757443414655121
3250,,,2006.0,8.0,0.0003111495986151125
3250,,,2007.0,9.0,-9.161609060259757e-05
3250,,,2008.0,10.0,-0.004134438459347356
3250,,,2009.0,11.0,0.0013557819435863205
3250,,,2010.0,12.0,-0.002852046142212572
3250,,,2011.0,13.0,-0.0039831508549821315
3250,,,2012.0,14.0,-0.0021444046649363724
3250,,,2013.0,15.0,0.00014518818026254543
3250,,,2014.0,16.0,0.0012890801546778796
3250,,,2015.0,17.0,0.00660244234985885
3250,,,2016.0,18.0,0.007477080234813416
3250,,,2017.0,19.0,0.012845225444034658
3250,,,2018.0,20.0,-0.005199235266008628
3250,,,2019.0,21.0,0.012294269682638914
3250,,,2023.0,25.0,-0.0013699028478673103
3370,5.0,0.004277161561056064,,,
3370,10.0,0.0052853567127330026,,,
3370,15.0,0.007511430180083378,,,
3370,,,2000.0,2.0,-8.742097397140824e-05
3370,,,2001.0,3.0,0.05006652785076471
3370,,,2002.0,4.0,0.0245759975025035
3370,,,2003.0,5.0,0.016516463295594197
