cancer,specialty_en
Gastric,Gastroenterology
Colorectal,Gastrointestinal Surgery
Lung,Respiratory Medicine
Breast,Breast Surgery
Prostate,Urology
Liver,Hepatology
Pancreatic,Gastroenterology
Ovarian,Obstetrics and Gynaecology
