cancer,estimated_patients_thousand,inpatient_thousand,outpatient_thousand,inpatient_rate_per_100k,outpatient_rate_per_100k,total_patient_stock_thousand
Gastric,24.1,8.6,15.5,7.0,12.0,281.0
Colorectal,43.9,15.8,28.0,13.0,23.0,563.0
Lung,32.9,14.3,18.6,12.0,15.0,333.0
Breast,38.1,5.3,32.7,8.0,51.0,784.0
Prostate,27.8,4.6,23.1,4.0,19.0,600.0
Liver,8.2,4.0,4.2,3.0,3.0,81.0
Pancreatic,12.4,6.1,6.4,5.0,5.0,89.0
Ovarian,4.2,1.8,2.5,1.0,2.0,48.0
