oid,vid,flg,rnk,nam,par,rid,ext,noc,phl,cll,fml,odl,gnl,ttl,tdf,acc,acr,acn
txn:52775,var:91968,B,unranked clade,Dinosauria,txn:53207,ref:14071,1,37854,Chordata,Reptilia,,,,,,,,
txn:358782,,,unranked clade,Megalosauridae,txn:52775,ref:23721,0,15,Chordata,Reptilia,Megalosauridae,,,,,,,
txn:67197,,F,family,Dictyoolithidae,txn:52775,ref:14213,0,11,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,,,,,,
txn:395935,,F,genus,Protodictyoolithus,txn:67197,ref:70281,0,6,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,Protodictyoolithus,,,,,
txn:142703,var:395942,F,species,Protodictyoolithus jiangi,txn:395935,ref:29876,0,1,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,Protodictyoolithus,,,,,
txn:67200,var:395948,F,species,Protodictyoolithus neixiangensis,txn:395935,ref:14213,0,5,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,Protodictyoolithus,,,,,
txn:395936,,F,genus,Paradictyoolithus,txn:67197,ref:70281,0,2,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,Paradictyoolithus,Paradictyoolithus zhuangqianensis,,,,
txn:395937,,F,species,Paradictyoolithus zhuangqianensis,txn:395936,ref:70281,0,1,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,Paradictyoolithus,,,,,
txn:395938,var:395949,F,species,Paradictyoolithus xiaxishanensis,txn:395936,ref:70281,0,1,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,Paradictyoolithus,,,,,
txn:67198,,F,genus,Dictyoolithus,txn:67197,ref:14213,0,3,Chordata,Reptilia,Dictyoolithidae,NO_ORDER_SPECIFIED,Dictyoolithus,,,,,
