country,unit,year,e0,lambda,source
Germany,East Germany,1956,68.77,15.87814043780502,HMD sub-population
Germany,East Germany,1957,68.32,15.614442181795237,HMD sub-population
Germany,East Germany,1958,68.87,15.637589884301143,HMD sub-population
Germany,East Germany,1959,68.76,16.88222256713912,HMD sub-population
Germany,East Germany,1960,69.06,17.00364813434674,HMD sub-population
Germany,East Germany,1961,69.89,17.56240457833692,HMD sub-population
Germany,East Germany,1962,69.82,17.425850898287084,HMD sub-population
Germany,East Germany,1963,70.37,17.57619323376168,HMD sub-population
Germany,East Germany,1964,70.54,17.07758578512423,HMD sub-population
Germany,East Germany,1965,70.65,16.51181340268379,HMD sub-population
Germany,East Germany,1966,71.03,15.7092988197345,HMD sub-population
Germany,East Germany,1967,71.18,14.801663548507975,HMD sub-population
Germany,East Germany,1968,70.8,14.347395996057507,HMD sub-population
Germany,East Germany,1969,70.73,13.987990320535525,HMD sub-population
Germany,East Germany,1970,70.97,13.88135746862699,HMD sub-population
Germany,East Germany,1971,71.36,13.765906621736805,HMD sub-population
Germany,East Germany,1972,71.57,11.76255013288704,HMD sub-population
Germany,East Germany,1973,71.79,10.618423650530122,HMD sub-population
Germany,East Germany,1974,71.95,10.583721715344637,HMD sub-population
Germany,East Germany,1975,71.56,10.784972211249388,HMD sub-population
Germany,East Germany,1976,71.89,11.639249471199733,HMD sub-population
Germany,East Germany,1977,72.2,13.311720629752907,HMD sub-population
Germany,East Germany,1978,72.05,13.85375425580992,HMD sub-population
Germany,East Germany,1979,72.04,14.045691222942654,HMD sub-population
Germany,East Germany,1980,71.93,14.64221109515511,HMD sub-population
Germany,East Germany,1981,72.2,14.20319726136254,HMD sub-population
Germany,East Germany,1982,72.38,14.374079595867995,HMD sub-population
Germany,East Germany,1983,72.74,13.994191990060141,HMD sub-population
Germany,East Germany,1984,72.85,13.675036830812124,HMD sub-population
Germany,East Germany,1985,72.76,13.671841140556916,HMD sub-population
Germany,East Germany,1986,72.8,13.355958257358523,HMD sub-population
Germany,East Germany,1987,73.15,13.567851371665405,HMD sub-population
Germany,East Germany,1988,73.15,12.944002027475651,HMD sub-population
Germany,East Germany,1989,73.51,12.026069776013511,HMD sub-population
Germany,East Germany,1990,72.92,11.012181215729962,HMD sub-population
Germany,East Germany,1991,73.2,6.788852655434024,HMD sub-population
Germany,East Germany,1992,73.79,5.628962942155222,HMD sub-population
Germany,East Germany,1993,74.24,5.167845061480117,HMD sub-population
Germany,East Germany,1994,74.56,5.079490564544855,HMD sub-population
Germany,East Germany,1995,75.0,5.43810367384598,HMD sub-population
Germany,East Germany,1996,75.42,6.079127915700301,HMD sub-population
Germany,East Germany,1997,76.08,6.558667253065694,HMD sub-population
Germany,East Germany,1998,76.64,6.766283130046582,HMD sub-population
Germany,East Germany,1999,77.06,7.062523310658036,HMD sub-population
Germany,East Germany,2000,77.34,7.411791552119165,HMD sub-population
Germany,East Germany,2001,77.8,7.242577296952858,HMD sub-population
Germany,East Germany,2002,77.83,7.222530450865874,HMD sub-population
Germany,East Germany,2003,78.01,7.300237766025379,HMD sub-population
Germany,East Germany,2004,78.55,7.558762652266941,HMD sub-population
Germany,East Germany,2005,78.74,7.467987405900044,HMD sub-population
Germany,East Germany,2006,79.0,7.537262911682593,HMD sub-population
Germany,East Germany,2007,79.22,7.8980112000579235,HMD sub-population
Germany,East Germany,2008,79.32,8.105319441930558,HMD sub-population
Germany,East Germany,2009,79.42,8.05788363202316,HMD sub-population
Germany,East Germany,2010,79.53,8.322710747421581,HMD sub-population
Germany,East Germany,2011,79.82,8.160331495226329,HMD sub-population
Germany,East Germany,2012,80.02,8.282039660402026,HMD sub-population
Germany,East Germany,2013,79.91,8.279178837306288,HMD sub-population
Germany,East Germany,2014,80.41,8.582227130240637,HMD sub-population
Germany,East Germany,2015,80.02,8.641102009039525,HMD sub-population
Germany,East Germany,2016,80.37,9.294202688875078,HMD sub-population
Germany,East Germany,2017,80.47,9.053018919335134,HMD sub-population
Germany,East Germany,2018,80.32,8.885768872343876,HMD sub-population
Germany,East Germany,2019,80.74,8.59525440432392,HMD sub-population
Germany,East Germany,2020,80.37,8.356545818143493,HMD sub-population
Germany,West Germany,1956,68.49,16.010518335906447,HMD sub-population
Germany,West Germany,1957,68.53,16.60284119111166,HMD sub-population
Germany,West Germany,1958,69.33,16.618799044402103,HMD sub-population
Germany,West Germany,1959,69.52,17.298684308037956,HMD sub-population
Germany,West Germany,1960,69.3,17.406807795701884,HMD sub-population
Germany,West Germany,1961,69.82,17.985604004198482,HMD sub-population
Germany,West Germany,1962,70.06,17.88864378849865,HMD sub-population
Germany,West Germany,1963,70.02,18.307826889120616,HMD sub-population
Germany,West Germany,1964,70.69,18.289561606847094,HMD sub-population
Germany,West Germany,1965,70.63,17.710554337152324,HMD sub-population
Germany,West Germany,1966,70.66,17.63293825270824,HMD sub-population
Germany,West Germany,1967,70.91,17.02116599110518,HMD sub-population
Germany,West Germany,1968,70.57,16.101385977653138,HMD sub-population
Germany,West Germany,1969,70.4,14.845265380822415,HMD sub-population
Germany,West Germany,1970,70.62,13.269006555237457,HMD sub-population
Germany,West Germany,1971,70.8,12.707730432940279,HMD sub-population
Germany,West Germany,1972,71.04,11.371209323665019,HMD sub-population
Germany,West Germany,1973,71.26,10.258637192576563,HMD sub-population
Germany,West Germany,1974,71.62,10.09454945315326,HMD sub-population
Germany,West Germany,1975,71.53,9.714107478360944,HMD sub-population
Germany,West Germany,1976,72.02,9.795501835285169,HMD sub-population
Germany,West Germany,1977,72.72,9.484559895084256,HMD sub-population
Germany,West Germany,1978,72.73,9.397993177752555,HMD sub-population
Germany,West Germany,1979,73.18,9.481647323853764,HMD sub-population
Germany,West Germany,1980,73.44,10.084147414469564,HMD sub-population
Germany,West Germany,1981,73.68,10.125298937346052,HMD sub-population
Germany,West Germany,1982,74.0,10.080227352877579,HMD sub-population
Germany,West Germany,1983,74.26,9.673901629292818,HMD sub-population
Germany,West Germany,1984,74.83,9.549895226292133,HMD sub-population
Germany,West Germany,1985,75.01,9.605027719990707,HMD sub-population
Germany,West Germany,1986,75.25,10.250391430402571,HMD sub-population
Germany,West Germany,1987,75.66,10.494411000535285,HMD sub-population
Germany,West Germany,1988,75.88,11.02262001176821,HMD sub-population
Germany,West Germany,1989,76.0,10.972706633675063,HMD sub-population
Germany,West Germany,1990,76.0,11.532340361865538,HMD sub-population
Germany,West Germany,1991,76.18,11.301502409337372,HMD sub-population
Germany,West Germany,1992,76.56,11.152834830374506,HMD sub-population
Germany,West Germany,1993,76.54,11.01213057259872,HMD sub-population
Germany,West Germany,1994,76.83,10.550257914420342,HMD sub-population
Germany,West Germany,1995,76.93,10.367208186412096,HMD sub-population
Germany,West Germany,1996,77.11,10.655937208554306,HMD sub-population
Germany,West Germany,1997,77.5,10.7755967522159,HMD sub-population
Germany,West Germany,1998,77.8,10.32213623924235,HMD sub-population
Germany,West Germany,1999,77.99,10.037021127787689,HMD sub-population
Germany,West Germany,2000,78.24,9.891527648047672,HMD sub-population
Germany,West Germany,2001,78.56,9.425828635081322,HMD sub-population
Germany,West Germany,2002,78.64,9.188894811185076,HMD sub-population
Germany,West Germany,2003,78.67,8.985333933602186,HMD sub-population
Germany,West Germany,2004,79.26,8.918777657151024,HMD sub-population
Germany,West Germany,2005,79.38,8.652026783657396,HMD sub-population
Germany,West Germany,2006,79.73,8.460933428047783,HMD sub-population
Germany,West Germany,2007,79.86,8.588471628073716,HMD sub-population
Germany,West Germany,2008,79.94,8.532168593407656,HMD sub-population
Germany,West Germany,2009,80.04,8.305479637038449,HMD sub-population
Germany,West Germany,2010,80.21,8.460501990917349,HMD sub-population
Germany,West Germany,2011,80.48,8.269856745218753,HMD sub-population
Germany,West Germany,2012,80.61,8.394976679371947,HMD sub-population
Germany,West Germany,2013,80.58,8.495994644280714,HMD sub-population
Germany,West Germany,2014,81.03,8.879584425017356,HMD sub-population
Germany,West Germany,2015,80.69,9.110390008530256,HMD sub-population
Germany,West Germany,2016,80.97,9.699763879094482,HMD sub-population
Germany,West Germany,2017,81.07,9.604217696659864,HMD sub-population
Germany,West Germany,2018,81.02,9.64828987745591,HMD sub-population
Germany,West Germany,2019,81.31,9.550520653890008,HMD sub-population
Germany,West Germany,2020,81.18,9.523501983627424,HMD sub-population
New Zealand,Maori,1948,52.5,45.82137025127973,HMD sub-population
New Zealand,Maori,1949,51.2,44.33804036141319,HMD sub-population
New Zealand,Maori,1950,54.25,44.88547784657678,HMD sub-population
New Zealand,Maori,1951,55.49,44.800365108435614,HMD sub-population
New Zealand,Maori,1952,54.08,45.27840162182772,HMD sub-population
New Zealand,Maori,1953,56.48,44.387722784581776,HMD sub-population
New Zealand,Maori,1954,58.67,44.23088085256031,HMD sub-population
New Zealand,Maori,1955,58.61,43.49539055220496,HMD sub-population
New Zealand,Maori,1956,58.68,44.5189050762026,HMD sub-population
New Zealand,Maori,1957,57.2,46.21010589653354,HMD sub-population
New Zealand,Maori,1958,60.09,46.11580693386546,HMD sub-population
New Zealand,Maori,1959,60.16,46.20054015105568,HMD sub-population
New Zealand,Maori,1960,59.45,46.1872157524131,HMD sub-population
New Zealand,Maori,1961,60.11,46.30582056417057,HMD sub-population
New Zealand,Maori,1962,62.39,43.71060862288712,HMD sub-population
New Zealand,Maori,1963,62.84,44.53424479028245,HMD sub-population
New Zealand,Maori,1964,63.52,41.99004189397417,HMD sub-population
New Zealand,Maori,1965,63.22,40.04028394092022,HMD sub-population
New Zealand,Maori,1966,62.59,38.792238645818706,HMD sub-population
New Zealand,Maori,1967,63.76,38.889249152701204,HMD sub-population
New Zealand,Maori,1968,62.66,38.46920710778431,HMD sub-population
New Zealand,Maori,1969,62.64,38.059464969619334,HMD sub-population
New Zealand,Maori,1970,62.34,37.041397440730634,HMD sub-population
New Zealand,Maori,1971,62.59,36.43468566393132,HMD sub-population
New Zealand,Maori,1972,63.46,33.331149373651805,HMD sub-population
New Zealand,Maori,1973,63.39,30.458687455793342,HMD sub-population
New Zealand,Maori,1974,64.95,28.14022074941321,HMD sub-population
New Zealand,Maori,1975,64.78,26.72591950490569,HMD sub-population
New Zealand,Maori,1976,65.29,25.60593532132415,HMD sub-population
New Zealand,Maori,1977,64.69,25.73844782782485,HMD sub-population
New Zealand,Maori,1978,67.06,24.500766170235714,HMD sub-population
New Zealand,Maori,1979,66.6,24.352698217842903,HMD sub-population
New Zealand,Maori,1980,66.72,23.194407503195734,HMD sub-population
New Zealand,Maori,1981,67.39,23.61297205521839,HMD sub-population
New Zealand,Maori,1982,67.48,21.975187552710757,HMD sub-population
New Zealand,Maori,1983,67.67,21.9089344362123,HMD sub-population
New Zealand,Maori,1984,68.88,23.28810021237228,HMD sub-population
New Zealand,Maori,1985,69.07,22.07526385297881,HMD sub-population
New Zealand,Maori,1986,70.07,21.915722890775708,HMD sub-population
New Zealand,Maori,1987,70.74,23.08147701882261,HMD sub-population
New Zealand,Maori,1988,70.71,21.96414291188513,HMD sub-population
New Zealand,Maori,1989,70.49,22.225986635058355,HMD sub-population
New Zealand,Maori,1990,70.37,21.84615720371452,HMD sub-population
New Zealand,Maori,1991,70.67,20.97033228054795,HMD sub-population
New Zealand,Maori,1992,71.84,21.581889545303632,HMD sub-population
New Zealand,Maori,1993,71.18,21.00800647310673,HMD sub-population
New Zealand,Maori,1994,72.61,20.537103219160343,HMD sub-population
New Zealand,Maori,1995,72.47,20.83383585343687,HMD sub-population
New Zealand,Maori,1996,68.65,29.838769257631846,HMD sub-population
New Zealand,Maori,1997,69.49,30.16436963045862,HMD sub-population
New Zealand,Maori,1998,70.45,27.608727489969365,HMD sub-population
New Zealand,Maori,1999,70.19,28.45714105789915,HMD sub-population
New Zealand,Maori,2000,70.99,27.61463186295073,HMD sub-population
New Zealand,Maori,2001,71.68,27.073829901685365,HMD sub-population
New Zealand,Maori,2002,71.99,25.01316677220717,HMD sub-population
New Zealand,Maori,2003,72.14,25.97344212639496,HMD sub-population
New Zealand,Maori,2004,72.51,26.635508522297897,HMD sub-population
New Zealand,Maori,2005,73.22,26.61954600531905,HMD sub-population
New Zealand,Maori,2006,73.52,27.75786834808943,HMD sub-population
New Zealand,Maori,2007,73.87,29.555684594657215,HMD sub-population
New Zealand,Maori,2008,74.07,29.23937544607154,HMD sub-population
New Zealand,non-Maori,2002,79.69,11.665552037819678,HMD sub-population
New Zealand,non-Maori,2003,80.01,11.837676626224551,HMD sub-population
New Zealand,non-Maori,2004,80.23,11.271875276524439,HMD sub-population
New Zealand,non-Maori,2005,80.91,11.508161036693767,HMD sub-population
New Zealand,non-Maori,2006,80.88,11.376264325687398,HMD sub-population
New Zealand,non-Maori,2007,80.98,10.892651208452287,HMD sub-population
New Zealand,non-Maori,2008,81.09,11.188722223541674,HMD sub-population
