fert_drop,smooth,n_onset,iqr,range,median,frac_within_10y_1950,variance_reduction_ratio
0.05,3,186,64.0,203,1959.5,0.20430107526881722,3.4059771454734378
0.05,5,186,65.5,202,1960.0,0.1935483870967742,3.395270353296288
0.05,7,186,66.25,202,1960.5,0.1774193548387097,3.3618862132099916
0.05,9,186,66.25,201,1961.0,0.15053763440860216,3.372388084491463
0.1,3,185,58.0,202,1964.0,0.08648648648648649,3.3576712844008996
0.1,5,185,58.0,185,1965.0,0.05945945945945946,3.3594380742848298
0.1,7,186,57.25,201,1965.0,0.06989247311827956,3.4676357172561048
0.1,9,186,58.5,200,1965.0,0.05913978494623656,3.5678241472874994
0.15,3,181,56.0,160,1968.0,0.06629834254143646,3.320717573136109
0.15,5,181,56.0,161,1968.0,0.06077348066298342,3.4562699198013656
0.15,7,179,57.5,160,1968.0,0.05027932960893855,3.4938843046977976
0.15,9,176,59.0,157,1968.0,0.05113636363636364,3.5230157755426976
0.2,3,172,51.25,158,1971.0,0.05813953488372093,3.4907887892456917
0.2,5,172,51.0,159,1971.0,0.05232558139534884,3.581104552009747
0.2,7,169,54.0,159,1971.0,0.047337278106508875,3.62094121115682
0.2,9,168,54.75,158,1971.0,0.047619047619047616,3.6498608371733705
