country,t_fert,t_mort,lambda_plateau,e0_start,e0_end,n_years
China,1969.0,1924,38.6,32.0,76.8,216
Jamaica,1969.0,1924,36.3,34.2,76.1,216
Thailand,1969.0,1932,44.0,30.4,78.2,216
Seychelles,1970.0,1888,36.5,37.0,73.4,216
Peru,1970.0,1949,47.0,35.7,79.4,216
Tunisia,1971.0,1822,44.3,28.8,77.0,216
El Salvador,1971.0,1935,41.2,28.7,73.4,216
Honduras,1971.0,1943,42.2,33.9,69.9,216
Panama,1971.0,1929,37.7,32.9,79.3,216
Bolivia,1972.0,1949,44.8,33.0,71.3,216
Mexico,1972.0,1921,46.9,26.9,75.7,216
Maldives,1972.0,1953,41.7,32.6,78.9,216
Algeria,1973.0,1871,48.1,28.8,75.4,216
Mongolia,1974.0,1947,41.4,31.8,67.7,216
Jordan,1974.0,1921,48.0,31.7,78.2,216
Mauritania,1975.0,1921,44.0,32.0,69.6,216
Kuwait,1976.0,1926,47.3,26.0,81.5,216
Syria,1976.0,1936,47.2,31.1,65.5,216
Libya,1976.0,1915,49.4,33.1,74.6,216
Palestine,1978.0,1935,48.0,32.1,74.3,216
Saudi Arabia,1978.0,1921,47.3,32.1,73.3,216
Bhutan,1979.0,1921,46.0,28.8,72.3,216
Cote d'Ivoire,1979.0,1913,46.7,31.2,61.1,216
Bangladesh,1979.0,1929,46.2,25.5,73.6,216
Papua New Guinea,1980.0,1897,43.3,31.5,63.9,216
Djibouti,1981.0,1913,43.7,29.9,65.3,216
Ghana,1982.0,1926,44.5,28.0,64.2,216
Botswana,1983.0,1921,44.8,33.6,60.6,216
Solomon Islands,1983.0,1939,44.5,25.1,58.4,216
Zimbabwe,1984.0,1939,46.5,33.7,58.6,216
Lesotho,1985.0,1921,40.8,32.8,48.5,216
Haiti,1986.0,1942,43.8,29.0,62.2,216
Oman,1986.0,1934,47.4,32.3,72.4,216
Kenya,1986.0,1933,47.6,25.5,64.4,216
Namibia,1986.0,1907,41.5,32.4,63.5,216
"Congo, Rep.",1987.0,1945,39.7,32.7,63.5,216
Senegal,1987.0,1930,39.9,25.2,67.0,216
Sudan,1988.0,1939,45.9,31.4,69.0,216
Pakistan,1989.0,1915,45.5,25.8,64.4,216
Togo,1989.0,1921,44.0,31.3,62.4,216
Eswatini,1989.0,1944,46.3,32.3,54.9,216
Comoros,1989.0,1934,41.9,32.1,67.5,216
Tanzania,1989.0,1941,46.5,32.2,65.1,216
Cambodia,1989.0,1947,47.8,35.0,68.9,216
Rwanda,1990.0,1922,48.6,31.8,67.4,216
Eritrea,1990.0,1939,47.9,30.2,62.2,216
Malawi,1992.0,1947,46.7,30.3,62.0,216
Madagascar,1993.0,1933,47.4,30.5,64.2,216
Lao,1993.0,1947,42.6,31.9,67.6,216
Yemen,1993.0,1921,47.4,23.4,68.2,216
Central African Republic,1993.0,1914,45.0,30.0,49.7,216
Burundi,1994.0,1931,46.9,31.5,61.8,216
South Sudan,1994.0,1976,50.660000000000004,47.2,61.6,66
Zambia,1994.0,1928,46.3,32.6,60.8,216
Liberia,1994.0,1930,43.0,31.1,62.5,216
Gambia,1996.0,1889,45.0,28.8,65.4,216
Equatorial Guinea,1997.0,1933,38.7,29.8,64.8,216
Ethiopia,1998.0,1892,49.2,29.7,66.8,216
Cameroon,1999.0,1921,38.9,28.8,60.0,216
Benin,2001.0,1914,39.0,31.0,62.6,216
Guinea,2001.0,1924,42.5,29.5,58.5,216
Timor-Leste,2001.0,1900,45.1,28.9,70.3,216
Angola,2002.0,1897,47.8,27.0,63.5,216
Mozambique,2002.0,1902,45.8,30.3,55.8,216
Afghanistan,2003.0,1896,48.1,28.2,61.9,216
Niger,2005.0,1944,47.1,30.8,60.6,216
Nigeria,2005.0,1912,45.3,30.4,62.1,216
Sierra Leone,2007.0,1911,40.0,25.1,58.7,216
Burkina Faso,2007.0,1930,42.0,29.2,59.9,216
Uganda,2008.0,1934,47.4,25.3,63.9,216
Mali,2009.0,1921,43.3,26.4,59.9,216
Somalia,2011.0,1914,47.3,29.4,57.0,216
"Congo, Dem. Rep.",2012.0,1921,41.7,31.6,62.6,216
Chad,2013.0,1921,42.2,30.9,58.8,216
Taiwan,,1909,40.7,28.3,58.2,150
