year,placebo_doy,true_spawn,delta
2009,216,205,-0.753838928699957
2009,218,205,0.06976859495848597
2009,220,205,0.5665397484706859
2009,222,205,0.47935988451723555
2010,208,200,-1.9859323181620303
2010,210,200,-1.7369840914619243
2010,212,200,-1.7369840914619243
2015,209,201,0.46955168735324226
2015,215,201,0.23324922588406705
2015,217,201,0.23324922588406705
2018,204,191,0.608688773806843
2018,206,191,0.11349879023170661
2018,208,191,0.11349879023170661
2018,218,191,0.4335669500155801
2018,220,191,0.5703182523961183
2019,211,203,-0.1627216923152084
2019,217,203,-0.11678194405549647
2019,219,203,0.3263944496617579
2020,221,211,-0.4050343136208856
2020,223,211,-0.4050343136208856
