year,d_birds_total,d_evt_birds_total,d_alcids,d_evt_alcids,d_larus,d_evt_larus,d_gannets,d_evt_gannets,d_shearwaters,d_evt_shearwaters,d_birds_per_bin,d_evt_birds_per_bin
2009,4.066887715989061,2.047692843365256,4.189654742026425,2.251291798606495,2.2772672850097555,2.251291798606495,2.987364023883474,1.6094379124341003,4.897839799950911,0.0,1.0930441909018367,0.2162604906943924
2010,-1.0900935433517818,0.29978768545988643,-1.5406291182601395,0.3272000697046762,-0.3422862064866332,0.3250197428894248,-0.655406852577098,-0.031252543504104224,2.429643971112951,1.4258251998765257,-0.9561649974950936,0.19391980931901553
2012,-0.36074374925612585,0.06308397542657662,-0.7449194542952258,-0.8360571662937497,0.757685701697516,2.0959708436310462,-0.8960880245566356,-0.11523526357758485,-0.05545975537136805,0.5918460658403362,-0.2613362826513197,0.060797891788058056
2014,1.465719517980248,2.2087505494245105,0.03499684203709652,0.6986116750320246,-1.2968877734043058,-0.34950645446011963,-1.1363526166509565,0.14884562759756514,5.011846681282552,5.800744182498999,1.2020056181810348,1.906359146046466
2015,0.9113094015239511,,-1.4518089682305173,,0.35364004024357865,,-0.4940185054496098,,3.4339872044851463,,0.1710839127043854,
2016,,,,,,,,,,,,
2017,2.949549327105739,3.6058825345429675,5.435591745451394,5.927306905807428,1.421385680931161,0.5389965007326871,1.7047480922384253,0.5753641449035616,4.624972813284271,6.118097198041347,2.2584549093697603,2.8450602127008526
2018,,0.027212563524884992,,-0.011001211061973493,,-0.09531017980432521,,0.770108221696074,,-1.252762968495368,,0.024359190223620653
2019,-2.127953193105509,0.8625020233476377,-0.8683512695850357,1.5674992232137708,-0.18232155679395445,-0.9162907318741551,-0.7503055943998937,-0.2513144282809061,-4.598481197837295,0.7905905319792055,-1.3909234350456232,0.7491938754214795
2020,-0.6848972810878031,,-0.6413221126953594,,-0.8068064990324668,,0.346968901426556,,-2.280112237141987,,-0.43185043585317373,
