Number,Label,Reference,Identifier,VerificationDate,Status,RegisteredTitle
"1","demontjoye","[1] Y.-A. de Montjoye, C.A. Hidalgo, M. Verleysen, V.D. Blondel, Unique in the crowd: the privacy bounds of human mobility, Sci. Rep. 3 (2013) 1376. https://doi.org/10.1038/srep01376.","https://doi.org/10.1038/srep01376","9 September 2026","verified_crossref","Unique in the Crowd: The privacy bounds of human mobility"
"2","elzer","[2] T. Elzer, M. Ruben, J. Classen, M. Hollick, They see me scooting: a long-term real-world data analysis of shared micro-mobility services, in: 2025 IEEE 10th European Symposium on Security and Privacy (EuroS&P), IEEE, 2025. https://doi.org/10.1109/EuroSP63326.2025.00014.","https://doi.org/10.1109/EuroSP63326.2025.00014","9 September 2026","verified_crossref","They See Me Scooting — A Long-Term Real-World Data Analysis of Shared Micro-Mobility Services and their Privacy Leakage"
"3","gossling","[3] S. Gossling, Integrating e-scooters in urban transportation: problems, policies, and the prospect of system change, Transp. Res. D Transp. Environ. 79 (2020) 102230. https://doi.org/10.1016/j.trd.2020.102230.","https://doi.org/10.1016/j.trd.2020.102230","9 September 2026","verified_crossref","Integrating e-scooters in urban transportation: Problems, policies, and the prospect of system change"
"4","button","[4] K. Button, H. Frye, D. Reaves, Economic regulation and e-scooter networks in the USA, Res. Transp. Econ. 84 (2020) 100973. https://doi.org/10.1016/j.retrec.2020.100973.","https://doi.org/10.1016/j.retrec.2020.100973","9 September 2026","verified_crossref","Economic regulation and E-scooter networks in the USA"
"5","docherty","[5] I. Docherty, G. Marsden, J. Anable, The governance of smart mobility, Transp. Res. A Policy Pract. 115 (2018) 114-125. https://doi.org/10.1016/j.tra.2017.09.012.","https://doi.org/10.1016/j.tra.2017.09.012","9 September 2026","verified_crossref","The governance of smart mobility"
"6","pangbourne","[6] K. Pangbourne, M.N. Mladenovic, D. Stead, D. Milakis, Questioning mobility as a service: unanticipated implications for society and governance, Transp. Res. A Policy Pract. 131 (2020) 35-49. https://doi.org/10.1016/j.tra.2019.09.033.","https://doi.org/10.1016/j.tra.2019.09.033","9 September 2026","verified_crossref","Questioning mobility as a service: Unanticipated implications for society and governance"
"7","hart","[7] O. Hart, A. Shleifer, R.W. Vishny, The proper scope of government: theory and an application to prisons, Q. J. Econ. 112 (1997) 1127-1161. https://doi.org/10.1162/003355300555448.","https://doi.org/10.1162/003355300555448","9 September 2026","verified_crossref","The Proper Scope of Government: Theory and an Application to Prisons"
"8","cottrill","[8] C.D. Cottrill, MaaS surveillance: privacy considerations in mobility as a service, Transp. Res. A Policy Pract. 131 (2020) 50-57. https://doi.org/10.1016/j.tra.2019.09.026.","https://doi.org/10.1016/j.tra.2019.09.026","9 September 2026","verified_crossref","MaaS surveillance: Privacy considerations in mobility as a service"
"9","vinayaga2022","[9] N. Vinayaga-Sureshkanth, A. Maiti, M. Jadliwala, K. Crager, J. He, H. Rathore, An investigative study on the privacy implications of mobile e-scooter rental apps, in: Proceedings of the 15th ACM Conference on Security and Privacy in Wireless and Mobile Networks (WiSec), ACM, 2022. https://doi.org/10.1145/3507657.3528551.","https://doi.org/10.1145/3507657.3528551","9 September 2026","verified_crossref","An Investigative Study on the Privacy Implications of Mobile E-scooter Rental Apps"
"10","espoofer","[10] M. Casagrande, E. Losiouk, M. Conti, M. Payer, D. Antonioli, E-Spoofer: attacking and defending Xiaomi electric scooter ecosystem, in: Proceedings of the 16th ACM Conference on Security and Privacy in Wireless and Mobile Networks (WiSec), ACM, 2023. https://doi.org/10.1145/3558482.3590176.","https://doi.org/10.1145/3558482.3590176","9 September 2026","verified_crossref","E-Spoofer: Attacking and Defending Xiaomi Electric Scooter Ecosystem"
"11","yilmaz2023","[11] S. Yilmaz, M.E. Karsligil, Geo-location spoofing on e-scooters: threat analysis and prevention framework, Balkan J. Electr. Comput. Eng. 11 (2023). https://doi.org/10.17694/bajece.1231384.","https://doi.org/10.17694/bajece.1231384","9 September 2026","verified_crossref","Geo-Location Spoofing on E-Scooters; Threat Analysis and Prevention Framework"
"12","hilgert","[12] J.-N. Hilgert, M. Lambertz, M. Rybalka, R. Schell, R. Vogt, A forensic analysis of micromobility solutions, Forensic Sci. Int. Digit. Investig. 38 (2021) 301137. https://doi.org/10.1016/j.fsidi.2021.301137.","https://doi.org/10.1016/j.fsidi.2021.301137","9 September 2026","verified_crossref","A forensic analysis of micromobility solutions"
"13","iotreuse","[13] Y. Liu, Z. Zhou, J. Zhang, et al., How IoT re-using threatens your sensitive data: exploring the user-data disposal in used IoT devices, in: 2023 IEEE Symposium on Security and Privacy (SP), IEEE, 2023. https://doi.org/10.1109/SP46215.2023.10179294.","https://doi.org/10.1109/SP46215.2023.10179294","9 September 2026","verified_crossref","How IoT Re-using Threatens Your Sensitive Data: Exploring the User-Data Disposal in Used IoT Devices"
"14","remanence","[14] A. Joshi, M.S. Raval, Standards and techniques to remove data remanence in cloud storage, in: 2018 IEEE Punecon, IEEE, 2018. https://doi.org/10.1109/PUNECON.2018.8745370.","https://doi.org/10.1109/PUNECON.2018.8745370","9 September 2026","verified_crossref","Standards and Techniques to remove Data Remanence in Cloud Storage"
"15","leaky","[15] A. Marchiori, E. Losiouk, M. Conti, D. Antonioli, Leaky batteries: a novel set of side-channel attacks on electric vehicles, in: Computer Security - ESORICS 2025, Lecture Notes in Computer Science, Springer, 2025. https://doi.org/10.1007/978-3-032-00624-0_16.","https://doi.org/10.1007/978-3-032-00624-0_16","9 September 2026","verified_crossref","Leaky Batteries: A Novel Set of Side-Channel Attacks on Electric Vehicles"
"16","bms","[16] F. Basic, M. Gaertner, C. Steger, Secure data acquisition for battery management systems, in: 2023 26th Euromicro Conference on Digital System Design (DSD), IEEE, 2023. https://doi.org/10.1109/DSD60849.2023.00082.","https://doi.org/10.1109/DSD60849.2023.00082","9 September 2026","verified_crossref","Secure Data Acquisition for Battery Management Systems"
"17","prisma_scr","[17] A.C. Tricco, E. Lillie, W. Zarin, K.K. O'Brien, H. Colquhoun, D. Levac, et al., PRISMA Extension for Scoping Reviews (PRISMA-ScR): checklist and explanation, Ann. Intern. Med. 169 (2018) 467-473. https://doi.org/10.7326/M18-0850.","https://doi.org/10.7326/M18-0850","9 September 2026","verified_crossref","PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation"
"18","gbfs_spec","[18] MobilityData, General Bikeshare Feed Specification (GBFS), version 3.0, 2024. https://gbfs.org/ (accessed 12 July 2026).","https://gbfs.org/","9 September 2026","url_resolves_http_200",""
"19","arksey","[19] H. Arksey, L. O'Malley, Scoping studies: towards a methodological framework, Int. J. Soc. Res. Methodol. 8 (2005) 19-32. https://doi.org/10.1080/1364557032000119616.","https://doi.org/10.1080/1364557032000119616","9 September 2026","verified_crossref","Scoping studies: towards a methodological framework"
"20","gbfs_registry","[dataset] [20] MobilityData, GBFS systems catalogue (systems.csv), GitHub, snapshot of 8 July 2026, 2026. https://github.com/MobilityData/gbfs (accessed 8 July 2026).","https://github.com/MobilityData/gbfs","9 September 2026","url_resolves_http_200",""
"21","mds_privacy","[21] Open Mobility Foundation, MDS privacy guide for cities, 2021. https://www.openmobilityfoundation.org/introducing-the-mds-privacy-guide-for-cities/ (accessed 9 September 2026).","https://www.openmobilityfoundation.org/introducing-the-mds-privacy-guide-for-cities/","9 September 2026","url_resolves_http_200",""
"22","edpb_cv","[22] European Data Protection Board, Guidelines 01/2020 on processing personal data in the context of connected vehicles and mobility related applications, version 2.0, 2021. https://www.edpb.europa.eu/documents/guideline/guidelines-012020-on-processing-personal-data-in-the-context-of-connected_en (accessed 9 September 2026).","https://www.edpb.europa.eu/documents/guideline/guidelines-012020-on-processing-personal-data-in-the-context-of-connected_en","9 September 2026","url_resolves_http_200",""
"23","grade_indirectness","[23] G.H. Guyatt, A.D. Oxman, R. Kunz, J. Woodcock, J. Brozek, M. Helfand, et al., GRADE guidelines: 8. Rating the quality of evidence - indirectness, J. Clin. Epidemiol. 64 (2011) 1303-1310. https://doi.org/10.1016/j.jclinepi.2011.04.014.","https://doi.org/10.1016/j.jclinepi.2011.04.014","9 September 2026","verified_crossref","GRADE guidelines: 8. Rating the quality of evidence—indirectness"
"24","nist88","[24] R. Kissel, A. Regenscheid, M. Scholl, K. Stine, Guidelines for Media Sanitization, NIST Special Publication 800-88 Revision 1, National Institute of Standards and Technology, 2014. https://doi.org/10.6028/NIST.SP.800-88r1.","https://doi.org/10.6028/NIST.SP.800-88r1","9 September 2026","verified_crossref","Guidelines for Media Sanitization"
"25","nist161","[25] J. Boyens, A. Smith, N. Bartol, K. Winkler, A. Holbrook, M. Fallon, Cybersecurity Supply Chain Risk Management Practices for Systems and Organizations, NIST Special Publication 800-161 Revision 1, National Institute of Standards and Technology, 2022. https://doi.org/10.6028/NIST.SP.800-161r1.","https://doi.org/10.6028/NIST.SP.800-161r1","9 September 2026","verified_crossref","Cybersecurity supply chain risk management for systems and organizations"
"26","eu_battery","[26] European Parliament and Council, Regulation (EU) 2023/1542 concerning batteries and waste batteries, Off. J. Eur. Union L191 (2023) 1-117. http://data.europa.eu/eli/reg/2023/1542/oj.","http://data.europa.eu/eli/reg/2023/1542/oj","9 September 2026","url_exists_http_403",""
"27","etrojans","[27] M. Casagrande, E. Losiouk, M. Conti, M. Payer, D. Antonioli, E-Trojans: ransomware, tracking, DoS, and data leaks on battery-powered embedded systems, arXiv:2411.17184 (2024). https://doi.org/10.48550/arXiv.2411.17184.","https://doi.org/10.48550/arXiv.2411.17184","9 September 2026","verified_datacite","E-Trojans: Ransomware, Tracking, DoS, and Data Leaks on Battery-powered Embedded Systems"
