area_code,L008_scr,L002_scr,L003_scr,L004_scr,k_mean_scr,anesthesiologist_count,L008_per_anes,L003_per_anes,L002_per_anes,L008_per_surgery,L003_per_surgery,L002_per_surgery,L003_L008_ratio
0101,118.4,38.7,137.8,108.9,128.81575562700965,41,2.887804878048781,3.360975609756098,0.9439024390243903,0.9191422231208362,1.0697449184632704,0.3004290881315571,1.1638513513513513
0102,14.2,,1.2,18.4,65.5125,0,,,,0.21675252814348406,0.018317115054378934,,0.08450704225352113
0103,37.0,65.5,,25.2,107.65684210526315,0,,,,0.3436846119248294,,0.6084146508399007,
0104,167.7,145.0,216.4,93.1,154.94119402985075,335,0.5005970149253731,0.6459701492537313,0.43283582089552236,1.082346118797117,1.3966589153708773,0.9358389220368633,1.2903995229576626
0105,87.5,39.6,53.8,26.4,74.9105882352941,16,5.46875,3.3625,2.475,1.1680591764299404,0.7181895279077803,0.5286302101328644,0.6148571428571429
0106,59.1,22.9,21.3,52.2,60.13691588785046,4,14.775,5.325,5.725,0.9827574149332132,0.3541917586815134,0.38079771238528903,0.3604060913705584
0107,90.3,122.5,115.4,123.1,105.16055776892432,11,8.209090909090909,10.490909090909092,11.136363636363637,0.8586869632093591,1.0973696074679962,1.164885415206495,1.2779623477297897
0108,51.4,5.7,39.9,16.1,109.18028169014086,3,17.133333333333333,13.299999999999999,1.9000000000000001,0.4707809799014422,0.3654506050207693,0.05220722928868134,0.7762645914396887
0109,95.8,138.4,149.8,60.8,104.31901140684411,15,6.386666666666667,9.986666666666668,9.226666666666667,0.9183369235199136,1.4359798657962743,1.326699689093487,1.5636743215031317
0110,83.0,65.8,140.3,158.1,115.5363309352518,14,5.928571428571429,10.021428571428572,4.7,0.7183887468826959,1.214336640814967,0.5695178258419445,1.6903614457831326
0111,15.3,13.2,14.6,7.7,45.607142857142854,0,,,,0.3354737666405639,0.32012529365700865,0.2894283476898982,0.9542483660130718
0112,135.6,359.0,173.2,111.1,152.31619937694705,69,1.9652173913043478,2.5101449275362318,5.202898550724638,0.8902533056541256,1.137108204567069,2.356939061429433,1.2772861356932153
0113,70.0,16.8,86.7,96.0,128.59836956521738,5,14.0,17.34,3.3600000000000003,0.544330384877082,0.674192062412043,0.13063929237049968,1.2385714285714287
0114,67.4,49.1,49.0,101.8,134.13000000000002,0,,,,0.502497576977559,0.3653172295534183,0.36606277491985384,0.7270029673590503
0115,28.5,,19.9,64.3,79.39374999999998,2,14.25,9.95,,0.358970321971188,0.2506494528851453,,0.6982456140350877
0116,41.0,32.3,55.4,31.6,81.68814814814816,0,,,,0.5019087949654966,0.6781889570997197,0.3954061970094033,1.3512195121951218
0117,98.3,7.9,143.6,146.0,103.74256055363323,14,7.021428571428571,10.257142857142856,0.5642857142857143,0.9475378231982281,1.3841956399925286,0.07615003869039677,1.4608341810783316
0118,40.0,,69.7,24.9,73.25714285714285,3,13.333333333333334,23.233333333333334,,0.546021840873635,0.951443057722309,,1.7425000000000002
0119,91.9,115.2,140.3,109.8,101.85639344262295,29,3.1689655172413795,4.837931034482759,3.972413793103448,0.9022506775852858,1.377429489284174,1.131004113795701,1.5266594124047879
0120,147.5,305.4,142.2,80.1,146.27297297297295,19,7.7631578947368425,7.484210526315789,16.073684210526313,1.0083886107056412,0.9721549860497775,2.0878771641322222,0.9640677966101694
0121,35.8,38.3,27.3,54.3,67.92014388489208,3,11.933333333333332,9.1,12.766666666666666,0.5270895783241004,0.40194261140357385,0.5638975097713141,0.7625698324022347
0201,103.9,28.1,22.3,175.8,133.02571428571432,39,2.6641025641025644,0.5717948717948718,0.7205128205128205,0.7810519985394874,0.1676367619579458,0.21123735475418282,0.21462945139557266
0202,83.5,128.6,68.8,133.5,94.84501718213059,12,6.958333333333333,5.733333333333333,10.716666666666667,0.8803836245783498,0.7253939325867121,1.3558962170152788,0.8239520958083832
0203,66.6,5.4,20.5,127.5,88.5914383561644,17,3.9176470588235293,1.2058823529411764,0.31764705882352945,0.7517656472880351,0.23139933587694778,0.06095397140173259,0.3078078078078078
0204,25.3,,20.1,77.3,56.78834355828221,2,12.65,10.05,,0.445513963161022,0.3539458758710096,,0.7944664031620554
0205,47.1,1.0,38.7,54.2,59.49346733668342,4,11.775,9.675,0.25,0.7916835596999797,0.65049158726941,0.016808568146496384,0.821656050955414
0206,42.4,139.3,62.8,81.5,79.74906832298136,4,10.6,15.7,34.825,0.531667653197919,0.7874700146422008,1.7467288700582575,1.4811320754716981
