code,name,total_physicians,anesthesiologist_count
0101,南渡島,892,41
0102,南檜山,27,0
0103,北渡島檜山,44,0
0104,札幌,7177,335
0105,後志,394,16
0106,南空知,254,4
0107,中空知,252,11
0108,北空知,61,3
0109,西胆振,399,15
0110,東胆振,347,14
0111,日高,58,0
0112,上川中部,1320,69
0113,上川北部,114,5
0114,富良野,53,0
0115,留萌,56,2
0116,宗谷,68,0
0117,北網,317,14
0118,遠紋,91,3
0119,十勝,647,29
0120,釧路,414,19
0121,根室,73,3
0201,津軽地域,920,39
0202,八戸地域,613,12
0203,青森地域,655,17
0204,西北五地域,160,2
0205,上十三地域,203,4
0206,下北地域,100,4
0301,盛岡,1420,42
0302,岩手中部,333,7
0303,胆江,208,6
0304,両磐,221,3
0305,気仙,93,0
0306,釜石,63,3
0307,宮古,94,0
0308,久慈,64,0
0309,二戸,84,1
0401,仙南,256,5
0403,仙台,4539,153
0406,大崎・栗原,490,10
0409,石巻・登米・気仙沼,559,13
0501,大館・鹿角,161,2
0502,北秋田,36,0
0503,能代・山本,154,3
0504,秋田周辺,1293,45
0505,由利本荘・にかほ,202,5
0506,大仙・仙北,216,5
0507,横手,193,1
0508,湯沢・雄勝,68,1
0601,村山,1519,37
0602,最上,97,2
0603,置賜,371,7
0604,庄内,507,10
0701,県北,1374,44
0702,県中,1042,34
0703,県南,225,5
0706,相双,167,2
0707,いわき,596,10
0708,会津・南会津,510,12
0801,水戸,1163,40
0802,日立,384,8
0803,常陸太田・ひたちなか,415,5
0804,鹿行,262,8
0805,土浦,575,17
0806,つくば,1461,58
0807,取手・竜ヶ崎,835,18
0808,筑西・下妻,302,5
0809,古河・坂東,340,7
0901,県北,578,14
0902,県西,287,10
0903,宇都宮,1132,33
0904,県東,197,5
0905,県南,2038,76
0906,両毛,510,14
1001,前橋,1478,63
1002,渋川,261,8
1003,伊勢崎,415,11
1004,高崎・安中,887,20
1005,藤岡,164,5
1006,富岡,145,6
1007,吾妻,72,0
1008,沼田,133,3
1009,桐生,291,9
1010,太田・館林,619,24
1101,南部,1260,39
1102,南西部,1010,52
1103,東部,1948,69
1104,さいたま,2670,89
1105,県央,948,28
1106,川越比企,1907,74
1107,西部,1744,57
1108,利根,899,22
1109,北部,703,24
1110,秩父,135,1
1201,千葉,2939,101
1202,東葛南部,3363,119
1203,東葛北部,2506,87
1204,印旛,1546,45
1205,香取海匝,528,14
1206,山武長生夷隅,542,3
1207,安房,629,20
1208,君津,518,9
1209,市原,526,11
1301,区中央部,11029,422
1302,区南部,3505,123
1303,区西南部,4728,149
1304,区西部,6160,180
1305,区西北部,5204,167
1306,区東北部,2395,71
1307,区東部,3115,109
1308,西多摩,659,20
1309,南多摩,2617,50
1310,北多摩西部,1360,33
1311,北多摩南部,3311,120
1312,北多摩北部,1451,46
1313,島しょ,28,0
1404,川崎北部,1932,55
1405,川崎南部,1743,66
1406,横須賀・三浦,1607,51
1407,湘南東部,1430,51
1408,湘南西部,1498,36
1409,県央,1299,39
1410,相模原,1708,64
1411,県西,598,13
1412,横浜,8773,272
1501,下越,335,7
1502,新潟,2337,74
1503,県央,275,6
1504,中越,827,18
1505,魚沼,242,5
1506,上越,482,14
1507,佐渡,83,0
1601,新川,240,8
1602,富山,1579,63
1603,高岡,649,22
1604,砺波,284,6
1701,南加賀,419,11
1702,石川中央,2444,92
1703,能登中部,240,6
1704,能登北部,99,0
1801,福井・坂井,1485,41
1802,奥越,68,1
1803,丹南,238,4
1804,嶺南,251,8
1901,中北,1475,58
1902,峡東,279,4
1903,峡南,58,0
1904,富士・東部,256,4
2001,佐久,560,14
2002,上小,343,6
2003,諏訪,474,12
2004,上伊那,300,7
2005,飯伊,301,8
2006,木曽,36,1
2007,松本,1581,62
2008,大北,124,4
2009,長野,1163,42
2010,北信,164,6
2101,岐阜,2345,62
2102,西濃,616,12
2103,中濃,645,15
2104,東濃,621,7
2105,飛騨,278,3
2201,賀茂,88,0
2202,熱海伊東,223,6
2203,駿東田方,1514,47
2204,富士,617,8
2205,静岡,1834,57
2206,志太榛原,835,20
2207,中東遠,763,18
2208,西部,2368,84
2302,海部,568,11
2304,尾張東部,1923,24
2305,尾張西部,1009,29
2306,尾張北部,1340,44
2307,知多半島,984,27
2308,西三河北部,815,19
2309,西三河南部西,1133,43
2310,西三河南部東,746,17
2311,東三河北部,59,0
2312,東三河南部,1288,35
2313,名古屋・尾張中部,7725,248
2401,北勢,1679,39
2402,中勢伊賀,1344,22
2403,南勢志摩,1066,30
2404,東紀州,112,0
2501,大津,1282,60
2502,湖南,799,22
2503,甲賀,222,3
2504,東近江,487,14
2505,湖東,232,5
2506,湖北,306,8
2507,湖西,84,1
2601,丹後,181,7
2602,中丹,415,17
2603,南丹,255,7
2604,京都・乙訓,6537,214
2605,山城北,961,28
2606,山城南,176,4
2701,豊能,3722,135
2702,三島,2158,70
2703,北河内,2773,102
2704,中河内,1574,35
2705,南河内,1785,61
2706,堺市,2003,55
2707,泉州,1908,48
2708,大阪市,9413,315
2801,神戸,5234,187
2804,東播磨,1625,57
2805,北播磨,659,16
2808,但馬,367,8
2809,丹波,208,2
2810,淡路,314,10
2811,阪神,4713,162
2812,播磨姫路,1816,70
2901,奈良,1026,32
2902,東和,586,9
2903,西和,729,19
2904,中和,1267,45
2905,南和,137,3
3001,和歌山,1735,53
3002,那賀,223,2
3003,橋本,202,6
3004,有田,128,1
3005,御坊,152,3
3006,田辺,313,7
3007,新宮,145,1
3101,東部,564,16
3102,中部,210,5
3103,西部,966,29
3201,松江,647,19
3202,雲南,93,0
3203,出雲,801,40
3204,大田,98,3
3205,浜田,201,6
3206,益田,147,2
3207,隠岐,37,2
3301,県南東部,3361,131
3302,県南西部,2149,55
3303,高梁・新見,83,0
3304,真庭,75,1
3305,津山・英田,364,10
3401,広島,4034,148
3402,広島西,408,11
3403,呉,746,24
3404,広島中央,439,11
3405,尾三,561,15
3406,福山・府中,1118,35
3407,備北,219,6
3501,岩国,299,6
3502,柳井,145,2
3503,周南,523,13
3504,山口・防府,707,21
3505,宇部・小野田,990,48
3506,下関,687,19
3507,長門,66,1
3508,萩,91,0
3601,東部,1803,53
3603,南部,400,11
3605,西部,160,3
3702,小豆,42,0
3706,東部,1728,60
3707,西部,943,26
3801,宇摩,166,1
3802,新居浜・西条,445,10
3803,今治,328,5
3804,松山,2285,78
3805,八幡浜・大洲,261,4
3806,宇和島,254,7
3901,安芸,107,1
3902,中央,1907,70
3903,高幡,80,2
3904,幡多,172,5
4001,福岡・糸島,6270,236
4002,粕屋,580,15
4003,宗像,285,5
4004,筑紫,877,21
4005,朝倉,156,3
4006,久留米,1933,55
4007,八女・筑後,315,9
4008,有明,581,11
4009,飯塚,652,7
4010,直方・鞍手,203,4
4011,田川,251,4
4012,北九州,3581,132
4013,京築,284,2
4101,中部,1278,39
4102,東部,252,3
4103,北部,287,5
4104,西部,110,0
4105,南部,425,15
4201,長崎,2116,61
4202,佐世保県北,786,22
4203,県央,849,25
4204,県南,236,6
4206,五島,72,0
4207,上五島,35,0
4208,壱岐,48,1
4209,対馬,61,1
4302,宇城,169,2
4303,有明,288,5
4304,鹿本,100,1
4305,菊池,318,8
4306,阿蘇,81,1
4308,八代,366,12
4309,芦北,127,1
4310,球磨,185,3
4311,天草,251,3
4312,熊本・上益城,3306,121
4401,東部,665,20
4403,中部,1903,64
4405,南部,145,3
4406,豊肥,109,3
4408,西部,150,2
4409,北部,326,5
4501,宮崎東諸県,1532,57
4502,都城北諸県,374,14
4503,延岡西臼杵,260,6
4504,日南串間,165,3
4505,西諸,126,1
4506,西都児湯,143,0
4507,日向入郷,144,2
4601,鹿児島,2795,106
4603,南薩,286,5
4605,川薩,263,8
4606,出水,149,5
4607,姶良・伊佐,432,4
4609,曽於,80,2
4610,肝属,278,5
4611,熊毛,52,1
4612,奄美,177,5
4701,北部,200,4
4702,中部,1109,30
4703,南部,2403,91
4704,宮古,97,3
4705,八重山,97,5
