accepted_name,genus,family,order,guild,n_occurrences
Teleoceras,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,117
Aphelops megalodus,Aphelops,Rhinocerotidae,Perissodactyla,herbivore,95
Hippotherium,Hippotherium,Equidae,Perissodactyla,herbivore,92
Gomphotherium,Gomphotherium,Gomphotheriidae,Proboscidea,herbivore,78
Epicyon saevus,Epicyon,Canidae,Carnivora,predator,76
Teleoceras major,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,69
Aelurodon taxoides,Aelurodon,Canidae,Carnivora,predator,67
Epicyon haydeni,Epicyon,Canidae,Carnivora,predator,67
Aepycamelus,Aepycamelus,Camelidae,Artiodactyla,herbivore,61
Pliohippus,Pliohippus,Equidae,Perissodactyla,herbivore,56
Acritohippus isonesus,Acritohippus,Equidae,Perissodactyla,herbivore,55
Neohipparion eurystyle,Neohipparion,Equidae,Perissodactyla,herbivore,55
Leptocyon vafer,Leptocyon,Canidae,Carnivora,predator,53
Aelurodon ferox,Aelurodon,Canidae,Carnivora,predator,52
Pseudhipparion gratum,Pseudhipparion,Equidae,Perissodactyla,herbivore,50
Hypohippus,Hypohippus,Equidae,Perissodactyla,herbivore,50
Aphelops,Aphelops,Rhinocerotidae,Perissodactyla,herbivore,49
Teleoceras medicornutum,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,48
Ustatochoerus major,Ustatochoerus,Merycoidodontidae,Artiodactyla,herbivore,47
Cynarctoides acridens,Cynarctoides,Canidae,Carnivora,predator,47
Merychyus,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,47
Paratomarctus temerarius,Paratomarctus,Canidae,Carnivora,predator,46
Megatylopus,Megatylopus,Camelidae,Artiodactyla,herbivore,46
Cosoryx furcatus,Cosoryx,Antilocapridae,Artiodactyla,herbivore,46
Hemiauchenia,Hemiauchenia,Camelidae,Artiodactyla,herbivore,43
Procamelus grandis,Procamelus,Camelidae,Artiodactyla,herbivore,42
Copemys,Copemys,Cricetidae,Rodentia,herbivore,41
Dinohippus,Dinohippus,Equidae,Perissodactyla,herbivore,41
Copemys longidens,Copemys,Cricetidae,Rodentia,herbivore,40
Ticholeptus zygomaticus,Ticholeptus,Merycoidodontidae,Artiodactyla,herbivore,39
Parapliohippus carrizoensis,Parapliohippus,Equidae,Perissodactyla,herbivore,39
Pleiolama vera,Pleiolama,Camelidae,Artiodactyla,herbivore,39
Ustatochoerus medius,Ustatochoerus,Merycoidodontidae,Artiodactyla,herbivore,38
Pliohippus pernix,Pliohippus,Equidae,Perissodactyla,herbivore,37
Dinohippus mexicanus,Dinohippus,Equidae,Perissodactyla,herbivore,37
Brachycrus laticeps,Brachycrus,Merycoidodontidae,Artiodactyla,herbivore,36
Tomarctus hippophaga,Tomarctus,Canidae,Carnivora,predator,36
Scaphohippus intermontanus,Scaphohippus,Equidae,Perissodactyla,herbivore,35
Borophagus secundus,Borophagus,Canidae,Carnivora,predator,35
Microtomarctus conferta,Microtomarctus,Canidae,Carnivora,predator,35
Hipparion tehonense,Hipparion,Equidae,Perissodactyla,herbivore,35
Cranioceras unicornis,Cranioceras,Dromomerycidae,Artiodactyla,herbivore,34
Cosoryx (Subcosoryx) cerroensis,Cosoryx (Subcosoryx),Antilocapridae,Artiodactyla,herbivore,34
Eucastor tortus,Eucastor,Castoridae,Rodentia,herbivore,34
Nannippus,Nannippus,Equidae,Perissodactyla,herbivore,33
Hypolagus fontinalis,Hypolagus,Leporidae,Lagomorpha,herbivore,33
Protolabis,Protolabis,Camelidae,Artiodactyla,herbivore,33
Menoceras barbouri,Menoceras,Rhinocerotidae,Perissodactyla,herbivore,32
Desmocyon thomsoni,Desmocyon,Canidae,Carnivora,predator,32
Spermophilus,Spermophilus,Sciuridae,Rodentia,herbivore,32
Calippus martini,Calippus,Equidae,Perissodactyla,herbivore,32
Procamelus,Procamelus,Camelidae,Artiodactyla,herbivore,31
Teleoceras fossiger,Teleoceras,Rhinocerotidae,Perissodactyla,herbivore,31
Merychyus elegans,Merychyus,Merycoidodontidae,Artiodactyla,herbivore,31
Neohipparion,Neohipparion,Equidae,Perissodactyla,herbivore,30
Cupidinimus lindsayi,Cupidinimus,Heteromyidae,Rodentia,herbivore,30
Cormohipparion ingenuum,Cormohipparion,Equidae,Perissodactyla,herbivore,30
Cupidinimus halli,Cupidinimus,Heteromyidae,Rodentia,herbivore,30
Miospermophilus,Miospermophilus,Sciuridae,Rodentia,herbivore,30
Pseudhipparion,Pseudhipparion,Equidae,Perissodactyla,herbivore,29
Pliohippus tehonensis,Pliohippus,Equidae,Perissodactyla,herbivore,29
Perognathus minutus,Perognathus,Heteromyidae,Rodentia,herbivore,29
Archaeohippus,Archaeohippus,Equidae,Perissodactyla,herbivore,28
Longirostromeryx wellsi,Longirostromeryx,Moschidae,Artiodactyla,herbivore,28
Pseudhipparion retrusum,Pseudhipparion,Equidae,Perissodactyla,herbivore,28
Parvericius montanus,Parvericius,Erinaceidae,NO_ORDER_SPECIFIED,other,28
Hypolagus vetus,Hypolagus,Leporidae,Lagomorpha,herbivore,27
Hypolagus,Hypolagus,Leporidae,Lagomorpha,herbivore,27
Eucyon davisi,Eucyon,Canidae,Carnivora,predator,27
Perognathus furlongi,Perognathus,Heteromyidae,Rodentia,herbivore,27
Blastomeryx gemmifer,Blastomeryx,Moschidae,Artiodactyla,herbivore,27
Protohippus perditus,Protohippus,Equidae,Perissodactyla,herbivore,27
