temporal_bins,bin_width_slices,delta_beta_obs_mean,lo95,hi95
8,1,-0.03082960088697692,-0.03559575785022047,-0.0265417583673482
4,2,-0.011934996280838632,-0.018028526863182178,-0.006545216162876124
2,4,-0.0006885573535660272,-0.01793615269726468,0.015648069672967474
1,8,-0.0008375608830605396,-0.029279308733400542,0.030256523927949953
