dist_bin_center,dissim_smallpool,dissim_comparison
2.0,0.27109892570849775,0.7192625939670004
6.0,0.3564329016729706,0.795256827531253
10.0,0.49747565832033536,0.8774615812982003
14.0,0.7211527372861505,0.9514798747949649
18.0,0.968633147460999,0.9961099882805472
22.0,1.0,1.0
26.0,1.0,1.0
30.0,1.0,1.0
34.0,1.0,1.0
38.0,1.0,1.0
42.0,1.0,1.0
46.0,1.0,1.0
50.0,1.0,1.0
54.0,1.0,1.0
