pred_sampling_ratio_A_vs_B,delta_beta_obs_mean,lo95,hi95
1.0,-0.023928886745561845,-0.04005335034059772,-0.009951475000113017
2.0,-0.023034889987012128,-0.03772870717761877,-0.007570628221817639
4.0,-0.023599736891343027,-0.045319725874842676,-0.00743335249524582
8.0,-0.023676455223496696,-0.040785178538953915,-0.008335200864564348
