taxon,guild,n_occ,extent_km,pred
Adasaurus,predator,1,0.0,1
Alioramus,predator,1,0.0,1
Anserimimus,predator,2,63.28521266071795,1
Avimimus,predator,4,623.6945754885774,1
Bagaceratops,herbivore,1,0.0,0
Bagaraatan,predator,1,0.0,1
Barsboldia,herbivore,2,55.11496434874659,0
Borogovia,predator,1,0.0,1
Brodavis,predator,1,0.0,1
Deinocheirus,predator,4,50.49525722506728,1
Elmisaurus,predator,4,91.13356056516261,1
Gallimimus,predator,28,98.30438911228157,1
Gobipteryx,predator,1,0.0,1
Gobiraptor,predator,1,0.0,1
Gurilynia,predator,1,0.0,1
Homalocephale,herbivore,2,18.61374572429833,0
Ingenia,predator,1,0.0,1
Mononykus,predator,5,59.29680262814716,1
Nemegtomaia,predator,1,0.0,1
Nemegtonykus,predator,1,0.0,1
Nemegtosaurus,herbivore,1,0.0,0
Oksoko,predator,3,55.62499494670344,1
Opisthocoelicaudia,herbivore,1,0.0,0
Prenocephale,herbivore,4,89.99792524228887,0
Rinchenia,predator,1,0.0,1
Saurolophus,herbivore,20,116.3507352633567,0
Saurornithoides,predator,1,0.0,1
Subtiliolithus,predator,1,0.0,1
Tarbosaurus,predator,47,143.85632689455255,1
Tarchia,herbivore,3,0.030467409900125086,0
Teviornis,predator,1,0.0,1
Therizinosaurus,predator,2,116.3507352633567,1
Tochisaurus,predator,1,0.0,1
Zanabazar,predator,1,0.0,1
