concept,population,gdp,healthcare
Flow (quantum),TFR (period fertility rate),I/GDP (investment rate),E/GDP (health spending rate)
Tempo (timing lag),MAC (mean age at childbearing),mu (investment-to-output lag),mu_H (spending-to-outcome lag)
Forgotten parameter,sigma (parity variance),beta (intangible capital share),lambda_b (composition multipliers)
Stock,Cohort size N(t),Capital stock K(t),Health capital H(t)
Tempo drift (mu_1),+0.05 yr/yr (MAC shift),+0.04 yr/yr (time-to-build),not robustly identified (constant lag preferred)
Preferred specification,Time-varying (M2),Time-varying (M2),Constant lag (M1); M2 not favoured by AIC/BIC
Identity,Renewal equation,dW/dt = S(Y) - delta*W,dH/dt = sum(lambda_b*E_b) - delta_H*H
