country,iso3,n,mu_const,mu_H0,mu_H1,M0_level_rmse,M0_change_rmse,M0_aic,M0_bic,M0_loocv,M1_level_rmse,M1_change_rmse,M1_aic,M1_bic,M1_loocv,M2_level_rmse,M2_change_rmse,M2_aic,M2_bic,M2_loocv
Australia,AUS,20,1.0,2.0,-0.1,0.10184995755456903,0.14462878949196684,-85.37018212215779,-82.38298530149581,0.12585208382484683,0.09803778039569742,0.1509041898389901,-84.89609441445108,-80.91316532023512,0.11787590891276539,0.09773894341358158,0.15045184393126332,-83.01820789490712,-78.03954652713716,0.11719036735547915
Austria,AUT,20,4.0,4.0,-0.1,0.2059492204155698,0.20995231634688716,-57.20502573665656,-54.21782891599459,0.25025852119874004,0.16878868730705582,0.21151755787612012,-63.1643086955695,-59.18137960135354,0.20265812980595965,0.16372520779489794,0.21001329983574302,-62.3826327483433,-57.403971380573346,0.1974558705918628
Belgium,BEL,20,4.0,4.0,-0.1,0.183331223856713,0.2694688937715639,-61.858431829041535,-58.871235008379564,0.21562194318492464,0.19700258522848432,0.26798238691888576,-56.98153709372096,-52.998607999505,0.22785060741025412,0.19488579033129846,0.2686365290367284,-55.41366330443442,-50.43500193666447,0.22492574681396765
Canada,CAN,20,0.0,0.0,-0.1,0.1480415157681437,0.12532358648694678,-70.41050130428901,-67.42330448362704,0.1742381014317232,0.2069046454797522,0.15982236320883442,-55.01988966819107,-51.03696057397511,0.23753549100336893,0.20700125616052267,0.15991884932703532,-53.00121669307434,-48.02255532530439,0.23763762736856342
Chile,CHL,20,19.0,18.0,0.30000000000000004,0.1821262756498601,0.17226598917457467,-62.12220040946988,-59.13500358880791,0.21824130868359404,0.17869239484493513,0.17978401624592485,-60.883576637952885,-56.90064754373692,0.2283444684809692,0.1780169452155924,0.17898325912624802,-59.03506141522688,-54.056400047456926,0.2271433742362701
China,CHN,20,19.0,18.0,-0.1,0.11768030888048941,0.12385787114883033,-79.59134311772678,-76.6041462970648,0.14600877396582645,0.09497186893145142,0.11382804696409778,-86.1669819097514,-82.18405281553544,0.11526743894607538,0.09492173548979668,0.11382222895567391,-84.18810255485045,-79.20944118708049,0.11516508820952649
Colombia,COL,20,4.0,4.0,-0.1,0.26977735426445,0.20782763707347213,-46.40633096000585,-43.41913413934388,0.339990677433979,0.23070512749705296,0.2342118377073519,-50.664595529111054,-46.68166643489509,0.28053324630071114,0.22821748066626174,0.23287246837868844,-49.09824968376761,-44.11958831599766,0.2772263826235495
Costa Rica,CRI,20,4.0,4.0,-0.1,0.2679186496917563,0.21324754704416946,-46.682875619078104,-43.69567879841613,0.3162528235330904,0.30958820060770614,0.24079323323188753,-38.90048998900203,-34.91756089478607,0.3705766098651682,0.3035807054088625,0.24091373126680285,-37.68431152607799,-32.70565015830804,0.3637621880139151
Czech Republic,CZE,20,0.0,0.0,-0.1,0.28668449573267385,0.26621055292737367,-43.97491943681527,-40.9877226161533,0.33964687995827364,0.22146769362142144,0.22382710864404548,-52.29914211437798,-48.31621302016202,0.26180318432260236,0.22165430139587344,0.22378284055234324,-50.26545246907371,-45.286791101303756,0.26199257693443273
Denmark,DNK,20,0.0,0.0,-0.1,0.31722047129093195,0.2202995467723634,-39.92633015266892,-36.939133332006946,0.3744317356500132,0.1844774130814384,0.17367918119658676,-59.60912981274427,-55.62620071852831,0.21435503250039065,0.18475379996261998,0.1735958213921897,-57.54924604928344,-52.57058468151349,0.21467093403556417
Estonia,EST,20,0.0,0.0,-0.1,0.587001624123965,0.4282514949830077,-15.30910769347214,-12.321910872810166,0.7135308908430905,0.3811854048850431,0.34497683326818573,-30.578775809003616,-26.595846714787655,0.45504119384945424,0.3816565101811147,0.34533407892026186,-28.529370515806313,-23.55070914803636,0.45555605419889245
Finland,FIN,20,0.0,0.0,-0.1,0.2834972949655636,0.16888606464522524,-44.42210789710113,-41.43491107643916,0.32841725859833154,0.15115689959561687,0.16146708178063157,-67.57747645829258,-63.59454736407662,0.18318826850326125,0.15133648711874517,0.16142246514465408,-65.5299811933736,-60.55131982560365,0.18343434962873265
France,FRA,20,0.0,18.0,0.30000000000000004,0.2526300221578559,0.30259924359240586,-49.03316894253611,-46.04597212187414,0.30377214708852357,0.36481491718481646,0.30388757746473044,-32.334605208489776,-28.351676114273815,0.4641670874197076,0.36334462084188784,0.30234727665646705,-30.496141054892256,-25.517479687122304,0.4682897078532474
Germany,DEU,20,3.0,4.0,-0.1,0.22118504243094161,0.21257051656432294,-54.350225269343355,-51.36302844868138,0.2682566357879811,0.166817701551897,0.23141893604742758,-63.634146811057406,-59.651217716841444,0.19271398438632875,0.15986549614119486,0.22915544012668274,-63.33689865637852,-58.35823728860857,0.18444764972905928
