target,k,delta_beta_mean,lo95,hi95
median_other_predator,1,0.14025923864756415,0.1335276731382209,0.1426713921642928
p75_other_predator,2,0.14645637634151606,0.13395411260289555,0.1509849740072864
half_original,23,0.16994533987950694,0.16204541612516776,0.17738586246754057
