distance_km,beta_predator,beta_herbivore,delta_beta
50.0,0.2782586367880486,0.7747242026822121,-0.4964655658941635
150.0,0.23416163416163416,0.7914744159474839,-0.5573127817858498
250.0,0.23115152043723475,0.7758485167590439,-0.5446969963218091
350.0,0.2339665132674043,0.7901545798744356,-0.5561880666070314
450.0,0.270792612269885,0.7849572653541592,-0.5141646530842743
550.0,0.230640832662396,0.7854421205325671,-0.5548012878701711
650.0,0.2583146151542378,0.7864212537974148,-0.528106638643177
750.0,0.17467740093639375,0.7800611273739079,-0.6053837264375141
850.0,0.20669330669330668,0.7840186926840313,-0.5773253859907247
950.0,0.14517543859649124,0.7763054117599573,-0.6311299731634661
1050.0,0.06315789473684212,0.8004502164502164,-0.7372923217133743
1150.0,0.075,0.7955893832943013,-0.7205893832943013
1250.0,0.06481481481481483,0.9607843137254901,-0.8959694989106752
1350.0,0.0,1.0,-1.0
1450.0,0.0,,
