field,chi2,p,tarbosaurus_top,tarb_share_top_cat,other_top,other_share_top_cat
env,14.866545868033738,0.037748652649765284,terrestrial indet.,0.7346938775510204,terrestrial indet.,0.4444444444444444
lt1,5.1729452192218615,0.3951405894179598,sandstone,0.6530612244897959,sandstone,0.5333333333333333
gsc,22.024847471127046,1.6495486901980876e-05,small collection,0.5714285714285714,outcrop,0.7555555555555555
cct,10.434252757664659,0.015213595969662833,general faunal/floral,0.5714285714285714,general faunal/floral,0.7518518518518519
