correction,delta_beta_mean,lo95,hi95,prop_gt0,n_rep
raw,-0.5433589283362031,-0.5433589283362031,-0.5433589283362031,0.0,1
no_dominant_quarries,-0.5710913276011356,-0.5710913276011356,-0.5710913276011356,0.0,1
no_singletons,-0.43202749302647364,-0.43202749302647364,-0.43202749302647364,0.0,1
equalized_collections,-0.5421232854460097,-0.5904771084545187,-0.49050900974166,0.0,999
spatial_thinning_1deg,-0.5810596695885107,-0.7035863858363859,-0.4416549358654622,0.0,999
