metric,value
dataset,all_tetrapods
n_occurrences,1391
n_collections,310
n_genera_nonempty,99
n_distinct_genera,99
occurrences_genus_or_better,945
missing_latlng,0
missing_systems_tract,253
lat_min,33.773609
lat_max,46.867001
lng_min,-111.725281
lng_max,-102.824997
max_ma,163.5
min_ma,89.8
dataset,dinosauria
n_occurrences,651
n_collections,239
n_genera_nonempty,38
n_distinct_genera,38
occurrences_genus_or_better,651
missing_latlng,0
missing_systems_tract,115
lat_min,33.773609
lat_max,46.867001
lng_min,-111.725281
lng_max,-102.824997
max_ma,163.5
min_ma,145.0
herbivore_occurrences,483
herbivore_collections,206
herbivore_genera,26
predator_occurrences,168
predator_collections,114
predator_genera,12
