analysis,observed,null_mean,null_median,null_lo95,null_hi95,empirical_tail_p,prop_null_le_obs
A_taxon_pool_null,-0.5433589283362031,-0.42437332487687146,-0.420013298444548,-0.64337494786081,-0.2414437959077949,0.0991,0.0991
B_freq_matched_null,-0.5433589283362031,-0.18468778455729024,-0.1805127320116523,-0.20389370101982496,-0.16591749126792843,0.0,0.0
