scenario,delta_beta,lo95,hi95,n_taxa_used,n_collections,lat_range,lng_range,share_of_predator_collections
C1_full,-0.5433589283362031,,,,,,,
C2_no_allosaurus,-0.003336962572892843,,,,,,,
C3_downsample_median,0.05899942164198046,0.0321954448345146,0.07395495299859267,,,,,
C3_downsample_p75,0.07046448312223381,0.03562338529550113,0.09158447401521042,,,,,
C3_downsample_p90,0.07520695089801471,0.04338651661866432,0.10310281053354697,,,,,
C3_downsample_half,-0.2894913735015958,-0.34888552447717613,-0.23206131485945167,,,,,
C4_allosaurus_species_split,-0.1565271734327202,,,15.0,,,,
C5_allosaurus_only,,,,,109.0,13.093392000000001,8.445557000000008,0.956140350877193
