guild,genus,n_occurrences,n_collections,lat_min,lat_max,lng_min,lng_max
herbivore,Camarasaurus,117,103,35.197208,45.544167,-111.270554,-102.962776
herbivore,Stegosaurus,72,63,34.9911,45.22361,-111.024002,-102.824997
herbivore,Apatosaurus,59,55,36.100834,45.544167,-111.024002,-102.824997
herbivore,Diplodocus,59,57,35.563332,45.544167,-110.813889,-102.824997
herbivore,Camptosaurus,35,29,36.897499,44.655998,-111.270554,-102.824997
herbivore,Nanosaurus,27,19,38.539501,44.650002,-111.270554,-104.734001
herbivore,Brontosaurus,23,21,35.341,44.844444,-111.725281,-102.824997
herbivore,Barosaurus,18,17,38.25222,44.650002,-111.024002,-103.344597
herbivore,Dryosaurus,17,16,38.316418,42.017776,-111.024002,-105.212502
herbivore,Brachiosaurus,13,13,36.897499,44.650002,-110.813889,-102.824997
herbivore,Haplocanthosaurus,8,7,38.533501,44.087002,-109.300552,-105.2202
herbivore,Hesperosaurus,7,7,41.980556,46.867001,-110.616386,-106.138054
herbivore,Galeamopus,5,5,38.539501,44.650002,-107.816666,-105.224701
herbivore,Supersaurus,5,3,38.583099,42.629375,-109.036133,-105.439041
herbivore,Fruitadens,4,4,38.992222,39.149235,-109.269165,-108.769501
herbivore,Amphicoelias,2,2,38.5527,44.051388,-107.458336,-105.2397
herbivore,Miragaia,2,2,41.967098,42.552223,-106.687599,-106.291
herbivore,Mymoorapelta,2,2,38.853611,39.2383,-108.995796,-108.476669
herbivore,Dyslocosaurus,1,1,43.2425,43.2425,-104.28611,-104.28611
herbivore,Gargoyleosaurus,1,1,41.967098,41.967098,-106.291,-106.291
herbivore,Kaatedocus,1,1,44.535557,44.535557,-107.779167,-107.779167
herbivore,Maraapunisaurus,1,1,38.547501,38.547501,-105.231598,-105.231598
herbivore,Osmakasaurus,1,1,41.9077,41.9077,-105.963402,-105.963402
herbivore,Smitanosaurus,1,1,38.539501,38.539501,-105.224701,-105.224701
herbivore,Suuwassea,1,1,45.25,45.25,-108.75,-108.75
herbivore,Uteodon,1,1,40.441387,40.441387,-109.300552,-109.300552
predator,Allosaurus,117,109,33.773609,46.867001,-111.270554,-102.824997
predator,Ceratosaurus,13,13,36.897499,44.051388,-111.024002,-102.824997
predator,Coelurus,10,9,38.539501,44.051388,-111.024002,-105.224701
predator,Torvosaurus,9,9,38.5168,44.632221,-109.300552,-105.210602
predator,Ornitholestes,4,4,38.583099,44.051388,-108.397202,-106.00222
predator,Stokesosaurus,4,3,38.583099,41.893055,-110.687622,-106.00222
predator,Tanycolagreus,4,4,39.32399,44.458099,-110.687622,-104.734703
predator,Marshosaurus,3,3,38.583099,40.440536,-110.687622,-108.397202
predator,Elaphrosaurus,1,1,44.087002,44.087002,-106.778,-106.778
predator,Fosterovenator,1,1,41.8825,41.8825,-106.1073,-106.1073
predator,Hesperornithoides,1,1,42.629375,42.629375,-105.439041,-105.439041
predator,Saurophaganax,1,1,36.897499,36.897499,-102.824997,-102.824997
