distance_km,beta_predator,beta_herbivore,delta_beta
50.0,0.09803921568627452,0.6437903638736104,-0.5457511481873359
150.0,0.10776160776160777,0.6522861603657857,-0.5445245526041779
250.0,0.0761904761904762,0.6136400292734223,-0.5374495530829462
350.0,0.09675576879140964,0.6437961042796455,-0.5470403354882358
450.0,0.11847643097643097,0.6445133446146538,-0.5260369136382228
550.0,0.09757412398921833,0.6164688147729414,-0.5188946907837231
650.0,0.10953878406708596,0.6302071714571714,-0.5206683873900855
750.0,0.04476418864908074,0.6218174284439344,-0.5770532397948537
850.0,0.08624708624708625,0.6116533864541833,-0.5254063002070971
950.0,0.021929824561403508,0.5915757575757576,-0.5696459330143542
1050.0,0.0,0.6909090909090909,-0.6909090909090909
1150.0,0.0,0.639344262295082,-0.639344262295082
1250.0,0.0,0.9411764705882353,-0.9411764705882353
1350.0,0.0,1.0,-1.0
1450.0,0.0,,
