guild,genus,max_range_km
herbivore,Amphicoelias,638.8274982144708
herbivore,Apatosaurus,1190.9186657391674
herbivore,Barosaurus,909.6221023276202
herbivore,Brachiosaurus,958.5786552854411
herbivore,Brontosaurus,1156.5089662599669
herbivore,Camarasaurus,1193.5855762088283
herbivore,Camptosaurus,960.4511511894427
herbivore,Diplodocus,1160.225368825594
herbivore,Dryosaurus,537.5570687531982
herbivore,Dyslocosaurus,0.0
herbivore,Fruitadens,46.534377033986935
herbivore,Galeamopus,712.7190518189469
herbivore,Gargoyleosaurus,0.0
herbivore,Haplocanthosaurus,631.0446333451957
herbivore,Hesperosaurus,582.7273785299534
herbivore,Kaatedocus,0.0
herbivore,Maraapunisaurus,0.0
herbivore,Miragaia,72.79025070582745
herbivore,Mymoorapelta,61.96398331822883
herbivore,Nanosaurus,836.6277382590918
herbivore,Osmakasaurus,0.0
herbivore,Smitanosaurus,0.0
herbivore,Stegosaurus,1204.2183284085636
herbivore,Supersaurus,514.4966457803911
herbivore,Suuwassea,0.0
herbivore,Uteodon,0.0
predator,Allosaurus,1460.6272106738143
predator,Ceratosaurus,886.4011425430423
predator,Coelurus,640.6003733999329
predator,Elaphrosaurus,0.0
predator,Fosterovenator,0.0
predator,Hesperornithoides,0.0
predator,Marshosaurus,219.93092980350673
predator,Ornitholestes,613.0679909712286
predator,Saurophaganax,0.0
predator,Stokesosaurus,487.77488127579517
predator,Tanycolagreus,753.701875680595
predator,Torvosaurus,713.5521194222865
