system,realm,scheme,time_bin,clade,spatial_resolution_deg,n_sites,n_collections,n_occurrences,gamma,median_alpha,median_occupancy,collections_per_site,occurrences_per_site
paleozoic_marine,marine,stage,Artinskian,Bivalvia,5,48,255,491,96,4.0,2.0,3.0,4.0
paleozoic_marine,marine,stage,Asselian,Bivalvia,5,35,150,363,75,2.0,1.0,1.0,2.0
paleozoic_marine,marine,stage,Bashkirian,Bivalvia,5,21,120,379,63,6.0,2.0,4.0,11.0
paleozoic_marine,marine,stage,Capitanian,Bivalvia,5,48,199,556,111,4.0,2.0,2.0,5.0
paleozoic_marine,marine,stage,Changhsingian,Bivalvia,5,40,481,1453,139,4.0,2.0,4.0,7.5
paleozoic_marine,marine,stage,Darriwilian,Bivalvia,5,62,283,632,89,2.0,1.0,1.5,3.0
paleozoic_marine,marine,stage,Eifelian,Bivalvia,5,26,69,200,66,3.0,1.0,2.0,5.0
paleozoic_marine,marine,stage,Emsian,Bivalvia,5,67,225,855,135,4.0,2.0,1.0,5.0
paleozoic_marine,marine,stage,Famennian,Bivalvia,5,27,120,356,63,3.0,2.0,1.0,3.0
paleozoic_marine,marine,stage,Floian,Bivalvia,5,22,71,214,63,3.5,1.0,2.0,4.5
paleozoic_marine,marine,stage,Frasnian,Bivalvia,5,37,366,845,70,3.0,2.0,1.0,5.0
paleozoic_marine,marine,stage,Givetian,Bivalvia,5,38,878,3016,92,3.0,2.0,2.0,4.0
paleozoic_marine,marine,stage,Gorstian,Bivalvia,5,11,27,147,57,1.0,1.0,1.0,1.0
paleozoic_marine,marine,stage,Gzhelian,Bivalvia,5,14,193,803,74,7.0,2.0,2.5,8.5
paleozoic_marine,marine,stage,Hirnantian,Bivalvia,5,19,29,76,39,2.0,1.0,1.0,2.0
paleozoic_marine,marine,stage,Homerian,Bivalvia,5,22,95,244,68,3.0,1.0,2.0,4.0
paleozoic_marine,marine,stage,Kasimovian,Bivalvia,5,14,85,312,62,5.0,2.0,1.0,6.0
paleozoic_marine,marine,stage,Katian,Bivalvia,5,54,618,1623,103,4.5,2.0,2.0,5.5
paleozoic_marine,marine,stage,Kungurian,Bivalvia,5,64,530,1196,140,4.0,3.0,3.0,5.0
paleozoic_marine,marine,stage,Lochkovian,Bivalvia,5,32,81,343,64,4.0,2.0,1.0,5.0
paleozoic_marine,marine,stage,Ludfordian,Bivalvia,5,30,140,446,69,2.0,1.0,1.5,2.5
paleozoic_marine,marine,stage,Moscovian,Bivalvia,5,38,176,745,104,5.5,2.0,1.0,5.5
paleozoic_marine,marine,stage,Pragian,Bivalvia,5,15,59,139,48,4.0,1.0,1.0,5.0
paleozoic_marine,marine,stage,Rhuddanian,Bivalvia,5,6,15,26,12,2.0,1.0,2.0,3.5
paleozoic_marine,marine,stage,Roadian,Bivalvia,5,73,464,1208,140,3.0,2.0,3.0,5.0
paleozoic_marine,marine,stage,Sakmarian,Bivalvia,5,45,230,599,83,4.0,2.0,2.0,5.0
paleozoic_marine,marine,stage,Sandbian,Bivalvia,5,50,282,955,88,3.5,2.0,2.0,4.0
