clade,n_occurrences,n_collections,n_genera,n_species_ids,frac_with_paleocoord,frac_with_env,frac_with_lithology
Bivalvia,26148,9201,767,24700,0.9730380908673704,1.0,0.9827520269236653
Brachiopoda,155031,33808,3188,150648,0.984454721958834,1.0,0.9835516767614219
Cephalopoda,24779,8531,1558,23633,0.9767141531135235,1.0,0.9986682271278099
Crinoidea,12101,5084,910,8643,0.9872737790265267,1.0,0.9952070076853152
Gastropoda,27247,7955,892,24972,0.9830073035563548,1.0,0.9972474033838588
Trilobita,55608,17090,2937,53612,0.9890303553445547,1.0,0.9948568551287584
