clade,fine_scheme,coarse_scheme,fine_bin,coarse_bin,metric,fine_value,coarse_value,bias_time
Brachiopoda,stage,stage2,Jiangshanian,Jiangshanian+Stage 10,decay_slope,8.532553268868874e-07,1.115481507523697e-06,2.6222618063680964e-07
Brachiopoda,stage,stage2,Drumian,Wuliuan+Drumian,beta_jaccard,0.9389687693851713,0.9370064465005724,-0.001962322884598855
Brachiopoda,stage,stage2,Drumian,Wuliuan+Drumian,sorensen,0.900175164674853,0.8987262709517244,-0.0014488937231286192
Brachiopoda,stage,stage2,Drumian,Wuliuan+Drumian,turnover,0.7918600167339663,0.7839244257426076,-0.007935590991358765
Brachiopoda,stage,stage2,Drumian,Wuliuan+Drumian,nestedness,0.1083151479408867,0.11480184520911689,0.006486697268230188
Brachiopoda,stage,stage2,Drumian,Wuliuan+Drumian,decay_slope,3.7738628433521933e-06,3.5229580241383613e-06,-2.50904819213832e-07
Brachiopoda,stage,stage2,Stage 10,Jiangshanian+Stage 10,beta_jaccard,0.972981859410431,0.9372100727559629,-0.03577178665446812
Brachiopoda,stage,stage2,Stage 10,Jiangshanian+Stage 10,sorensen,0.9585539172934131,0.9009077338904885,-0.0576461834029246
Brachiopoda,stage,stage2,Stage 10,Jiangshanian+Stage 10,turnover,0.9358730158730159,0.7945222533457826,-0.14135076252723322
Brachiopoda,stage,stage2,Stage 10,Jiangshanian+Stage 10,nestedness,0.022680901420397217,0.10638548054470566,0.08370457912430844
Brachiopoda,stage,stage2,Stage 10,Jiangshanian+Stage 10,decay_slope,5.3777607200615795e-06,1.115481507523697e-06,-4.262279212537882e-06
Brachiopoda,stage,stage2,Tremadocian,Tremadocian+Floian,beta_jaccard,0.9496121919350694,0.9544868787957413,0.00487468686067194
Brachiopoda,stage,stage2,Tremadocian,Tremadocian+Floian,sorensen,0.9144349515387226,0.9205487476155797,0.0061137960768571364
Brachiopoda,stage,stage2,Tremadocian,Tremadocian+Floian,turnover,0.8122016474566324,0.8146521400258886,0.002450492569256224
Brachiopoda,stage,stage2,Tremadocian,Tremadocian+Floian,nestedness,0.10223330408209032,0.10589660758969098,0.0036633035076006626
Brachiopoda,stage,stage2,Tremadocian,Tremadocian+Floian,decay_slope,1.905183702014491e-06,2.637476791611694e-06,7.322930895972031e-07
Brachiopoda,stage,stage2,Floian,Tremadocian+Floian,beta_jaccard,0.9631268608319079,0.9544868787957413,-0.00863998203616656
Brachiopoda,stage,stage2,Floian,Tremadocian+Floian,sorensen,0.9373386469468524,0.9205487476155797,-0.01678989933127273
Brachiopoda,stage,stage2,Floian,Tremadocian+Floian,turnover,0.8384183213022253,0.8146521400258886,-0.023766181276336673
Brachiopoda,stage,stage2,Floian,Tremadocian+Floian,nestedness,0.09892032564462741,0.10589660758969098,0.00697628194506357
Brachiopoda,stage,stage2,Floian,Tremadocian+Floian,decay_slope,2.889869207596699e-06,2.637476791611694e-06,-2.523924159850049e-07
Brachiopoda,stage,stage2,Darriwilian,Dapingian+Darriwilian,beta_jaccard,0.9681004387187082,0.9678480987569131,-0.00025233996179507834
Brachiopoda,stage,stage2,Darriwilian,Dapingian+Darriwilian,sorensen,0.9453952803621244,0.9443297630495973,-0.0010655173125271311
Brachiopoda,stage,stage2,Darriwilian,Dapingian+Darriwilian,turnover,0.8607581610422306,0.8614555220211426,0.0006973609789120427
Brachiopoda,stage,stage2,Darriwilian,Dapingian+Darriwilian,nestedness,0.08463711931989384,0.08287424102845471,-0.0017628782914391322
Brachiopoda,stage,stage2,Darriwilian,Dapingian+Darriwilian,decay_slope,3.671845891755659e-06,3.4591065076165964e-06,-2.1273938413906272e-07
