clade,stage,n_occurrences,n_collections,n_genera,n_cells10deg,feasible
Bivalvia,Aeronian,36,15,8,5,True
Bivalvia,Artinskian,563,274,98,37,True
Bivalvia,Asselian,443,170,94,28,True
Bivalvia,Bashkirian,399,126,64,17,True
Bivalvia,Capitanian,572,208,111,34,True
Bivalvia,Changhsingian,1516,510,140,34,True
Bivalvia,Dapingian,32,9,18,3,False
Bivalvia,Darriwilian,647,285,89,43,True
Bivalvia,Eifelian,230,86,67,25,True
Bivalvia,Emsian,1083,315,142,57,True
Bivalvia,Famennian,383,131,63,20,True
Bivalvia,Floian,219,74,63,15,True
Bivalvia,Frasnian,888,392,70,29,True
Bivalvia,Givetian,3152,926,93,37,True
Bivalvia,Gorstian,177,32,57,12,True
Bivalvia,Gzhelian,876,215,74,11,True
Bivalvia,Hirnantian,90,36,39,15,True
Bivalvia,Homerian,321,126,72,24,True
Bivalvia,Kasimovian,335,101,63,13,True
Bivalvia,Katian,1788,700,103,37,True
Bivalvia,Kungurian,1281,572,146,46,True
Bivalvia,Lochkovian,418,130,66,33,True
Bivalvia,Ludfordian,515,169,69,32,True
Bivalvia,Moscovian,800,198,106,32,True
Bivalvia,Pragian,181,90,48,19,True
Bivalvia,Rhuddanian,32,21,12,7,True
Bivalvia,Roadian,1255,502,142,48,True
Bivalvia,Sakmarian,640,236,84,36,True
Bivalvia,Sandbian,1018,319,88,42,True
Bivalvia,Serpukhovian,840,219,96,23,True
Bivalvia,Sheinwoodian,185,82,49,23,True
Bivalvia,Stage 2,8,8,3,3,False
Bivalvia,Stage 3,26,25,2,11,False
Bivalvia,Stage 4,67,60,3,14,False
Bivalvia,Telychian,330,134,66,27,True
Bivalvia,Tournaisian,179,72,46,21,True
Bivalvia,Tremadocian,44,29,19,10,True
Bivalvia,Visean,933,330,102,30,True
Bivalvia,Wordian,802,262,134,36,True
Bivalvia,Wuchiapingian,2447,908,172,50,True
Bivalvia,Wuliuan,3,2,2,2,False
Brachiopoda,Aeronian,1282,335,189,28,True
Brachiopoda,Artinskian,3897,1148,377,53,True
Brachiopoda,Asselian,2831,601,279,45,True
Brachiopoda,Bashkirian,1034,232,141,32,True
Brachiopoda,Capitanian,3982,738,371,52,True
Brachiopoda,Changhsingian,6284,1308,308,34,True
Brachiopoda,Dapingian,1194,336,148,19,True
Brachiopoda,Darriwilian,4767,1419,396,83,True
Brachiopoda,Drumian,598,268,74,39,True
Brachiopoda,Eifelian,2684,475,331,42,True
