system,realm,geological_period,clade,taxonomic_level,spatial_resolution,n_sites,n_collections,n_occurrences,gamma,median_alpha,pool_fraction,sampling_fraction,temporal_aggregation,beta_metric,beta_value,distance_decay_model,distance_decay_slope,replicate,analysis_version,time_bin,time_start_ma,time_end_ma,duration_myr
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,36,,,96,3.5,1.0,1.0,stage,jaccard,0.9693759059629049,ols_jaccard_km,1.3231299481310924e-06,0,paleo_v1,Artinskian,290.1,283.3,6.800000000000011
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,36,,,96,3.5,1.0,1.0,stage,sorensen,0.9496730158183821,ols_jaccard_km,,0,paleo_v1,Artinskian,290.1,283.3,6.800000000000011
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,36,,,96,3.5,1.0,1.0,stage,turnover,0.8785225180463276,ols_jaccard_km,,0,paleo_v1,Artinskian,290.1,283.3,6.800000000000011
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,36,,,96,3.5,1.0,1.0,stage,nestedness,0.07115049777205455,ols_jaccard_km,,0,paleo_v1,Artinskian,290.1,283.3,6.800000000000011
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,27,,,75,2.0,1.0,1.0,stage,jaccard,0.9658592225786624,ols_jaccard_km,3.6325038865251302e-06,0,paleo_v1,Asselian,298.9,293.52,5.379999999999996
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,27,,,75,2.0,1.0,1.0,stage,sorensen,0.9462237220632681,ols_jaccard_km,,0,paleo_v1,Asselian,298.9,293.52,5.379999999999996
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,27,,,75,2.0,1.0,1.0,stage,turnover,0.8789417856411322,ols_jaccard_km,,0,paleo_v1,Asselian,298.9,293.52,5.379999999999996
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,27,,,75,2.0,1.0,1.0,stage,nestedness,0.0672819364221361,ols_jaccard_km,,0,paleo_v1,Asselian,298.9,293.52,5.379999999999996
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,16,,,63,6.5,1.0,1.0,stage,jaccard,0.9230347263544484,ols_jaccard_km,7.638996438891267e-06,0,paleo_v1,Bashkirian,323.4,315.2,8.199999999999989
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,16,,,63,6.5,1.0,1.0,stage,sorensen,0.8696761411655625,ols_jaccard_km,,0,paleo_v1,Bashkirian,323.4,315.2,8.199999999999989
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,16,,,63,6.5,1.0,1.0,stage,turnover,0.7613356039671828,ols_jaccard_km,,0,paleo_v1,Bashkirian,323.4,315.2,8.199999999999989
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,16,,,63,6.5,1.0,1.0,stage,nestedness,0.10834053719837945,ols_jaccard_km,,0,paleo_v1,Bashkirian,323.4,315.2,8.199999999999989
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,33,,,111,7.0,1.0,1.0,stage,jaccard,0.9533896032384676,ols_jaccard_km,2.7415743293718255e-06,0,paleo_v1,Capitanian,264.28,259.857,4.422999999999945
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,33,,,111,7.0,1.0,1.0,stage,sorensen,0.9202123053415755,ols_jaccard_km,,0,paleo_v1,Capitanian,264.28,259.857,4.422999999999945
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,33,,,111,7.0,1.0,1.0,stage,turnover,0.8305008982222933,ols_jaccard_km,,0,paleo_v1,Capitanian,264.28,259.857,4.422999999999945
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,33,,,111,7.0,1.0,1.0,stage,nestedness,0.08971140711928231,ols_jaccard_km,,0,paleo_v1,Capitanian,264.28,259.857,4.422999999999945
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,32,,,139,3.5,1.0,1.0,stage,jaccard,0.9391691958431471,ols_jaccard_km,1.1262082579629847e-05,0,paleo_v1,Changhsingian,254.14,251.902,2.2379999999999995
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,32,,,139,3.5,1.0,1.0,stage,sorensen,0.903012139992163,ols_jaccard_km,,0,paleo_v1,Changhsingian,254.14,251.902,2.2379999999999995
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,32,,,139,3.5,1.0,1.0,stage,turnover,0.7716997968374838,ols_jaccard_km,,0,paleo_v1,Changhsingian,254.14,251.902,2.2379999999999995
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,32,,,139,3.5,1.0,1.0,stage,nestedness,0.13131234315467927,ols_jaccard_km,,0,paleo_v1,Changhsingian,254.14,251.902,2.2379999999999995
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,42,,,89,2.5,1.0,1.0,stage,jaccard,0.9111026502968815,ols_jaccard_km,4.537933622079245e-06,0,paleo_v1,Darriwilian,469.4,458.2,11.199999999999989
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,42,,,89,2.5,1.0,1.0,stage,sorensen,0.8682875234141127,ols_jaccard_km,,0,paleo_v1,Darriwilian,469.4,458.2,11.199999999999989
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,42,,,89,2.5,1.0,1.0,stage,turnover,0.6949294886875118,ols_jaccard_km,,0,paleo_v1,Darriwilian,469.4,458.2,11.199999999999989
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,42,,,89,2.5,1.0,1.0,stage,nestedness,0.173358034726601,ols_jaccard_km,,0,paleo_v1,Darriwilian,469.4,458.2,11.199999999999989
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,22,,,66,3.0,1.0,1.0,stage,jaccard,0.9576564261384191,ols_jaccard_km,1.8922371170505494e-06,0,paleo_v1,Eifelian,393.47,387.95,5.520000000000039
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,22,,,66,3.0,1.0,1.0,stage,sorensen,0.9270167988170945,ols_jaccard_km,,0,paleo_v1,Eifelian,393.47,387.95,5.520000000000039
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,22,,,66,3.0,1.0,1.0,stage,turnover,0.8565751920602953,ols_jaccard_km,,0,paleo_v1,Eifelian,393.47,387.95,5.520000000000039
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,22,,,66,3.0,1.0,1.0,stage,nestedness,0.07044160675679946,ols_jaccard_km,,0,paleo_v1,Eifelian,393.47,387.95,5.520000000000039
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,48,,,135,6.0,1.0,1.0,stage,jaccard,0.9382889381491996,ols_jaccard_km,5.615418065850368e-06,0,paleo_v1,Emsian,410.62,393.47,17.149999999999977
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,48,,,135,6.0,1.0,1.0,stage,sorensen,0.8963144027573849,ols_jaccard_km,,0,paleo_v1,Emsian,410.62,393.47,17.149999999999977
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,48,,,135,6.0,1.0,1.0,stage,turnover,0.7834852903080959,ols_jaccard_km,,0,paleo_v1,Emsian,410.62,393.47,17.149999999999977
paleozoic_marine,marine,Paleozoic,Bivalvia,genus,10,48,,,135,6.0,1.0,1.0,stage,nestedness,0.112829112449289,ols_jaccard_km,,0,paleo_v1,Emsian,410.62,393.47,17.149999999999977
