scheme,time_bin,time_start_ma,time_end_ma,duration_myr
5myr,1,533.8,528.8,5.0
5myr,2,528.8,523.8,5.0
5myr,3,523.8,518.8,5.0
5myr,4,518.8,513.8,5.0
5myr,5,513.8,508.79999999999995,5.0
5myr,6,508.79999999999995,503.79999999999995,5.0
5myr,7,503.79999999999995,498.79999999999995,5.0
5myr,8,498.79999999999995,493.79999999999995,5.0
5myr,9,493.79999999999995,488.79999999999995,5.0
5myr,10,488.79999999999995,483.79999999999995,5.0
5myr,11,483.79999999999995,478.79999999999995,5.0
5myr,12,478.79999999999995,473.79999999999995,5.0
5myr,13,473.79999999999995,468.79999999999995,5.0
5myr,14,468.79999999999995,463.79999999999995,5.0
5myr,15,463.79999999999995,458.79999999999995,5.0
5myr,16,458.79999999999995,453.79999999999995,5.0
5myr,17,453.79999999999995,448.79999999999995,5.0
5myr,18,448.79999999999995,443.79999999999995,5.0
5myr,19,443.79999999999995,438.79999999999995,5.0
5myr,20,438.79999999999995,433.79999999999995,5.0
5myr,21,433.79999999999995,428.79999999999995,5.0
5myr,22,428.79999999999995,423.79999999999995,5.0
5myr,23,423.79999999999995,418.79999999999995,5.0
5myr,24,418.79999999999995,413.79999999999995,5.0
5myr,25,413.79999999999995,408.79999999999995,5.0
5myr,26,408.79999999999995,403.79999999999995,5.0
5myr,27,403.79999999999995,398.79999999999995,5.0
5myr,28,398.79999999999995,393.79999999999995,5.0
5myr,29,393.79999999999995,388.79999999999995,5.0
5myr,30,388.79999999999995,383.79999999999995,5.0
5myr,31,383.79999999999995,378.79999999999995,5.0
5myr,32,378.79999999999995,373.79999999999995,5.0
5myr,33,373.79999999999995,368.79999999999995,5.0
5myr,34,368.79999999999995,363.79999999999995,5.0
5myr,35,363.79999999999995,358.79999999999995,5.0
5myr,36,358.79999999999995,353.79999999999995,5.0
5myr,37,353.79999999999995,348.79999999999995,5.0
5myr,38,348.79999999999995,343.79999999999995,5.0
5myr,39,343.79999999999995,338.79999999999995,5.0
5myr,40,338.79999999999995,333.79999999999995,5.0
5myr,41,333.79999999999995,328.79999999999995,5.0
5myr,42,328.79999999999995,323.79999999999995,5.0
5myr,43,323.79999999999995,318.79999999999995,5.0
5myr,44,318.79999999999995,313.79999999999995,5.0
5myr,45,313.79999999999995,308.79999999999995,5.0
5myr,46,308.79999999999995,303.79999999999995,5.0
5myr,47,303.79999999999995,298.79999999999995,5.0
5myr,48,298.79999999999995,293.79999999999995,5.0
5myr,49,293.79999999999995,288.79999999999995,5.0
5myr,50,288.79999999999995,283.79999999999995,5.0
5myr,51,283.79999999999995,278.79999999999995,5.0
5myr,52,278.79999999999995,273.79999999999995,5.0
5myr,53,273.79999999999995,268.79999999999995,5.0
5myr,54,268.79999999999995,263.79999999999995,5.0
5myr,55,263.79999999999995,258.79999999999995,5.0
5myr,56,258.79999999999995,253.79999999999995,5.0
5myr,57,253.79999999999995,251.902,1.8979999999999677
10myr,0,538.8,528.8,10.0
10myr,1,528.8,518.8,10.0
10myr,2,518.8,508.79999999999995,10.0
10myr,3,508.79999999999995,498.79999999999995,10.0
10myr,4,498.79999999999995,488.79999999999995,10.0
10myr,5,488.79999999999995,478.79999999999995,10.0
10myr,6,478.79999999999995,468.79999999999995,10.0
10myr,7,468.79999999999995,458.79999999999995,10.0
10myr,8,458.79999999999995,448.79999999999995,10.0
10myr,9,448.79999999999995,438.79999999999995,10.0
10myr,10,438.79999999999995,428.79999999999995,10.0
10myr,11,428.79999999999995,418.79999999999995,10.0
10myr,12,418.79999999999995,408.79999999999995,10.0
10myr,13,408.79999999999995,398.79999999999995,10.0
10myr,14,398.79999999999995,388.79999999999995,10.0
10myr,15,388.79999999999995,378.79999999999995,10.0
10myr,16,378.79999999999995,368.79999999999995,10.0
10myr,17,368.79999999999995,358.79999999999995,10.0
10myr,18,358.79999999999995,348.79999999999995,10.0
10myr,19,348.79999999999995,338.79999999999995,10.0
10myr,20,338.79999999999995,328.79999999999995,10.0
10myr,21,328.79999999999995,318.79999999999995,10.0
10myr,22,318.79999999999995,308.79999999999995,10.0
10myr,23,308.79999999999995,298.79999999999995,10.0
10myr,24,298.79999999999995,288.79999999999995,10.0
10myr,25,288.79999999999995,278.79999999999995,10.0
10myr,26,278.79999999999995,268.79999999999995,10.0
10myr,27,268.79999999999995,258.79999999999995,10.0
10myr,28,258.79999999999995,251.902,6.897999999999968
20myr,0,538.8,518.8,20.0
20myr,1,518.8,498.79999999999995,20.0
20myr,2,498.79999999999995,478.79999999999995,20.0
20myr,3,478.79999999999995,458.79999999999995,20.0
20myr,4,458.79999999999995,438.79999999999995,20.0
20myr,5,438.79999999999995,418.79999999999995,20.0
