clade,pool_fraction,n_replicates,n_attempted,n_invalid,bias_beta_mean,bias_beta_lo95,bias_beta_hi95,prop_bias_beta_positive,bias_decay_mean,prop_bias_decay_positive
Bivalvia,0.25,11387,11800,413,-0.05363497405902594,-0.14878204884737334,0.011216221845120543,0.049530165978747695,3.7831131487261343e-06,0.7153771845086502
Bivalvia,0.5,11630,11800,170,-0.020750562478568425,-0.06186414683973974,0.014897363980882686,0.10877042132416165,1.6691836374160815e-06,0.6933791917454858
Bivalvia,0.75,11715,11800,85,-0.007661280007188854,-0.027726830712279004,0.013949763891890572,0.17234314980793855,6.05785919702664e-07,0.6824583866837388
Brachiopoda,0.25,14720,14800,80,-0.03181549962025967,-0.12073604168135,0.009056242575399418,0.06813858695652174,2.126310810809668e-06,0.774320652173913
Brachiopoda,0.5,14800,14800,0,-0.011688068885294986,-0.05112405452415517,0.0125661375661374,0.14162162162162162,8.131765235053812e-07,0.7385135135135135
Brachiopoda,0.75,14800,14800,0,-0.0042216795534154045,-0.021126869194281733,0.009264030144028799,0.21425675675675676,2.9881469434798543e-07,0.6881081081081081
Cephalopoda,0.25,10935,12200,1265,-0.05485829927103784,-0.18550346198653606,0.020727340924976207,0.07736625514403292,2.802709966630469e-06,0.6865112025605853
Cephalopoda,0.5,11449,12200,751,-0.0224301652204791,-0.08009742340800022,0.025154602533746132,0.13809066293999475,1.057138654269372e-06,0.6526334177657437
Cephalopoda,0.75,11916,12200,284,-0.007885658306276808,-0.034587167480443964,0.01846467742247324,0.17917086270560592,4.5542817291656586e-07,0.6434206109432695
Crinoidea,0.25,8679,10800,2121,-0.038925112336140516,-0.16551487696823433,0.03746231518039077,0.21454084571955295,7.673298529863005e-06,0.661942620117525
Crinoidea,0.5,10029,10800,771,-0.015685130769817333,-0.0857142857142855,0.0357142857142857,0.2467843254561771,2.6907117710112795e-06,0.6529065709442616
Crinoidea,0.75,10512,10800,288,-0.0059977947554687595,-0.03657196836983177,0.031092145831328445,0.2150875190258752,9.751821348466664e-07,0.6687595129375952
Gastropoda,0.25,12115,12800,685,-0.059985000623743914,-0.16946593097232707,0.015343416015905201,0.06281469252992158,4.1958440087801115e-06,0.704250928600908
Gastropoda,0.5,12366,12800,434,-0.025762973078850004,-0.0878154356847451,0.0149658112601014,0.10682516577713085,1.8758991727066543e-06,0.6959404819666828
Gastropoda,0.75,12645,12800,155,-0.00970238193020418,-0.03909034868030088,0.012377076488289285,0.14701463028865164,5.692518438244921e-07,0.6643732700672202
Trilobita,0.25,12333,14600,2267,-0.061839246207451674,-0.4312074829931974,0.02026320573176306,0.07856969107273169,4.085721525773413e-06,0.7698045893132247
Trilobita,0.5,13997,14600,603,-0.029670056241697145,-0.1982323232323233,0.04822183748809118,0.1561048796170608,2.4508993858866642e-06,0.7461598914053011
Trilobita,0.75,14485,14600,115,-0.01122508803195391,-0.0983333333333332,0.0631246039790056,0.1979979288919572,1.2559431073211465e-06,0.7102519848118743
