half_width,reference,device
10.0,138.09744187876692,146.28394711733856
10.0,126.8068593599434,133.52383162682113
10.0,136.3551124706983,145.44857631979988
10.0,122.71489650168469,125.53898398441109
10.0,120.93280226101427,127.26014138953747
10.0,122.08622292449958,126.9763168601668
10.0,131.55595017843117,136.85855466842725
10.0,138.207337897479,148.36003764084748
10.0,139.3069283841645,147.77382807244783
10.0,129.86023784120945,135.6046332816145
10.0,123.59106026699834,125.56983847534805
10.0,120.62449403510637,127.07221270733838
10.0,127.4055944728066,135.15280743196783
10.0,125.77410728787484,131.38271712160892
10.0,123.4614747427808,131.26998951945242
10.0,123.56175017309168,131.044636611748
10.0,133.38830479551055,138.2128672233765
10.0,128.3958112791674,130.37796320429342
10.0,135.7162888549374,142.5704120208223
10.0,133.84052130893122,139.99057538702465
10.0,125.75794911712913,133.23632834380174
10.0,128.28660302719973,130.96281307113435
10.0,130.90938022699567,136.54512736207553
10.0,128.55159108019106,133.47206504875703
10.0,139.35491045305258,145.0262486845423
10.0,138.60933698240166,150.32960205089012
10.0,128.15852311521212,134.7943820606205
10.0,120.42379847327156,127.62008782875286
10.0,135.55215624498103,144.4109607807327
10.0,126.12959898148806,134.93734635793356
10.0,122.20297508426876,131.3949675217469
10.0,129.86692604853866,139.85814136754058
10.0,126.79975326074332,128.2518109760091
10.0,120.27340718219925,120.89078540744704
10.0,125.51319572389336,136.01646942698238
10.0,135.1366911328531,143.3100107554042
10.0,126.28720340949486,134.19408052641336
10.0,127.5554089501853,136.1245557862314
10.0,133.52050464164907,133.44480016011784
10.0,138.06647174889355,144.67286370114212
10.0,123.5225561463627,130.5916553736941
10.0,129.10733053583644,138.97957205201268
10.0,120.10886353632597,125.87371925680245
10.0,132.60158546704255,139.26847768119293
10.0,136.8713609828504,144.49353733304645
10.0,138.82270628449766,140.7944971045246
10.0,135.0349613483707,142.4238569617446
10.0,135.24111993963547,138.70438017901702
10.0,127.34697774296946,131.56794123257916
10.0,135.3183468384463,139.64522717213094
10.0,131.79609152853226,134.8905440547759
10.0,120.51894506484153,120.93095879091427
10.0,134.15606801110056,137.77799249044313
10.0,131.3474475950373,136.9586022634742
10.0,134.11155672423004,144.73300027055691
10.0,136.36302001864186,142.93440130003916
10.0,136.5318321350442,144.53366487018667
10.0,134.65088101029824,140.93596535851844
10.0,131.5290699662047,137.66655316057228
10.0,126.05540583074102,137.84623414325597
10.0,125.37013581605753,131.4790007832701
10.0,123.90334181262335,129.21743536567527
10.0,134.69264628771734,137.93383814846652
10.0,123.5531404493453,125.54169226871922
10.0,127.86550451167957,136.52678582303656
10.0,135.9394114519579,144.40135421346068
10.0,139.22770781797107,149.05260754415764
10.0,133.29511442749683,136.26385727837774
10.0,125.69221595613757,124.95163327623486
10.0,138.95333354822046,146.3869076236062
10.0,121.17607991850397,129.38881332465766
10.0,124.33844276744716,135.1610642195807
10.0,129.98007214214996,134.63493561392963
10.0,133.0772973935796,137.85975292753758
10.0,131.75173599997368,135.89426186670687
10.0,135.29567029506387,142.59030139646646
10.0,122.45398897960935,128.5895308689362
10.0,121.45210869956402,122.40286482583268
10.0,130.88017341004056,141.43320029586945
10.0,123.52839233900109,127.78626504693413
10.0,138.70386285211578,149.92560629974042
10.0,136.33825958746678,142.2924566102332
10.0,120.96122531119397,128.3210435459368
10.0,123.8729703546774,126.3343895893908
10.0,129.66529768018685,134.55242760608144
10.0,125.5206950527001,129.39146053853472
10.0,139.08974117289304,144.56139043460342
10.0,134.98610442424223,143.2426625245045
10.0,138.3953225233995,140.93975310975992
10.0,120.66153748218684,127.05660442755327
10.0,128.00637487840063,139.1383494090106
10.0,122.76654941847774,127.01763530111242
10.0,133.77453630192238,141.88702474794457
10.0,122.06115091469827,130.60490183501022
