caseid,scenario,reference,device,gain_true,offset_true
353,R1_offset_only,151.15835571289062,164.23557969212493,1.0,12.0
353,R1_offset_only,144.24612426757812,152.48416337289473,1.0,12.0
353,R1_offset_only,144.24612426757812,159.37477270923662,1.0,12.0
353,R1_offset_only,143.25869750976562,154.0465810960495,1.0,12.0
353,R1_offset_only,144.24612426757812,155.28197172158724,1.0,12.0
353,R1_offset_only,142.27120971679688,155.51528781823413,1.0,12.0
353,R1_offset_only,138.32138061523438,149.73441550624324,1.0,12.0
353,R1_offset_only,138.32138061523438,148.728524688013,1.0,12.0
353,R1_offset_only,139.30886840820312,151.11521382943582,1.0,12.0
353,R1_offset_only,140.29629516601562,149.9030233267807,1.0,12.0
353,R1_offset_only,140.29629516601562,154.15435058317073,1.0,12.0
353,R1_offset_only,142.27120971679688,153.45739693161792,1.0,12.0
353,R1_offset_only,141.28378295898438,156.60316078382394,1.0,12.0
353,R1_offset_only,140.29629516601562,155.15990945041145,1.0,12.0
353,R1_offset_only,141.28378295898438,152.45595202717266,1.0,12.0
353,R1_offset_only,142.27120971679688,153.6871536646807,1.0,12.0
353,R1_offset_only,142.27120971679688,155.5419375822587,1.0,12.0
353,R1_offset_only,142.27120971679688,157.10332004536818,1.0,12.0
353,R1_offset_only,143.25869750976562,153.78302648876908,1.0,12.0
353,R1_offset_only,144.24612426757812,156.31408126517576,1.0,12.0
353,R1_offset_only,143.25869750976562,155.6070315076429,1.0,12.0
353,R1_offset_only,144.24612426757812,159.08911024205355,1.0,12.0
353,R1_offset_only,145.23361206054688,160.52515886103117,1.0,12.0
353,R1_offset_only,145.23361206054688,159.94495133704467,1.0,12.0
353,R1_offset_only,144.24612426757812,150.17813544723785,1.0,12.0
353,R1_offset_only,144.24612426757812,157.4769886171,1.0,12.0
353,R1_offset_only,144.24612426757812,160.45226460456408,1.0,12.0
353,R1_offset_only,144.24612426757812,161.1145130274101,1.0,12.0
353,R1_offset_only,145.23361206054688,156.81666791426443,1.0,12.0
353,R1_offset_only,145.23361206054688,157.0204454703525,1.0,12.0
353,R1_offset_only,147.20852661132812,157.1346677376963,1.0,12.0
353,R1_offset_only,146.22103881835938,159.87186010647687,1.0,12.0
353,R1_offset_only,147.20852661132812,159.73964684257288,1.0,12.0
353,R1_offset_only,146.22103881835938,154.8717931778602,1.0,12.0
353,R1_offset_only,146.22103881835938,160.51610132017692,1.0,12.0
353,R1_offset_only,147.20852661132812,158.00326300476655,1.0,12.0
353,R1_offset_only,148.19595336914062,160.20367598318842,1.0,12.0
353,R1_offset_only,148.19595336914062,158.06160212181013,1.0,12.0
353,R1_offset_only,147.20852661132812,157.1841626101394,1.0,12.0
353,R1_offset_only,146.22103881835938,161.04407254192316,1.0,12.0
353,R1_offset_only,147.20852661132812,157.173969256494,1.0,12.0
353,R1_offset_only,147.20852661132812,159.07580733345102,1.0,12.0
353,R1_offset_only,147.20852661132812,158.14333812308783,1.0,12.0
353,R1_offset_only,148.19595336914062,160.79470227271415,1.0,12.0
353,R1_offset_only,148.19595336914062,160.45731564465015,1.0,12.0
353,R1_offset_only,147.20852661132812,161.41589616208827,1.0,12.0
353,R1_offset_only,146.22103881835938,161.215607791141,1.0,12.0
353,R1_offset_only,147.20852661132812,159.78823741045815,1.0,12.0
353,R1_offset_only,146.22103881835938,152.96497390616653,1.0,12.0
353,R1_offset_only,145.23361206054688,158.5171105722723,1.0,12.0
353,R2_zeroed_ideal,151.15835571289062,152.23557969212493,1.0,0.0
353,R2_zeroed_ideal,144.24612426757812,140.48416337289473,1.0,0.0
353,R2_zeroed_ideal,144.24612426757812,147.37477270923662,1.0,0.0
353,R2_zeroed_ideal,143.25869750976562,142.0465810960495,1.0,0.0
353,R2_zeroed_ideal,144.24612426757812,143.28197172158724,1.0,0.0
